"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","log_mean","log_sum","mean","name","negative_degree","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","positive_degree","prevalence","Radiality","selected","SelfLoops","shared name","Stress","sum","TopologicalCoefficient","total_degree"
"3.577777777777778","0.0","0.2795031055900621","1.0","2","6","false","8.725237087762615","14.216077020610028","6155.336082474227","g__Phocaeicola","1","3.5","0","2","0","2","0.9462809917355371","0.8711111111111111","false","0","g__Phocaeicola","0","1492669","0.7","3"
"1.8444444444444446","0.07665852828133529","0.5421686746987951","0.5147058823529411","17","4","false","6.320779419309221","11.80998839922776","555.0061855670103","g__Faecalimonas","12","11.294117647058824","0","17","0","10","0.44834710743801653","0.9577777777777777","false","0","g__Faecalimonas","762","134589","0.3137254901960784","22"
"1.7333333333333334","0.20038554200834904","0.5769230769230769","0.38421052631578945","20","4","false","7.737947132127615","13.228514580386529","2292.758762886598","g__Ruminococcus_B","16","9.85","0","20","0","17","0.8388429752066116","0.9633333333333333","false","0","g__Ruminococcus_B","1226","555994","0.2708333333333333","33"
"2.7111111111111112","0.0","0.3688524590163934","0.0","1","5","false","5.115719482919545","10.600726350999327","165.62061855670103","g__Eggerthella","0","20.0","0","1","0","1","0.6487603305785123","0.9144444444444444","false","0","g__Eggerthella","0","40163","0.0","1"
"2.311111111111111","0.004320258865713412","0.4326923076923077","0.8222222222222222","10","5","false","4.461490269086403","9.940927835509973","85.61649484536082","g__Coprococcus_A","5","13.2","0","10","0","9","0.4049586776859504","0.9344444444444445","false","0","g__Coprococcus_A","52","20762","0.4714285714285714","14"
"2.422222222222222","0.04652412402412403","0.41284403669724773","0.4666666666666667","6","5","false","5.303633109824055","10.789669530973297","200.0659793814433","g__Anthropogastromicrobium","2","11.833333333333334","0","6","0","4","0.5971074380165289","0.928888888888889","false","0","g__Anthropogastromicrobium","286","48516","0.4382716049382716","6"
"2.2","0.0029472211290393104","0.45454545454545453","0.8666666666666667","10","4","false","6.424019860647868","11.913404831565733","615.4762886597938","g__Dorea_A","5","13.9","0","10","0","7","0.6033057851239669","0.9400000000000001","false","0","g__Dorea_A","48","149253","0.4793103448275862","12"
"2.2666666666666666","0.010726958226958228","0.4411764705882353","0.7454545454545455","11","5","false","5.557353338675832","11.044504582519702","258.1360824742268","g__Bariatricus","5","13.181818181818182","0","11","0","9","0.43388429752066116","0.9366666666666668","false","0","g__Bariatricus","114","62598","0.45454545454545453","14"
"2.3555555555555556","2.886002886002886E-4","0.4245283018867924","0.9444444444444444","9","5","false","5.079173537627857","10.563956570705491","159.64123711340207","g__Eubacterium_I","3","14.0","0","9","0","7","0.45041322314049587","0.9322222222222223","false","0","g__Eubacterium_I","4","38713","0.5185185185185185","10"
"2.3555555555555556","0.0016254578754578755","0.4245283018867924","0.8333333333333334","4","4","false","7.270814951731067","12.76112374539658","1436.721649484536","g__Agathobacter","1","14.0","0","4","0","3","0.7417355371900827","0.9322222222222223","false","0","g__Agathobacter","28","348405","0.5185185185185185","4"
"1.9777777777777779","0.057831293507130836","0.5056179775280899","0.4380952380952381","15","4","false","6.9282469754661","12.418272532799115","1019.7030927835052","g__Anaerobutyricum","10","10.733333333333333","0","15","0","11","0.7396694214876033","0.9511111111111111","false","0","g__Anaerobutyricum","578","247278","0.32525252525252524","21"
"2.2444444444444445","1.2626262626262626E-4","0.44554455445544555","0.9642857142857143","8","4","false","8.434865710686978","13.925651130923212","4603.851546391753","g__Collinsella","3","15.75","0","8","0","5","0.8285123966942148","0.9377777777777778","false","0","g__Collinsella","2","1116434","0.5431034482758621","8"
"3.3555555555555556","0.0","0.29801324503311255","0.0","1","6","false","5.637003645213656","11.124450208481697","279.620618556701","g__Otoolea","0","7.0","0","1","0","1","0.7768595041322314","0.8822222222222222","false","0","g__Otoolea","0","67808","0.0","1"
"1.9333333333333333","0.18790390659609166","0.5172413793103449","0.4175824175824176","14","3","false","8.822490843950892","14.313345770512008","6784.144329896907","g__Faecalibacterium","6","10.571428571428571","0","14","0","11","0.9318181818181818","0.9533333333333334","false","0","g__Faecalibacterium","1206","1645155","0.32589285714285715","17"
"2.9555555555555557","0.0","0.3383458646616541","1.0","2","5","false","5.613210878190022","11.100571684346141","273.0226804123712","g__Haemophilus_D","0","7.5","0","2","0","5","0.47107438016528924","0.9022222222222223","false","0","g__Haemophilus_D","0","66208","0.6818181818181818","5"
"2.422222222222222","0.047065053205404085","0.41284403669724773","0.42857142857142855","8","4","false","7.081703388136595","12.571867872957757","1188.9938144329897","g__Fusicatenibacter","2","8.625","0","8","0","8","0.7892561983471075","0.928888888888889","false","0","g__Fusicatenibacter","266","288331","0.345","10"
