Node	Score	Centrality	Cluster
g__Anaerotignum	0.010309278350515464	Degree	all
g__Lawsonibacter	0.020618556701030927	Degree	all
g__Limivivens	0.10309278350515463	Degree	all
g__Roseburia	0.030927835051546393	Degree	all
g__Bacteroides	0.030927835051546393	Degree	all
g__Enterocloster	0.07216494845360824	Degree	all
g__Phocaeicola	0.030927835051546393	Degree	all
g__Coprococcus_A	0.14432989690721648	Degree	all
g__Dorea_A	0.12371134020618557	Degree	all
g__Eubacterium_I	0.10309278350515463	Degree	all
g__Hungatella	0.08247422680412371	Degree	all
g__Intestinibacter	0.08247422680412371	Degree	all
g__Blautia	0.061855670103092786	Degree	all
g__Flavonifractor	0.10309278350515463	Degree	all
g__CAG-170	0.010309278350515464	Degree	all
g__Roseburia_D	0.010309278350515464	Degree	all
g__Catenibacterium	0.010309278350515464	Degree	all
g__Holdemanella	0.020618556701030927	Degree	all
g__Choladousia	0.020618556701030927	Degree	all
g__Murimonas	0.05154639175257732	Degree	all
g__Clostridium	0.030927835051546393	Degree	all
g__Terrisporobacter	0.030927835051546393	Degree	all
g__Turicibacter	0.030927835051546393	Degree	all
g__Oliverpabstia	0.041237113402061855	Degree	all
g__Sellimonas	0.020618556701030927	Degree	all
g__Dialister	0.010309278350515464	Degree	all
g__Phascolarctobacterium	0.010309278350515464	Degree	all
g__Merdimonas	0.010309278350515464	Degree	all
g__Eubacterium_G	0.010309278350515464	Degree	all
g__Eggerthella	0.010309278350515464	Degree	all
g__Enterobacter	0.020618556701030927	Degree	all
g__Klebsiella	0.030927835051546393	Degree	all
g__Otoolea	0.010309278350515464	Degree	all
g__Enterococcus	0.05154639175257732	Degree	all
g__Granulicatella	0.07216494845360824	Degree	all
g__Lactiplantibacillus	0.030927835051546393	Degree	all
g__Lentihominibacter	0.020618556701030927	Degree	all
g__Fusobacterium_A	0.030927835051546393	Degree	all
g__Ruthenibacterium	0.010309278350515464	Degree	all
g__Gallintestinimicrobium	0.010309278350515464	Degree	all
g__Gemella	0.05154639175257732	Degree	all
g__Rothia	0.061855670103092786	Degree	all
g__Peptostreptococcus	0.010309278350515464	Degree	all
g__Haemophilus_D	0.05154639175257732	Degree	all
g__Sarcina	0.041237113402061855	Degree	all
g__Prevotella	0.010309278350515464	Degree	all
g__Onthenecus	0.010309278350515464	Degree	all
g__Lachnospira	0.010309278350515464	Degree	all
g__Lactobacillus	0.030927835051546393	Degree	all
g__Ligilactobacillus	0.020618556701030927	Degree	all
g__Lancefieldella	0.030927835051546393	Degree	all
g__Latilactobacillus	0.020618556701030927	Degree	all
g__Leuconostoc	0.030927835051546393	Degree	all
g__Weissella	0.020618556701030927	Degree	all
g__Longicatena	0.010309278350515464	Degree	all
g__Megamonas	0.010309278350515464	Degree	all
g__URXU01	0.010309278350515464	Degree	all
g__Odoribacter	0.010309278350515464	Degree	all
