AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,Degree,Eccentricity,IsSingleNode,log_mean,log_sum,mean,name,negative_degree,NeighborhoodConnectivity,NumberOfDirectedEdges,NumberOfUndirectedEdges,PartnerOfMultiEdgedNodePairs,positive_degree,prevalence,Radiality,selected,SelfLoops,shared name,Stress,sum,TopologicalCoefficient,total_degree,ClusterRank,LocalHIndex,CollectiveInfluence,IVI
1.7333333333333334,0.200385542008349,0.5769230769230769,0.3842105263157894,20,4,False,7.737947132127615,13.228514580386529,2292.758762886598,g__Ruminococcus_B,16,9.85,0,20,0,17,0.8388429752066116,0.9633333333333332,False,0,g__Ruminococcus_B,1226,555994,0.2708333333333333,33,7.684210526315788,4.47213595499958,197.0,0.883104089589052
1.8,0.1452816627816628,0.5555555555555556,0.4210526315789473,19,4,False,5.6451554268064745,11.132630904004008,281.91752577319585,g__Thomasclavelia,14,10.263157894736842,0,19,0,11,0.628099173553719,0.96,False,0,g__Thomasclavelia,1016,68365,0.283625730994152,25,7.999999999999998,4.358898943540674,195.0,0.8310888593132179
1.8444444444444448,0.1136970663426005,0.5421686746987951,0.4152046783625731,19,4,False,6.934975245786889,12.42500735207033,1026.5938144329898,g__Gemmiger,9,10.31578947368421,0,19,0,17,0.6818181818181818,0.9577777777777776,False,0,g__Gemmiger,962,248949,0.3034055727554179,26,7.888888888888888,4.358898943540674,196.0,0.8040824240145116
1.8444444444444448,0.0766585282813352,0.5421686746987951,0.5147058823529411,17,4,False,6.320779419309221,11.80998839922776,555.0061855670103,g__Faecalimonas,12,11.294117647058824,0,17,0,10,0.4483471074380165,0.9577777777777776,False,0,g__Faecalimonas,762,134589,0.3137254901960784,22,8.75,4.123105625617661,192.0,0.7661631529193852
1.9333333333333331,0.1879039065960916,0.5172413793103449,0.4175824175824176,14,3,False,8.822490843950892,14.313345770512008,6784.144329896907,g__Faecalibacterium,6,10.571428571428571,0,14,0,11,0.9318181818181818,0.9533333333333334,False,0,g__Faecalibacterium,1206,1645155,0.3258928571428571,17,5.846153846153847,3.7416573867739413,148.0,0.7154414558122455
1.9777777777777776,0.0578312935071308,0.5056179775280899,0.4380952380952381,15,4,False,6.9282469754661,12.418272532799117,1019.7030927835052,g__Anaerobutyricum,10,10.733333333333333,0,15,0,11,0.7396694214876033,0.9511111111111112,False,0,g__Anaerobutyricum,578,247278,0.3252525252525252,21,6.571428571428571,3.872983346207417,161.0,0.6485101878102194
2.1555555555555554,0.0087676044494226,0.4639175257731959,0.7424242424242424,12,4,False,5.49177089051622,10.978660609470474,241.6865979381444,g__Dorea,5,13.0,0,12,0,10,0.5661157024793388,0.9422222222222224,False,0,g__Dorea,128,58609,0.4482758620689655,15,8.90909090909091,3.4641016151377544,156.0,0.6222057740370492
2.0,0.1793505593585338,0.5,0.3090909090909091,11,4,False,6.826654795566198,12.316575914533656,921.101030927835,g__Veillonella,4,10.545454545454543,0,11,0,18,0.6363636363636364,0.95,False,0,g__Veillonella,1244,223367,0.2929292929292929,22,3.4,3.3166247903554,115.99999999999997,0.5882572102653513
2.2666666666666666,0.0107269582269582,0.4411764705882353,0.7454545454545455,11,5,False,5.557353338675832,11.044504582519702,258.1360824742268,g__Bariatricus,5,13.181818181818182,0,11,0,9,0.4338842975206611,0.9366666666666668,False,0,g__Bariatricus,114,62598,0.4545454545454545,14,8.200000000000001,3.3166247903554,145.0,0.5870009202187806
2.2,0.0029472211290393,0.4545454545454545,0.8666666666666667,10,4,False,6.424019860647868,11.913404831565732,615.4762886597938,g__Dorea_A,5,13.9,0,10,0,7,0.6033057851239669,0.94,False,0,g__Dorea_A,48,149253,0.4793103448275862,12,8.666666666666668,3.1622776601683795,139.0,0.5746012885953805
2.311111111111111,0.0043202588657134,0.4326923076923077,0.8222222222222222,10,5,False,4.461490269086403,9.940927835509973,85.61649484536082,g__Coprococcus_A,5,13.2,0,10,0,9,0.4049586776859504,0.9344444444444444,False,0,g__Coprococcus_A,52,20762,0.4714285714285714,14,8.222222222222221,3.1622776601683795,132.0,0.5549644609205638
2.355555555555556,0.0002886002886002886,0.4245283018867924,0.9444444444444444,9,5,False,5.079173537627857,10.563956570705493,159.64123711340207,g__Eubacterium_I,3,14.0,0,9,0,7,0.4504132231404958,0.9322222222222224,False,0,g__Eubacterium_I,4,38713,0.5185185185185185,10,8.5,3.0,126.0,0.5425254838258832
2.2444444444444445,0.00012626262626262626,0.4455445544554455,0.9642857142857144,8,4,False,8.434865710686978,13.925651130923212,4603.851546391753,g__Collinsella,3,15.75,0,8,0,5,0.8285123966942148,0.9377777777777778,False,0,g__Collinsella,2,1116434,0.5431034482758621,8,7.714285714285715,2.8284271247461903,126.0,0.5268877973358833
2.333333333333333,0.0036390217969165,0.4285714285714285,0.8214285714285714,8,5,False,4.266216522657133,9.743142728545545,70.25154639175258,g__Limivivens,3,13.875,0,8,0,7,0.4194214876033058,0.9333333333333332,False,0,g__Limivivens,36,17036,0.4955357142857143,10,6.571428571428571,2.8284271247461903,111.0,0.4782478600223186
2.3777777777777778,0.0979724880382775,0.4205607476635514,0.4761904761904761,7,5,False,6.5321962253977865,12.02174708205552,685.9051546391753,g__Enterocloster,0,10.428571428571429,0,7,0,7,0.8863636363636364,0.9311111111111112,False,0,g__Enterocloster,634,166332,0.4057142857142857,7,3.3333333333333326,2.6457513110645907,73.0,0.41420062733553514
2.333333333333333,0.0033473891428436,0.4285714285714285,0.8666666666666667,6,5,False,6.722426317879902,12.21222865834151,829.8309278350515,g__Blautia,1,14.833333333333334,0,6,0,5,0.7128099173553719,0.9333333333333332,False,0,g__Blautia,56,201234,0.4944444444444444,6,5.2,2.449489742783178,89.0,0.4066860558061259
2.422222222222222,0.0456060606060606,0.4128440366972477,0.6190476190476191,7,5,False,5.449355696991129,10.9360668705998,231.6082474226804,g__Flavonifractor,3,11.428571428571429,0,7,0,7,0.71900826446281,0.928888888888889,False,0,g__Flavonifractor,326,56165,0.4702380952380952,10,4.333333333333334,2.6457513110645907,80.0,0.40459554693181327
2.422222222222222,0.047065053205404,0.4128440366972477,0.4285714285714285,8,4,False,7.081703388136595,12.571867872957757,1188.9938144329897,g__Fusicatenibacter,2,8.625,0,8,0,8,0.7892561983471075,0.928888888888889,False,0,g__Fusicatenibacter,266,288331,0.345,10,3.428571428571428,2.8284271247461903,69.0,0.3710630995263761
2.311111111111111,0.0878066378066378,0.4326923076923077,0.4,6,4,False,6.365162333515648,11.854449206941611,580.239175257732,g__Intestinibacter,1,10.833333333333334,0,6,0,7,0.756198347107438,0.9344444444444444,False,0,g__Intestinibacter,480,140708,0.3735632183908046,8,2.4000000000000004,2.449489742783178,65.0,0.367002536687241
2.422222222222222,0.046524124024124,0.4128440366972477,0.4666666666666667,6,5,False,5.303633109824055,10.789669530973296,200.0659793814433,g__Anthropogastromicrobium,2,11.833333333333334,0,6,0,4,0.5971074380165289,0.928888888888889,False,0,g__Anthropogastromicrobium,286,48516,0.4382716049382716,6,2.8,2.449489742783178,71.0,0.35453708912237203
2.333333333333333,0.1562545779431744,0.4285714285714285,0.1333333333333333,6,4,False,4.952204998379556,10.436143158888768,140.48659793814434,g__Dysosmobacter,1,6.333333333333333,0,6,0,5,0.6342975206611571,0.9333333333333332,False,0,g__Dysosmobacter,952,34068,0.2430555555555555,6,0.7999999999999998,2.449489742783178,38.0,0.32925717934010124
2.577777777777778,0.0,0.3879310344827586,1.0,4,4,False,5.375402493150575,10.861783578555311,215.0268041237113,g__Agathobaculum,1,15.0,0,4,0,4,0.6673553719008265,0.921111111111111,False,0,g__Agathobaculum,0,52144,0.6521739130434783,5,4.0,2.0,60.0,0.3190899339772088
2.533333333333333,0.0,0.3947368421052631,1.0,4,4,False,6.871054933424183,12.361023005527995,962.9649484536084,g__Mediterraneibacter,4,14.0,0,4,0,4,0.7293388429752066,0.9233333333333336,False,0,g__Mediterraneibacter,0,233519,0.5833333333333334,8,4.0,2.0,56.0,0.30641187129914615
2.355555555555556,0.0016254578754578,0.4245283018867924,0.8333333333333334,4,4,False,7.270814951731067,12.76112374539658,1436.721649484536,g__Agathobacter,1,14.0,0,4,0,3,0.7417355371900827,0.9322222222222224,False,0,g__Agathobacter,28,348405,0.5185185185185185,4,3.3333333333333335,2.0,56.0,0.295292158047578
2.311111111111111,0.0490328054602377,0.4326923076923077,0.3333333333333333,6,4,False,6.144756242502531,11.63361981419324,465.2659793814433,g__Alistipes,3,8.0,0,6,0,6,0.5599173553719008,0.9344444444444444,False,0,g__Alistipes,314,112827,0.2758620689655172,9,2.0,2.449489742783178,48.0,0.28650570151770677
2.488888888888889,0.0050680468005029,0.4017857142857143,0.6666666666666666,4,4,False,5.341070690726222,10.827290000694122,207.7360824742268,g__Hominilimicola,0,12.0,0,4,0,4,0.5764462809917356,0.9255555555555556,False,0,g__Hominilimicola,44,50376,0.48,4,2.6666666666666665,2.0,48.0,0.26032768184605354
2.7111111111111112,0.0,0.3688524590163934,0.0,1,5,False,5.115719482919545,10.600726350999327,165.62061855670103,g__Eggerthella,0,20.0,0,1,0,1,0.6487603305785123,0.9144444444444444,False,0,g__Eggerthella,0,40163,0.0,1,0.0,1.0,20.0,0.18205128205128204
2.7111111111111112,0.0,0.3688524590163934,0.0,1,5,False,4.839108867892279,10.322197887394312,125.35670103092784,g__Acetatifactor,1,20.0,0,1,0,2,0.4504132231404958,0.9144444444444444,False,0,g__Acetatifactor,0,30399,0.0,3,0.0,1.0,20.0,0.18205128205128204
2.7777777777777777,0.0,0.36,0.0,1,5,False,6.157935194356419,11.646826789161633,471.4515463917526,g__Odoribacter,1,19.0,0,1,0,0,0.4979338842975206,0.9111111111111112,False,0,g__Odoribacter,0,114327,0.0,1,0.0,1.0,19.0,0.17193732193732192
2.888888888888889,0.0345508658008658,0.3461538461538461,0.3333333333333333,4,5,False,6.192944193631491,11.681908457325004,488.28453608247423,g__Parabacteroides,0,4.25,0,4,0,4,0.7128099173553719,0.9055555555555556,False,0,g__Parabacteroides,180,118409,0.3541666666666667,4,1.3333333333333333,2.0,17.0,0.1616511304529919
2.8222222222222224,0.0037037037037037,0.3543307086614173,0.5,4,5,False,7.600561164194048,13.09106464235722,1998.317525773196,g__Streptococcus,1,5.25,0,4,0,8,0.9648760330578512,0.9088888888888887,False,0,g__Streptococcus,22,484592,0.4038461538461538,9,2.0,2.0,21.0,0.16114433835771105
3.0444444444444443,0.0444444444444444,0.3284671532846716,0.3333333333333333,3,5,False,6.270505006703759,11.75962146694203,527.7443298969072,g__Roseburia,0,5.0,0,3,0,3,0.6735537190082644,0.8977777777777778,False,0,g__Roseburia,236,127978,0.4242424242424242,3,1.0,1.7320508075688772,15.0,0.14724532106540958
2.955555555555556,0.0,0.3383458646616541,1.0,2,5,False,5.613210878190022,11.10057168434614,273.0226804123712,g__Haemophilus_D,0,7.5,0,2,0,5,0.4710743801652892,0.9022222222222224,False,0,g__Haemophilus_D,0,66208,0.6818181818181818,5,2.0,1.4142135623730951,15.0,0.1281066778279077
2.955555555555556,0.0,0.3383458646616541,1.0,2,5,False,4.4562873933878375,9.935664284231349,85.16701030927835,g__Granulicatella,0,7.5,0,2,0,7,0.4297520661157025,0.9022222222222224,False,0,g__Granulicatella,0,20653,0.6818181818181818,7,2.0,1.4142135623730951,15.0,0.1281066778279077
2.8666666666666667,0.0444444444444444,0.3488372093023256,0.0,2,4,False,5.248574687024184,10.7343293225778,189.29484536082475,g__Alitiscatomonas,0,7.5,0,2,0,2,0.5805785123966942,0.9066666666666666,False,0,g__Alitiscatomonas,216,45904,0.5,2,0.0,1.4142135623730951,15.0,0.12765748957760734
3.0,0.0274981013138907,0.3333333333333333,0.3333333333333333,3,5,False,8.274591973918477,13.765339791201516,3921.921649484536,g__Bacteroides,0,4.333333333333333,0,3,0,3,0.9194214876033058,0.9,False,0,g__Bacteroides,144,951066,0.4,3,1.0,1.7320508075688772,13.0,0.12526829789375324
3.2666666666666666,0.0,0.3061224489795918,1.0,2,5,False,6.122135538248989,11.610950139017358,454.83711340206185,g__Clostridium,0,4.0,0,2,0,3,0.6983471074380165,0.8866666666666667,False,0,g__Clostridium,0,110298,0.6666666666666666,3,2.0,1.4142135623730951,8.0,0.08971636443759429
3.2666666666666666,0.0,0.3061224489795918,1.0,2,5,False,4.5880554893591485,10.068874864289374,97.30309278350516,g__Turicibacter,0,4.0,0,2,0,3,0.4297520661157025,0.8866666666666667,False,0,g__Turicibacter,0,23596,0.6666666666666666,3,2.0,1.4142135623730951,8.0,0.08971636443759429
3.577777777777778,0.0,0.2795031055900621,1.0,2,6,False,8.725237087762615,14.216077020610028,6155.336082474227,g__Phocaeicola,1,3.5,0,2,0,2,0.9462809917355371,0.8711111111111111,False,0,g__Phocaeicola,0,1492669,0.7,3,2.0,1.4142135623730951,7.0,0.0842320339532638
3.2666666666666666,0.0444444444444444,0.3061224489795918,0.0,2,5,False,4.300799806962862,9.77820773610937,72.75876288659794,g__Lawsonibacter,0,3.5,0,2,0,2,0.5247933884297521,0.8866666666666667,False,0,g__Lawsonibacter,262,17644,0.5,2,0.0,1.4142135623730951,7.0,0.08378284570296347
3.355555555555556,0.0,0.2980132450331125,0.0,1,6,False,5.637003645213656,11.124450208481695,279.620618556701,g__Otoolea,0,7.0,0,1,0,1,0.7768595041322314,0.8822222222222222,False,0,g__Otoolea,0,67808,0.0,1,0.0,1.0,7.0,0.050569800569800566
3.4,0.0,0.2941176470588235,0.0,1,6,False,4.251172068521615,9.727883383489695,69.18762886597938,g__Ruthenibacterium,0,7.0,0,1,0,1,0.493801652892562,0.8800000000000001,False,0,g__Ruthenibacterium,0,16778,0.0,1,0.0,1.0,7.0,0.050569800569800566
