#OTU ID	sum	mean	log_sum	log_mean
g__Acetatifactor	30399	125.35670103092784	10.322197887394312	4.839108867892279
g__Acutalibacter	10641	43.88041237113402	9.272563715156315	3.8040014494773535
g__Adlercreutzia	12059	49.72783505154639	9.397649470281177	3.9264747747670374
g__Agathobacter	348405	1436.721649484536	12.76112374539658	7.270814951731067
g__Agathobaculum	52144	215.0268041237113	10.861783578555313	5.375402493150575
g__Alistipes	112827	465.2659793814433	11.633619814193239	6.144756242502531
g__Alistipes_A	2078	8.569072164948453	7.639642287858012	2.2585362483036926
g__Alitiscatomonas	45904	189.29484536082475	10.7343293225778	5.248574687024184
g__Allocoprobacillus	9355	38.577319587628864	9.143773127704069	3.678256216497415
g__Amedibacterium	11489	47.37731958762887	9.3492323708428	3.879031100332238
g__Anaerobutyricum	247278	1019.7030927835052	12.418272532799115	6.9282469754661
g__Anaerofustis	1250	5.154639175257732	7.131698510466911	1.8172061348892192
g__Anaeromassilibacillus	5010	20.65979381443299	8.519390774959724	3.0754577223416177
g__Anaerostipes	452968	1867.909278350516	13.023578969452467	7.533110266069057
g__Anaerotignum	22409	92.40824742268042	10.017262566794972	4.536979643506416
g__Anaerotruncus	2200	9.072164948453608	7.696667081526462	2.3097756735394
g__Anthropogastromicrobium	48516	200.0659793814433	10.789669530973297	5.303633109824055
g__Aristaeella	8648	35.661855670103094	9.06519898630651	3.6017368595184647
g__Bacteroides	951066	3921.921649484536	13.765339791201516	8.274591973918477
g__Bariatricus	62598	258.1360824742268	11.044504582519702	5.557353338675832
g__Bifidobacterium	1359974	5608.140206185567	14.122976875190336	8.632152725841596
g__Bittarella	1710	7.051546391752577	7.444833273892193	2.085864171336303
g__Blautia	201234	829.8309278350515	12.21222865834151	6.722426317879902
g__Blautia_A	1730039	7134.1814432989695	14.36365508759395	8.872792959622492
g__Brotaphodocola	15782	65.08041237113402	9.666688690398917	4.190872369676514
g__Butyribacter	7655	31.567010309278352	8.94324493313279	3.483299822298702
g__CAG-170	5484	22.614432989690723	8.60977237270933	3.161858092460233
g__CAG-177	14163	58.404123711340205	9.558458813231795	4.084363646708787
g__CAG-217	10837	44.68865979381443	9.29081375612606	3.8218501225517216
g__CAG-488	25252	104.1319587628866	10.136700239527121	4.65521631123084
g__Catenibacterium	80819	333.2742268041237	11.299979738632464	5.8119616944448005
g__Choladousia	5703	23.51752577319588	8.648922962094131	3.199388199500096
g__Clostridium	110298	454.83711340206185	11.610950139017358	6.122135538248989
g__Clostridium_A	20257	83.5340206185567	9.916305056246742	4.437154064207612
g__Clostridium_AP	6031	24.870103092783506	8.704833909687792	3.253087981222216
g__Collinsella	1116434	4603.851546391753	13.925651130923212	8.434865710686978
g__Coprococcus_A	20762	85.61649484536082	9.940927835509973	4.461490269086403
g__Dialister	169299	698.140206185567	12.039427568121226	6.549851303215344
g__Dorea	58609	241.6865979381444	10.978660609470474	5.49177089051622
g__Dorea_A	149253	615.4762886597938	11.913404831565733	6.424019860647868
g__Dorea_D	7345	30.288659793814432	8.901911226379612	3.4432557249902156
g__Dysosmobacter	34068	140.48659793814434	10.436143158888767	4.952204998379556
g__Eggerthella	40163	165.62061855670103	10.600726350999327	5.115719482919545
g__Enterobacter	26282	108.37938144329895	10.176677621334473	4.694822402785603
g__Enterocloster	166332	685.9051546391753	12.021747082055521	6.5321962253977865
g__Enterococcus	18062	74.48247422680413	9.801620926132557	4.323900499862466
g__Enterococcus_A	19856	81.88041237113401	9.896311868787032	4.417398754019234
g__Enterococcus_B	239806	988.8907216494846	12.387589712141995	6.897594554863837
g__Eubacterium_F	3580	14.762886597938143	8.183397369998433	2.7576582274256793
g__Eubacterium_G	30367	125.22474226804124	10.321144701409654	4.838063986897311
g__Eubacterium_I	38713	159.64123711340207	10.563956570705491	5.079173537627857
g__Evtepia	14537	59.94639175257732	9.58452119004458	4.109994654053101
g__Faecalibacterium	1645155	6784.144329896907	14.313345770512008	8.822490843950892
g__Faecalimonas	134589	555.0061855670103	11.80998839922776	6.320779419309221
g__Faecousia	2179	8.985567010309278	7.687080155783135	2.301140751465746
g__Finegoldia	8849	36.49072164948453	9.088172738001974	3.6240934796819113
g__Flavonifractor	56165	231.6082474226804	10.936066870599799	5.449355696991129
g__Fusicatenibacter	288331	1188.9938144329897	12.571867872957757	7.081703388136595
g__Fusobacterium_A	13146	54.21030927835052	9.483948874696605	4.011149698134103
g__Gallintestinimicrobium	15009	61.89278350515464	9.616471924627508	4.1414314274766655
g__Gemella	3294	13.583505154639177	8.100161446936607	2.679891106098507
g__Gemmiger	248949	1026.5938144329898	12.42500735207033	6.934975245786889
g__Gordonibacter	2277	9.389690721649483	7.731053144007127	2.340814037743115
g__Granulicatella	20653	85.16701030927835	9.935664284231349	4.4562873933878375
g__Guopingia	2044	8.428865979381444	7.623153068476902	2.243775832720572
g__Haemophilus_D	66208	273.0226804123712	11.100571684346141	5.613210878190022
g__Holdemanella	105870	436.5773195876289	11.56997665083924	6.081253420668685
g__Holdemania	2611	10.767010309278351	7.867871490396322	2.465299879599225
g__Hominenteromicrobium	21138	87.16701030927835	9.958874954615686	4.479232860270418
g__Hominibacterium	4905	20.22680412371134	8.498214224818435	3.0552647285244063
g__Hominicoprocola	28770	118.63917525773196	10.267123214370452	4.784480340205154
g__Hominifimenecus	1871	7.715463917525773	7.534762657037537	2.1650989096293065
g__Hominilimicola	50376	207.7360824742268	10.827290000694122	5.341070690726222
g__Hominimerdicola	32486	133.96288659793814	10.38859528829649	4.904999826553277
g__Hominiventricola	10713	44.17731958762887	9.279306576440906	3.8105951818701973
g__Hungatella	13432	55.38969072164949	9.505469645063013	4.032286353172901
g__Intestinibacter	140708	580.239175257732	11.854449206941611	6.365162333515648
g__JAGTTR01	1587	6.544329896907216	7.370230641807081	2.0207962740817234
g__Klebsiella	43622	179.88453608247423	10.683339813181595	5.1978589055106115
g__Lachnoclostridium_B	17116	70.58144329896908	9.747827400695664	4.270835868573676
g__Lachnospira	270708	1116.321649484536	12.50879972218677	7.018689715973942
g__Lacticaseibacillus	16873	69.57938144329897	9.733529254725571	4.2567380542996665
g__Lactiplantibacillus	11329	46.717525773195874	9.335209354022052	3.8652987470421785
g__Lactobacillus	38304	157.95463917525774	10.55333571495092	5.068618873311883
g__Lactococcus	11534	47.56288659793815	9.353141170607854	3.882859588928882
g__Lactonifactor	2609	10.75876288659794	7.867105500316739	2.464598740219056
g__Laedolimicola	2250	9.278350515463918	7.719129840906732	2.3300397914584554
g__Lancefieldella	1618	6.6721649484536085	7.3895639536776345	2.0375988374091394
g__Latilactobacillus	19068	78.63092783505155	9.855819258834627	4.37740255802932
g__Lawsonibacter	17644	72.75876288659794	9.77820773610937	4.300799806962862
g__Lentihominibacter	5921	24.416494845360823	8.686429508661536	3.235398366614036
g__Leuconostoc	7810	32.20618556701031	8.963288275610298	3.502736170827816
g__Ligilactobacillus	40485	166.94845360824743	10.608711514321522	5.123657108562786
g__Limivivens	17036	70.25154639175258	9.743142728545543	4.266216522657133
g__Limosilactobacillus	19305	79.6082474226804	9.86817120740856	4.389600969621131
g__Longicatena	8185	33.75257731958763	9.010180657052349	3.5482537367306777
g__Massilioclostridium	1105	4.556701030927835	7.0085051820822795	1.7150045924056143
g__Mediterraneibacter	233519	962.9649484536084	12.361023005527995	6.871054933424183
g__Megamonas	194452	801.8639175257732	12.177945767595505	6.688185231996184
g__Merdibacter	1179	4.861855670103092	7.07326971745971	1.7684662207135164
g__Merdimmobilis	1913	7.888659793814433	7.5569505720129	2.1847762838096516
g__Merdimonas	3700	15.257731958762887	8.216358332386156	2.7885686084596557
g__Merdivicinus	4341	17.901030927835052	8.376090350438236	2.939216467024292
g__Muricomes	1857	7.657731958762887	7.527255919373784	2.15845278974671
g__Murimonas	8823	36.38350515463917	9.085230560933338	3.6212295684883253
g__Nanosynbacter	65306	269.3030927835052	11.086854507069045	5.599543895257287
g__Negativibacillus	16169	66.67628865979381	9.690912952571152	4.214735877207416
g__Odoribacter	114327	471.4515463917526	11.646826789161631	6.157935194356419
g__Oliverpabstia	55286	227.9835051546392	10.920293078500146	5.433649971067557
g__Onthenecus	7833	32.30103092783505	8.966228514225776	3.50558835530103
g__Otoolea	67808	279.620618556701	11.124450208481697	5.637003645213656
g__Parabacteroides	118409	488.28453608247423	11.681908457325003	6.192944193631491
g__Paraprevotella	15001	61.85979381443299	9.61593880452958	4.140906751288207
g__Pararoseburia	3850	15.876288659793817	8.25608813381491	2.825909598867752
