source	target	correlation	p_value
g__Acetatifactor	g__Alistipes	0.2489	0.0191967799642218
g__Acetatifactor	g__Anthropogastromicrobium	0.2584	0.0191967799642218
g__Acetatifactor	g__Dysosmobacter	0.2989	0.0191967799642218
g__Acetatifactor	g__Enterocloster	-0.258	0.0293196721311475
g__Acetatifactor	g__Enterococcus	-0.18	0.0293196721311475
g__Acetatifactor	g__Enterococcus_A	-0.1965	0.0191967799642218
g__Acetatifactor	g__Enterococcus_B	-0.1941	0.0443429752066115
g__Acetatifactor	g__Faecalibacterium	0.2592	0.0371314878892733
g__Acetatifactor	g__Faecalimonas	-0.2905	0.0191967799642218
g__Acetatifactor	g__Finegoldia	-0.1822	0.0293196721311475
g__Acetatifactor	g__Gallintestinimicrobium	0.2039	0.0191967799642218
g__Acetatifactor	g__Gemella	-0.1615	0.0371314878892733
g__Acetatifactor	g__Gemmiger	0.2056	0.0443429752066115
g__Acetatifactor	g__Hominicoprocola	0.2402	0.0293196721311475
g__Acetatifactor	g__Hominilimicola	0.2101	0.0371314878892733
g__Acetatifactor	g__Hominiventricola	0.2271	0.0191967799642218
g__Acetatifactor	g__Klebsiella	-0.2376	0.0191967799642218
g__Acetatifactor	g__Lachnospira	0.2063	0.0293196721311475
g__Acetatifactor	g__Lacticaseibacillus	-0.19	0.0293196721311475
g__Acetatifactor	g__Lactobacillus	-0.1544	0.0371314878892733
g__Acetatifactor	g__Lancefieldella	-0.228	0.0191967799642218
g__Acetatifactor	g__Lawsonibacter	0.2204	0.0293196721311475
g__Acetatifactor	g__Mediterraneibacter	0.2072	0.0371314878892733
g__Acetatifactor	g__Pauljensenia	-0.1542	0.0371314878892733
g__Acetatifactor	g__Pediococcus	-0.23	0.0293196721311475
g__Acetatifactor	g__Rothia	-0.1656	0.0443429752066115
g__Acetatifactor	g__Ruminococcus_B	-0.3108	0.0191967799642218
g__Acetatifactor	g__Thomasclavelia	-0.226	0.0371314878892733
g__Acutalibacter	g__Alistipes	0.1878	0.0371314878892733
g__Acutalibacter	g__Allocoprobacillus	0.318	0.0191967799642218
g__Acutalibacter	g__Anaeromassilibacillus	0.3198	0.0191967799642218
g__Acutalibacter	g__Coprococcus_A	-0.1791	0.0293196721311475
g__Acutalibacter	g__Hominibacterium	0.2402	0.0293196721311475
g__Acutalibacter	g__Massilioclostridium	0.1622	0.0293196721311475
g__Acutalibacter	g__Merdibacter	0.1747	0.0293196721311475
g__Acutalibacter	g__Merdimonas	0.1872	0.0293196721311475
g__Acutalibacter	g__Merdivicinus	0.1732	0.0443429752066115
g__Acutalibacter	g__Negativibacillus	0.3442	0.0191967799642218
g__Acutalibacter	g__Ruthenibacterium	0.2124	0.0293196721311475
g__Adlercreutzia	g__Coprococcus_A	0.1719	0.0371314878892733
g__Adlercreutzia	g__Gallintestinimicrobium	0.1713	0.0371314878892733
g__Adlercreutzia	g__Hominiventricola	0.1772	0.0371314878892733
g__Adlercreutzia	g__Oliverpabstia	0.1777	0.0443429752066115
g__Adlercreutzia	g__Ruminococcus_B	-0.2606	0.0191967799642218
g__Adlercreutzia	g__Thomasclavelia	-0.2371	0.0293196721311475
g__Agathobacter	g__Agathobaculum	0.2472	0.0293196721311475
g__Agathobacter	g__Alistipes	0.2294	0.0191967799642218
g__Agathobacter	g__Alitiscatomonas	0.2042	0.0443429752066115
g__Agathobacter	g__Anaerobutyricum	0.3269	0.0191967799642218
g__Agathobacter	g__Anthropogastromicrobium	0.3238	0.0191967799642218
g__Agathobacter	g__Bariatricus	0.2403	0.0191967799642218
g__Agathobacter	g__Brotaphodocola	0.3049	0.0191967799642218
g__Agathobacter	g__Coprococcus_A	0.2622	0.0191967799642218
g__Agathobacter	g__Dorea	0.2129	0.0293196721311475
g__Agathobacter	g__Enterococcus_B	-0.2094	0.0293196721311475
g__Agathobacter	g__Eubacterium_G	0.2513	0.0191967799642218
g__Agathobacter	g__Eubacterium_I	0.2079	0.0293196721311475
g__Agathobacter	g__Faecalimonas	-0.2443	0.0293196721311475
g__Agathobacter	g__Flavonifractor	-0.1991	0.0443429752066115
g__Agathobacter	g__Fusicatenibacter	0.3319	0.0191967799642218
g__Agathobacter	g__Gallintestinimicrobium	0.231	0.0191967799642218
g__Agathobacter	g__Gemmiger	0.2366	0.0191967799642218
g__Agathobacter	g__Hominilimicola	0.2786	0.0191967799642218
g__Agathobacter	g__Hominiventricola	0.2225	0.0371314878892733
g__Agathobacter	g__Hungatella	-0.2733	0.0191967799642218
g__Agathobacter	g__Lancefieldella	-0.1996	0.0191967799642218
g__Agathobacter	g__Leuconostoc	-0.1968	0.0191967799642218
g__Agathobacter	g__Limivivens	0.2472	0.0191967799642218
g__Agathobacter	g__Limosilactobacillus	-0.1569	0.0293196721311475
g__Agathobacter	g__Longicatena	-0.2596	0.0191967799642218
g__Agathobacter	g__Muricomes	-0.1982	0.0293196721311475
g__Agathobacter	g__Nanosynbacter	-0.2159	0.0191967799642218
g__Agathobacter	g__Ruminococcus_B	-0.32	0.0191967799642218
g__Agathobacter	g__Sarcina	-0.1786	0.0293196721311475
g__Agathobacter	g__Streptococcus	-0.2217	0.0293196721311475
g__Agathobacter	g__Thomasclavelia	-0.3395	0.0191967799642218
g__Agathobacter	g__Veillonella	-0.266	0.0191967799642218
g__Agathobaculum	g__Alitiscatomonas	0.2824	0.0191967799642218
g__Agathobaculum	g__Anaerobutyricum	0.3273	0.0191967799642218
g__Agathobaculum	g__Dorea	0.2298	0.0371314878892733
g__Agathobaculum	g__Dysosmobacter	0.2149	0.0371314878892733
g__Agathobaculum	g__Enterococcus_A	-0.1688	0.0371314878892733
g__Agathobaculum	g__Enterococcus_B	-0.2483	0.0191967799642218
g__Agathobaculum	g__Eubacterium_G	0.2207	0.0293196721311475
g__Agathobaculum	g__Eubacterium_I	0.2708	0.0191967799642218
g__Agathobaculum	g__Faecalibacterium	0.2168	0.0371314878892733
g__Agathobaculum	g__Gemmiger	0.2976	0.0191967799642218
g__Agathobaculum	g__Granulicatella	-0.1874	0.0371314878892733
g__Agathobaculum	g__Hominilimicola	0.2413	0.0191967799642218
g__Agathobaculum	g__Lactococcus	-0.2456	0.0191967799642218
g__Agathobaculum	g__Mediterraneibacter	0.1855	0.0371314878892733
g__Agathobaculum	g__Phocaeicola	0.207	0.0371314878892733
