#OTU ID	CT21	CT25	CT27	CT29	CT34	CT39	CT44	CT48	PD103	PD11	PD117	PD12	PD125	PD126	PD129	PD13	PD135	PD138	PD139	PD14	PD140	PD143	PD144	PD147	PD148	PD149	PD15	PD150	PD151	PD152	PD155	PD156	PD159	PD163	PD164	PD167	PD168	PD170	PD175	PD176	PD178	PD179	PD180	PD181	PD182	PD185	PD186	PD187	PD188	PD189	PD192	PD193	PD194	PD195	PD197	PD199	PD2	PD209	PD210	PD211	PD218	PD220	PD225	PD227	PD228	PD229	PD231	PD233	PD236	PD238	PD239	PD241	PD243	PD244	PD249	PD250	PD253	PD254	PD255	PD26	PD27	PD35	PD36	PD4	PD42	PD43	PD44	PD5	PD52	PD53	PD58	PD59	PD65	PD74	PD75	PD77	PD8	PD84	PD91	PV1	PV10	PV100	PV101	PV103	PV104	PV105	PV106	PV107	PV108	PV109	PV11	PV110	PV112	PV113	PV114	PV116	PV119	PV12	PV120	PV13	PV139	PV14	PV141	PV147	PV149	PV15	PV151	PV156	PV157	PV159	PV16	PV160	PV161	PV18	PV19	PV20	PV24	PV25	PV27	PV29	PV3	PV30	PV32	PV33	PV34	PV35	PV38	PV40	PV41	PV43	PV47	PV49	PV5	PV50	PV52	PV56	PV59	PV6	PV63	PV64	PV65	PV67	PV68	PV73	PV75	PV76	PV77	PV78	PV81	PV82	PV84	PV85	PV89	PV9	PV90	PV91	PV92	PV93	PV94	PV95	PV96	PV97	PV99
g__Gordonibacter	0	0	0	4	17	34	0	0	108	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	22	25	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	24	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	16	0	0	0	11	7	0	0	0	0	0	0	27	0	0	42	0	0	0	0	0	0	0	10	0	15	0	8	0	5	0	0	0	0	0	0	3	2	0	0	0	0	16	0	0	0	0	11	0	0	0	4	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0
g__Granulicatella	5	0	0	4	0	0	0	0	0	0	0	10	0	0	14	24	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	6	8	3	0	18	0	3	13	0	0	0	0	0	0	0	0	0	0	5	0	0	0	15	12	0	0	0	10	20	0	0	8	0	9	0	0	0	18	0	0	157	136	9	8	5	22	9	0	0	0	0	1080	6	11	6	0	0	0	11	8	0	0	0	5	0	0	0	0	0	0	0	0	0	13	0	0	0	18	78	0	5	0	0	8	9	0	0	0	0	0	0	0	0	8	0	14	0	6	0	0	4	0	8	11	10	7	0	6	0	4	9	7	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	4	6	0	0	10	0	9
g__Guopingia	0	0	9	0	19	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	49	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	32	0	0	0	0	0	0	10	13	0	0	10	0	36	0	29	0	2	0	0	0	19	21	0	0	0	16	0	0	6	13	0	0	0	0	27	0	0	3	0	0	3	19	0	0	0	0	9	17	0	0	17	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0
g__Haemophilus_D	0	21	0	6	0	0	0	0	0	226	0	0	0	3	23	5	0	0	8	8	0	16	0	0	33	376	0	114	0	7	336	22	19	282	0	0	0	0	0	0	0	415	112	0	0	0	0	0	0	1177	5	0	5	0	0	0	4	0	0	0	0	127	0	24	0	6	197	0	123	485	180	17	28	114	8	0	7	15	0	66	0	1297	154	0	69	152	0	19	12	0	26	0	0	0	332	13	0	19	10	0	337	4	0	26	94	0	38	0	0	0	0	0	38	0	107	11	38	22	318	0	115	3	21	36	0	0	47	10	0	0	0	8	0	35	0	112	0	0	7	0	3	0	120	81	342	0	0	0	0	4	16	26	0	12	8	51	41	0	13	0	0	9	15	14	224	55	7	10	0	0	0	0	0	0	0	5	130	15	0	0	0	3	147
g__Holdemanella	0	5	0	0	0	0	517	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	618	0	0	0	0	102	709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	492	2	0	0	0	0	0	0	0	0	9	2787	0	0	0	0	0	0	4	0	0	635	0	0	709	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1010	0	0	0	0	0	0	0	91	0	0	0	0	0	0	0	0	0	0	81	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	4	0	0	8	0	0
g__Holdemania	0	0	4	0	37	0	0	4	2	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	9	0	0	0	0	0	0	0	0	62	10	0	0	0	6	0	0	0	0	0	6	0	0	0	0	0	0	0	0	6	0	17	0	28	0	0	72	0	3	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	46	0	0	0	0	0	15	0	0	0	0	10	5	0	0	0	2	4	0	0	0	6	0	26	64	0	0	5	24	53	0	6	6	4	0	0	0	0	0	14	0	12	35	28	0	0	0	5	0	0	0	35	0	3	10	3	7	0	2	6	5	2	4	13	16	0	0	44	0	0	0	0	0	9	0	4	0	0	0	0	0	0	5	0	0	0	0	0	0
g__Hominenteromicrobium	27	4	0	0	0	0	98	76	0	16	0	0	44	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	207	0	293	136	0	0	0	0	0	0	0	0	0	0	0	0	155	0	0	0	0	8	1663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161	0	0	0	0	0	0	0	0	0	0	0	256	0	0	151	3	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	77	0	85	421	0	0	0	16	0	0	0	46	49	0	0	0	0	0	0	0	0	0	0	0	6	0	135	0	0	0	0	265	97	0	60	0	13	63	158	0	132	0	0	54	0	0	9	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0
g__Hominibacterium	0	0	23	0	61	0	0	0	503	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	14	0	0	0	0	0	0	0	0	0	13	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	3	0	0	0	0	0	0	0	0	22	0	0	0	23	29	0	0	26	0	0	0	0	0	3	0	0	0	0	83	60	0	0	5	0	0	0	0	60	0	0	9	0	0	0	6	0	0	0	0	24	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0
g__Hominicoprocola	0	0	153	17	68	0	12	0	0	111	4	0	0	520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	244	0	0	0	0	0	0	0	0	0	0	0	0	0	94	547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	521	0	0	0	0	0	0	0	0	98	0	0	0	648	0	0	0	0	0	68	0	10	0	0	0	77	0	0	0	0	4	0	0	0	0	2	0	0	11	0	0	630	0	0	180	0	139	71	0	0	0	948	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	162	0	0	20	48	0	87	0	53	160	0	2	50	639	0	3	0	0	0	0	0	19	0	0	153	0	0	0	0	23	0	3	0	0	3
g__Hominifimenecus	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Hominilimicola	195	109	192	612	192	0	8	42	4	135	16	0	246	19	11	0	69	0	0	0	0	0	0	0	0	0	25	0	0	0	0	9	0	0	0	0	69	330	0	9	0	0	592	0	0	0	80	0	0	586	0	4	0	357	4	38	116	0	0	0	207	360	0	0	111	141	0	86	0	0	0	8	0	0	0	350	0	0	0	0	0	0	0	0	0	0	3	21	0	0	0	414	0	4	0	0	119	0	3	0	0	0	49	0	42	0	56	0	0	0	63	41	56	0	269	15	63	266	0	0	394	152	1556	197	0	0	427	95	44	5	0	39	162	0	3	0	32	3	0	0	10	88	272	0	13	2	98	253	73	132	0	51	8	12	150	155	109	288	388	0	386	574	184	380	0	0	147	54	183	155	182	0	60	0	0	0	4	37	5	0	93	168	0
g__Hominimerdicola	2	3	185	0	34	47	46	0	0	0	0	0	31	49	534	0	28	5	0	0	6	111	0	0	0	0	0	0	0	0	0	16	23	0	0	0	318	0	0	0	3	666	0	0	0	167	38	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	1034	0	0	0	0	2	0	57	0	0	0	0	0	0	0	0	0	1829	0	0	0	0	0	473	212	5	6	89	0	0	0	2	0	2	0	0	0	0	0	47	0	0	0	0	0	83	0	0	0	0	149	0	0	0	0	0	297	0	361	0	307	0	0	27	23	0	0	0	0	0	0	0	0	0	11	2	474	0	3	0	0	326	0	0	83	191	68	0	0	0	0	901	5	155	90	0	0	0	0	0	0	0	0	0	0	183	0	0	0	6	31	0	0	0	42	0
g__Hominiventricola	46	78	33	45	0	0	0	43	0	0	0	0	0	0	0	0	32	0	0	31	0	0	0	0	0	0	50	11	0	0	0	13	0	0	0	0	0	0	0	13	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151	0	30	0	0	0	96	0	72	0	0	0	176	0	0	38	0	46	0	0	0	0	0	69	0	66	107	29	90	0	0	42	0	30	41	10	0	31	0	0	0	22	0	0	63	42	0	0	0	0	12	27	55	0	79	0	0	0	29	0	22	48	56	55	49	0	25	104	0	43	10	54	29	0	0	42	0	0	66	0	0	0	57	38	0	0	11	59	0
g__Hungatella	0	0	6	0	25	97	0	0	0	0	475	0	104	0	111	0	0	0	0	0	0	0	0	228	0	0	0	0	0	0	62	0	0	0	0	8	0	84	0	0	0	0	0	0	0	56	0	0	0	10	0	0	47	0	0	0	5	0	0	0	0	107	0	0	0	6	92	0	310	0	20	7	8	0	0	4	0	6	0	0	6	0	0	0	40	31	0	0	0	0	0	0	18	709	0	0	13	6	73	0	0	0	0	29	0	0	0	0	0	0	0	0	16	17	0	7	0	0	181	0	0	24	33	167	0	32	0	0	0	0	26	0	0	0	0	0	16	14	14	165	161	4	10	20	0	803	0	0	0	0	6	0	104	0	0	0	0	0	13	185	0	0	0	0	0	12	0	30	0	0	26	79	0	43	0	15	0	0	0	0	0	0	0
g__Intestinibacter	0	39	20	0	69	151	45	42	254	152	53	55	48	897	1332	0	191	157	0	0	5	406	57	469	45	2351	565	127	0	0	234	189	37	0	0	540	291	159	0	10	81	396	291	0	0	313	195	389	0	17	9	24	1527	0	14	0	40	0	219	10	17	738	0	265	433	51	146	83	479	37	1483	22	140	0	108	236	560	255	0	625	42	0	804	53	121	253	6	556	32	0	176	1239	48	239	1119	14	394	4	60	0	0	128	5	9	54	0	26	5	299	4	480	92	117	26	148	95	1291	314	461	0	498	167	126	1714	0	80	24	10	0	0	0	150	166	36	30	0	12	210	106	311	125	128	451	193	17	56	98	163	0	79	23	512	462	108	14	19	610	127	40	237	0	551	19	14	0	0	0	291	11	0	260	87	51	376	0	17	0	7	53	0	0	70	0
g__JAGTTR01	8	0	0	32	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	5	0	9	0	0	5	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Klebsiella	0	18	0	0	0	0	38	0	0	12	0	272	0	0	18	0	0	0	31	112	0	0	0	0	0	0	103	0	0	144	0	238	0	0	9	0	7	0	0	0	0	2234	7	0	69	0	0	0	0	0	4	0	105	0	22	0	0	18	0	0	0	0	89	0	0	0	0	0	0	0	70	0	0	0	0	0	27	36	21	0	55	29	2659	2538	0	0	54	0	0	0	0	0	0	8	0	0	0	0	91	0	13	34	0	0	0	14	0	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	27	0	0	21	1092	0	29	0	0	0	300	0	0	0	32	0	0	0	0	165	0	0	0	0	0	0	0	0	0	0	29	27	0	0	0	0	0	0	0	304	21	0	22
g__Lachnoclostridium_B	64	81	0	84	41	107	32	21	130	0	22	0	139	66	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	20	21	0	116	74	112	0	22	65	0	0	0	15	0	0	60	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	96	0	0	0	0	0	0	14	0	0	0	0	4	0	0	12	30	0	0	0	0	0	224	0	0	0	0	0	0	0	0	0	67	18	0	0	56	0	48	0	24	0	12	0	0	0	0	0	0	0	80	91	129	0	90	0	33	0	0	22	0	0	0	8	0	70	0	29	0	49	0	0	19	0	0	0	11	123	55	0	0	0	7	79	0	32	0	0	0	0	0	53	0	0	37	0	0	22	0	0	36	0	0	7	0	0	0	0	0	0	0	34	13	0
g__Lachnospira	552	862	285	358	2139	11	345	248	111	1241	173	4	0	268	59	20	0	0	0	112	0	570	381	258	496	926	55	1166	60	4	1010	2309	801	0	219	0	70	346	0	272	1915	2680	948	635	474	688	20	8	142	968	788	0	0	66	0	157	642	51	574	21	310	76	40	196	1113	1593	1437	809	0	1489	6037	0	3743	1083	120	879	0	31	0	38	49	0	2331	0	899	0	4	582	407	38	594	5831	318	17	4139	18	118	5	343	23	0	0	584	1722	1293	0	263	252	0	566	83	323	755	5247	2239	79	121	332	3214	347	4688	407	2762	656	0	254	728	311	205	172	2049	161	1051	1437	288	0	219	0	497	0	69	34	563	940	3053	216	144	14	700	577	244	132	557	210	373	392	1316	1367	946	18	951	1065	5	219	33	52	107	317	547	389	63	1043	325	4159	1138	0	687	450	1315	0	101	701	7
g__Lacticaseibacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	2	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	5	0	0	0	0	0	35	0	0	5	15	0	0	0	20	30	0	0	0	15	0	0	0	60	0	0	0	0	21	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	7	0	0	0	6	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	15	0	0	0
g__Lactiplantibacillus	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	6	0	746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	2126	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	9	2	0	0	0	0	0	0	58	0	0	0	0	15	0	0	0	0	0	0	0	0	0	169	0	0	0	104	0	0	0
g__Lactobacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	76	0	0	0	0	0	0	0	0	0	0	0	0	309	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	4	0	0	0	0	0	0	985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0
g__Lactococcus	0	0	0	0	0	0	0	4	58	0	0	0	0	0	0	377	0	0	0	0	0	0	0	0	0	0	23	0	0	0	8	0	0	0	7	0	0	0	0	0	0	8	3	0	0	0	0	34	0	0	0	0	0	0	10	0	4	0	0	0	0	0	3	4	0	0	0	6	0	0	0	0	0	0	0	0	0	14	0	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	7	0	0	0	0	11	0	0	0	0	0	0	24	0	0	0	0	0	0	0	2	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	21	0	0	0	15	0	0	36	6	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	5	0	0	0	0	102	0	0	0	0	0	0	0	6	5	146	0	0
g__Lactonifactor	0	0	0	0	0	0	0	0	5	0	0	0	45	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	136	0	0	56	0	0	42	0	0	0	0	0	0	14	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	13	0	0	0	0	6	0	0	9	0	0	0	226	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	66	0	0	0	0	0	21	0	0	0	0	0	11	0	0	0	0	0	0	8	7	0	115	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0
g__Laedolimicola	0	0	0	0	0	0	0	15	0	0	0	0	88	10	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	7	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	9	0	35	22	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0
g__Lancefieldella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	67	3	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	6	0	5	0	0	6	0	0	0	0	0	0	0	0	3
g__Latilactobacillus	10	0	11	7	8	0	5	0	0	0	0	7	0	0	0	310	0	0	0	0	0	36	0	0	183	0	0	0	11	21	0	0	0	0	0	0	3	8	0	0	0	83	20	0	104	0	0	65	5	0	0	0	9	3	680	0	0	0	11	0	0	26	0	0	0	0	8	887	0	6	65	0	27	66	0	2	0	0	0	26	0	0	0	0	0	0	0	11	0	0	17	0	126	0	16	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	11	0	35	0	0	0	0	0	31	0	0	0	0	0	0	6	0	0	13	0	33	68	0	0	0	0	7	3	0	0	0	0	16	0	3	0	10	10	0	4	61	0	0	0	0	7	0	0	44	0	0	17	3	0	19	15	69	0	0
g__Lawsonibacter	14	26	56	19	202	66	0	42	58	0	0	0	69	12	73	0	69	0	164	0	0	0	30	14	0	0	36	0	0	0	0	6	11	0	4	25	16	47	33	16	0	100	0	0	0	146	227	0	0	0	152	0	0	0	0	7	55	0	0	0	80	0	0	0	59	5	0	191	0	12	0	0	60	0	29	0	0	0	0	0	0	0	0	7	63	0	0	29	0	0	0	0	276	0	33	50	0	0	0	8	55	0	0	127	0	44	0	30	0	0	125	110	15	207	29	40	0	76	0	44	31	259	24	632	0	10	62	0	7	10	0	23	48	76	0	45	134	119	0	34	0	52	196	89	4	184	46	30	44	27	36	40	5	154	22	25	0	27	20	366	11	66	0	46	0	389	26	94	26	57	0	0	19	80	0	0	0	17	0	0	21	0	0
g__Lentihominibacter	7	0	19	0	0	0	0	3	222	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	96	0	0	0	61	11	0	0	7	0	0	0	0	0	4	0	0	0	16	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	110	0	0	11	0	0	0	0	13	0	0	0	0	5	5	0	9	0	0	0	0	0	0	3	10	0	0	8	7	30	38	0	0	17	0	13	0	0	0	0	26	0	0	0	6	0	21	0	0	0	4	0	0	95	4	0	24	0	0	0	98	0	23	0	0	78	26	0	0	0	0	0	2	9	2	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0
g__Leuconostoc	0	0	5	3	0	0	8	0	0	0	0	0	12	0	63	0	0	0	77	8	0	0	0	5	75	0	0	0	11	5	0	20	0	0	0	0	0	6	0	0	19	7	0	0	16	6	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	4	68	0	0	17	6	24	0	11	31	9	178	0	0	5	0	0	0	37	300	0	0	0	13	0	0	20	0	0	0	0	46	10	51	8	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	0	0	0	0	0	0	3	17	0	17	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	21	94	9	0	0	0	0	18	0	0	0	0	0	3	0	0	0	0	0	0	9	0	6	2	0	0	12	19	0	0	0	0	5	0	0	0	3	16	0	0
g__Ligilactobacillus	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	88	0	0	0	0	0	0	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	12	0	0	0	0	0	0	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	12	9	0	0	0	39	0	0	0	0	0	0	0	0	0	0
g__Limivivens	71	27	160	182	136	0	32	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	29	0	5	0	0	31	0	0	0	99	0	0	0	0	47	0	0	0	0	162	28	38	11	18	0	0	34	131	15	21	0	0	15	33	151	26	0	0	0	0	0	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105	21	0	0	0	0	0	0	0	0	25	0	85	0	0	0	62	0	16	0	0	18	34	0	0	30	0	0	0	0	0	0	70	0	0	106	0	69	21	0	0	57	114	0	0	50	0	79	0	0	0	0	0	0	13	138	56	68	61	0	0	12	25	0	80	15	52	37	0	0	58	0	0	0	0	0	0	20	0	65	0	0	39	0	0	0	3	41	74	0	13	42	0
g__Limosilactobacillus	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	86	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	12	0	0	0	0	0	0	0	41	0	0	0	0	0	3	0	7	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0
g__Longicatena	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	20	29	0	0	0	0	0	0	0	0	0	0	0	0	216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2376	0	496	0	0	0	373	0	0	388	0	0	0	5	0	0	0	0	0	167	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	0	67	0	0	108	0	0	0	0	0	80	0	0	10	2	0	0	0	0	15	0	0	0	20	25	28	0	0	0	0	0	0	0	0	0	0	17	0	14	0	0	13	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	318	0	0	0	0	0	0	0	0	0	0	0	0
g__Massilioclostridium	0	0	0	0	0	5	0	3	46	0	0	0	15	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	6	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	3	0	0	0	0	0	0	0	0	0	10	0	33	0	4	0	0	0	0	0	0	0	0	0	0	0	0	4	10	0	0	0	0	0	12	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0
