#OTU ID	CT21	CT25	CT27	CT29	CT34	CT39	CT44	CT48	PD103	PD11	PD117	PD12	PD125	PD126	PD129	PD13	PD135	PD138	PD139	PD14	PD140	PD143	PD144	PD147	PD148	PD149	PD15	PD150	PD151	PD152	PD155	PD156	PD159	PD163	PD164	PD167	PD168	PD170	PD175	PD176	PD178	PD179	PD180	PD181	PD182	PD185	PD186	PD187	PD188	PD189	PD192	PD193	PD194	PD195	PD197	PD199	PD2	PD209	PD210	PD211	PD218	PD220	PD225	PD227	PD228	PD229	PD231	PD233	PD236	PD238	PD239	PD241	PD243	PD244	PD249	PD250	PD253	PD254	PD255	PD26	PD27	PD35	PD36	PD4	PD42	PD43	PD44	PD5	PD52	PD53	PD58	PD59	PD65	PD74	PD75	PD77	PD8	PD84	PD91	PV1	PV10	PV100	PV101	PV103	PV104	PV105	PV106	PV107	PV108	PV109	PV11	PV110	PV112	PV113	PV114	PV116	PV119	PV12	PV120	PV13	PV139	PV14	PV141	PV147	PV149	PV15	PV151	PV156	PV157	PV159	PV16	PV160	PV161	PV18	PV19	PV20	PV24	PV25	PV27	PV29	PV3	PV30	PV32	PV33	PV34	PV35	PV38	PV40	PV41	PV43	PV47	PV49	PV5	PV50	PV52	PV56	PV59	PV6	PV63	PV64	PV65	PV67	PV68	PV73	PV75	PV76	PV77	PV78	PV81	PV82	PV84	PV85	PV89	PV9	PV90	PV91	PV92	PV93	PV94	PV95	PV96	PV97	PV99
g__Eggerthella	45	0	28	108	25	164	0	52	1081	11	0	0	27	30	453	0	0	0	41	0	22	0	15	643	57	0	65	2	0	200	125	20	182	19	0	40	31	133	0	13	157	8	87	117	0	161	0	0	9	0	47	64	0	0	0	20	50	0	23	20	33	404	168	0	297	142	109	31	4	29	0	0	22	6	215	84	0	106	282	173	0	140	0	239	412	0	0	4	79	23	31	107	131	0	8	65	0	1205	74	0	44	36	5	212	0	16	5	7	0	0	165	27	27	137	0	88	35	87	0	26	79	30	239	611	0	110	36	4	0	4	30	0	136	103	0	54	197	132	33	94	650	33	43	209	37	1110	32	262	0	40	127	45	108	52	37	5	72	21	44	117	9	33	54	4	16	88	36	68	33	19	236	0	9	690	33	0	68	0	58	141	0	17	19
g__Enterobacter	0	0	0	0	0	0	24	0	0	0	0	362	0	0	0	0	0	0	0	136	0	0	0	24	0	213	89	462	32	0	24	313	0	0	0	0	0	10	0	0	0	705	0	0	0	0	0	0	0	0	0	0	22	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	32	0	308	0	1445	1131	0	0	0	0	0	0	0	0	0	0	31	0	0	0	60	0	0	0	0	0	0	0	14	68	0	0	0	0	15	0	0	0	0	0	18	0	0	0	0	5	0	0	0	0	0	0	0	0	0	38	0	39	0	0	29	13	0	0	22	16	642	0	0	0	0	0	175	0	0	0	59	0	0	0	0	107	0	0	0	0	0	0	0	0	0	0	14	26	0	0	0	0	20	0	0	0	43	0	46
g__Enterocloster	161	390	162	196	198	87	37	74	127	14	77	1747	310	0	621	3376	312	403	453	224	723	96	335	347	62	143	926	91	2110	735	602	21	54	106	267	71	420	333	135	297	20	157	334	74	7	131	99	449	46	125	81	122	296	35	7	129	148	0	189	74	87	792	2602	329	64	387	964	340	505	162	0	495	61	317	160	30	265	72	220	56	315	21	0	1175	123	618	2917	0	255	218	76	200	267	3618	126	39	231	43	441	298	383	616	125	1054	410	555	43	425	155	3168	345	728	110	628	140	138	97	393	5834	349	1405	419	576	731	40	56	2998	218	61	79	974	22	542	209	369	309	1243	893	65	1164	624	774	103	560	678	164	348	127	69	596	726	113	0	124	120	223	60	38	286	1834	111	154	350	191	0	1483	0	350	475	298	200	377	8	606	1363	200	77	70	39	933	252	14	165
g__Enterococcus	0	0	0	0	0	0	0	0	0	7	0	13	0	0	0	0	0	0	0	0	4	0	0	0	0	58	0	0	4	30	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	117	0	0	0	0	0	0	0	0	0	0	0	14	0	521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	83	4	0	0
g__Enterococcus_A	0	0	0	0	0	0	0	0	35	0	0	0	0	0	572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	385	0	0	69	28	0	0	30	0	60	0	0	0	16	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	294	0	0	0	0	0	15	0	0	0	0	0	0	0	0	185	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
g__Enterococcus_B	0	0	0	0	0	106	19	0	0	20	28	147	550	0	0	21	0	0	0	0	131	0	0	0	0	0	0	0	81	0	0	22	6	0	11	51	0	0	44	0	17	0	0	0	0	7	0	123	235	0	0	0	37	29	0	0	11	0	37	42	0	15	33	3	20	31	0	0	76	217	0	180	5	0	11	0	0	10	0	0	854	14	763	0	0	0	0	18	0	0	0	417	0	0	0	0	38	0	113	117	6	5	0	1258	0	0	113	0	0	8	36	14	0	0	0	11	5	0	263	0	0	8	0	0	49	0	80	0	0	0	0	585	0	0	0	0	0	0	0	0	226	0	0	0	0	4	0	0	0	0	0	0	0	7	0	0	0	6	0	0	0	1357	0	0	6	0	0	4	0	12	53	0	0	447	7	0	0	27	0	296	16	0	0
g__Eubacterium_F	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	41	0	0	0	0	0	454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	30	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	33	147	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Eubacterium_G	33	111	62	75	68	0	35	17	0	34	0	0	0	30	0	0	0	0	0	0	0	0	65	0	42	11	113	0	0	0	0	0	0	0	42	0	118	100	9	0	0	15	160	185	0	511	45	0	0	0	83	32	0	55	14	37	89	0	0	0	89	0	0	0	44	38	0	1227	0	0	129	0	0	66	64	0	0	0	0	0	0	7	0	29	0	0	0	40	0	0	444	385	134	0	396	0	0	0	0	0	0	0	0	0	0	0	39	0	0	13	0	49	88	494	108	0	121	245	0	56	96	0	68	0	0	118	44	25	24	19	0	56	152	0	154	0	90	145	0	0	0	17	32	0	8	7	155	29	11	110	42	76	4	0	176	0	0	268	13	0	71	64	0	0	0	0	0	27	0	58	59	0	75	0	0	0	11	12	50	0	41	83	0
g__Eubacterium_I	0	86	116	60	215	0	15	134	0	287	0	0	85	147	0	0	0	0	220	114	0	0	210	0	0	0	0	19	0	0	0	70	0	0	0	0	26	0	0	101	0	706	0	41	0	0	0	0	99	0	67	63	0	49	60	151	0	0	63	0	0	0	0	0	0	0	0	0	0	1093	0	0	209	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142	0	517	0	164	0	0	0	0	8	634	0	67	0	0	38	91	0	0	155	0	216	0	54	0	144	0	364	0	48	269	0	99	0	0	101	24	70	61	0	0	65	505	0	0	84	0	0	0	0	44	0	0	0	34	57	248	133	66	0	269	9	144	34	100	106	43	0	0	0	182	141	0	94	0	0	0	0	0	0	0	0	40	0	121	0	184	69	0	0	114	0	0
g__Evtepia	82	9	84	11	287	0	0	0	518	30	2	11	151	79	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	150	274	0	28	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	76	0	0	0	47	0	0	0	0	0	0	0	2	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	307	0	0	0	0	0	0	0	45	0	0	0	0	20	44	35	9	0	232	118	36	65	0	0	0	148	0	21	0	0	194	0	0	227	53	0	22	0	0	0	132	0	0	0	0	139	0	0	105	0	5	0	0	315	0	0	77	0	0	93	251	20	0	0	0	138	109	0	14	0	0	0	0	0	0	61	0	40	0	92	54	0	0	0	0	0	0	0	0	0	0
