#OTU ID	sum	mean	log_sum	log_mean
g__Acetatifactor	11588	125.95652173913044	9.35781165133439	4.843844679333178
g__Acutalibacter	2732	29.695652173913043	7.913155185928067	3.4241210215640923
g__Adlercreutzia	2040	22.17391304347826	7.621195162809845	3.1430272082366946
g__Agathobacter	86950	945.108695652174	11.373100020578859	6.852357462717917
g__Agathobaculum	14872	161.65217391304347	9.607302767592598	5.091614018418996
g__Alistipes	50410	547.9347826086956	10.82796468421378	6.307979641390591
g__Alistipes_A	386	4.195652173913044	5.958424693029782	1.6478221554424157
g__Alitiscatomonas	15045	163.5326086956522	9.618867454120167	5.103108779713525
g__Allocoprobacillus	4652	50.56521739130435	8.445267451844648	3.942847363628521
g__Amedibacterium	5896	64.08695652173913	8.682199026000504	4.175724168490478
g__Anaerobutyricum	64955	706.0326086956521	11.081465396584978	6.561076787457642
g__Anaerofustis	272	2.9565217391304346	5.60947179518496	1.3753652905877003
g__Anaeromassilibacillus	1181	12.83695652173913	7.074963197966043	2.627343021508366
g__Anaerostipes	178250	1937.5	12.090947948358982	7.569669757110984
g__Anaerotignum	8461	91.96739130434784	9.043340831280013	4.532248800531741
g__Anaerotruncus	812	8.826086956521738	6.70073110954781	2.285040783343136
g__Anthropogastromicrobium	13361	145.22826086956522	9.500170136485423	4.985168831436503
g__Aristaeella	1637	17.793478260869566	7.401231264413014	2.93350990863425
g__Bacteroides	659368	7167.04347826087	13.3990385960791	8.87738802024196
g__Bariatricus	17592	191.2173913043478	9.775256374639046	5.2586269778970935
g__Bifidobacterium	489225	5317.663043478261	13.100579829379578	8.578977243135771
g__Bittarella	516	5.608695652173913	6.248042874508429	1.8883863049171266
g__Blautia	65878	716.0652173913044	11.095575005062832	6.575166795167876
g__Blautia_A	492351	5351.641304347826	13.106949186818605	8.585345419806698
g__Brotaphodocola	5353	58.18478260869565	8.585599224080298	4.0806644583180205
g__Butyribacter	958	10.41304347826087	6.865891074883438	2.4347568661025285
g__CAG-170	544	5.913043478260869	6.300785794663244	1.9334099862910816
g__CAG-177	1197	13.01086956521739	7.088408778675395	2.639833425890147
g__CAG-217	2041	22.18478260869565	7.621684998724611	3.14349614142231
g__CAG-488	2913	31.66304347826087	7.97728198675515	3.4862442699202676
g__Catenibacterium	4909	53.35869565217392	8.499029220788566	3.9956045943698633
g__Choladousia	822	8.934782608695652	6.71295620067707	2.2960419944051096
g__Clostridium	41029	445.9673913043478	10.62205878543623	6.102485641850451
g__Clostridium_A	8145	88.53260869565217	9.005282288208358	4.4946029018922085
g__Clostridium_AP	3062	33.28260869565217	8.027150106832774	3.534638190473943
g__Collinsella	302652	3289.695652173913	12.620342213710817	8.098854265837955
g__Coprococcus_A	4421	48.05434782608695	8.394347361417392	3.892928822777961
g__Dialister	44812	487.0869565217391	10.710253554880847	6.190493579572995
g__Dorea	12963	140.90217391304347	9.469931564261438	4.9551379040841885
g__Dorea_A	34466	374.6304347826087	10.447757623521474	5.928605773824026
g__Dorea_D	2589	28.14130434782609	7.859413154693583	3.372156561186919
g__Dysosmobacter	15317	166.4891304347826	9.636783886469539	5.120918456232813
g__Eggerthella	16502	179.3695652173913	9.711297461543568	5.1950078861751905
g__Enterobacter	6936	75.3913043478261	8.844624683385302	4.335868872257947
g__Enterocloster	81607	887.0326086956521	11.309682575362354	6.789008463822064
g__Enterococcus	979	10.641304347826088	6.887552571664617	2.4545594933987083
g__Enterococcus_A	1923	20.90217391304348	7.562161631225652	3.086585897331743
g__Enterococcus_B	9619	104.55434782608695	9.171599543659752	4.659225965545313
g__Eubacterium_F	1348	14.652173913043478	7.207118856207756	2.750609815521006
g__Eubacterium_G	8986	97.67391304347828	9.103534367658373	4.591820605967371
g__Eubacterium_I	10728	116.6086956521739	9.280705634636746	4.767362975351432
g__Evtepia	5102	55.45652173913044	8.537583881063972	4.033470815173653
g__Faecalibacterium	480333	5221.010869565217	13.082236974237638	8.560637830751586
g__Faecalimonas	41657	452.7934782608696	10.637248705981328	6.117642200847297
g__Faecousia	491	5.336956521739131	6.198478716492308	1.8463986093014522
g__Finegoldia	7221	78.48913043478261	8.884887201837403	4.375620288221911
g__Flavonifractor	26585	288.9673913043478	10.188140040427545	5.669768472880133
g__Fusicatenibacter	74615	811.0326086956521	11.220110240406699	6.699540497847529
g__Fusobacterium_A	9172	99.69565217391305	9.124019665509655	4.612102622763736
g__Gallintestinimicrobium	3120	33.91304347826087	8.045908742270779	3.552860498017612
g__Gemella	253	2.75	5.537334267018537	1.3217558399823195
g__Gemmiger	57834	628.6304347826087	10.965349407729502	6.4451330358055845
g__Gordonibacter	544	5.913043478260869	6.300785794663244	1.9334099862910816
g__Granulicatella	2000	21.73913043478261	7.601402334583733	3.124087248135773
g__Guopingia	522	5.673913043478261	6.259581464064922	1.898206351098102
g__Haemophilus_D	9501	103.27173913043478	9.159257581746866	4.647000367768907
g__Holdemanella	7851	85.33695652173913	8.968523555396352	4.458257739584091
g__Holdemania	843	9.16304347826087	6.7381524945959566	2.3187579522396464
g__Hominenteromicrobium	5156	56.04347826086956	8.548110294050959	4.043813753574884
g__Hominibacterium	1151	12.51086956521739	7.049254841255836	2.6034945144616706
g__Hominicoprocola	6662	72.41304347826087	8.804325112562537	4.296101623896472
g__Hominifimenecus	115	1.25	4.7535901911063645	0.8109302162163288
g__Hominilimicola	14639	159.1195652173913	9.591512787515303	5.075920818765898
g__Hominimerdicola	9928	107.91304347826087	9.203215047033593	4.690549797589815
g__Hominiventricola	2768	30.08695652173913	7.926241523170962	3.436788326764858
g__Hungatella	5026	54.630434782608695	8.522578663692576	4.018730439670693
g__Intestinibacter	35816	389.3043478260869	10.486177920013498	5.966926813827539
g__JAGTTR01	121	1.315217391304348	4.804021044733257	0.8395035886603848
g__Klebsiella	11368	123.56521739130434	9.338645632129106	4.82482941321969
g__Lachnoclostridium_B	3134	34.06521739130435	8.050384453067021	3.557209681636114
g__Lachnospira	120062	1305.0217391304348	11.695771883999898	7.174740955280102
g__Lacticaseibacillus	434	4.717391304347826	6.075346031088684	1.7435126356886697
g__Lactiplantibacillus	3346	36.369565217391305	8.115819701211326	3.620856608893754
g__Lactobacillus	1576	17.130434782608695	7.3632795869630385	2.897592005869652
g__Lactococcus	1085	11.793478260869565	6.990256500493881	2.5489355302112364
g__Lactonifactor	957	10.402173913043478	6.86484777797086	2.4338040313472566
g__Laedolimicola	401	4.358695652173913	5.996452088619021	1.6787205969936498
g__Lancefieldella	210	2.282608695652174	5.351858133476067	1.1886384403258292
g__Latilactobacillus	3477	37.79347826086956	8.154212694914229	3.6582521464411197
g__Lawsonibacter	7332	79.69565217391305	8.9001399880938	4.390684697416996
g__Lentihominibacter	1221	13.271739130434783	7.10824413973154	2.658281297253756
g__Leuconostoc	1488	16.17391304347826	7.305860032684008	2.8433915489719723
g__Ligilactobacillus	1543	16.77173913043478	7.342131730584721	2.8776095062823135
g__Limivivens	3498	38.02173913043478	8.160232492367689	3.664118904433284
g__Limosilactobacillus	391	4.25	5.971261839790462	1.6582280766035322
g__Longicatena	5025	54.619565217391305	8.522379718103537	4.018535031756051
g__Massilioclostridium	274	2.9782608695652173	5.616771097666571	1.3808447563523258
g__Mediterraneibacter	63773	693.1847826086956	11.063100862761637	6.542738182427836
g__Megamonas	88836	965.608695652174	11.394558508865478	6.87379375549319
g__Merdibacter	303	3.2934782608695654	5.717027701406222	1.4570971878520815
g__Merdimmobilis	555	6.032608695652174	6.320768294250582	1.9505577174518602
g__Merdimonas	1612	17.52173913043478	7.385851078125208	2.9189451303402207
g__Merdivicinus	1749	19.01086956521739	7.4673710669175595	2.9962756041840373
g__Muricomes	561	6.0978260869565215	6.331501849893691	1.9597885522273906
g__Murimonas	2197	23.88043478260869	7.6953031349635665	3.214081742903526
g__Nanosynbacter	8501	92.40217391304348	9.048056708918734	4.536914620264183
g__Negativibacillus	4398	47.80434782608695	8.389132521348719	3.8878194036872595
g__Odoribacter	30641	333.05434782608694	10.330126895875699	5.811303697781732
g__Oliverpabstia	8359	90.8586956521739	9.031213706078747	4.520251479495442
g__Onthenecus	696	7.565217391304348	6.546785410760524	2.147709512808839
g__Otoolea	23124	251.34782608695653	10.048669562380626	5.530808398074929
g__Parabacteroides	58248	633.1304347826087	10.972482203898611	6.452254666372672
g__Paraprevotella	5130	55.76086956521739	8.543055850941965	4.038847172210033
g__Pararoseburia	363	3.945652173913044	5.8971538676367405	1.5985088419019102
