Node	Closeness
g__Thomasclavelia	0.39940828402366857
g__Ruminococcus_B	0.3799249530956848
g__Veillonella	0.3500432152117545
g__Anaerobutyricum	0.32117367168913563
g__Anthropogastromicrobium	0.30845392231530844
g__Faecalimonas	0.30542986425339363
g__Streptococcus	0.3024645257654966
g__Agathobacter	0.2967032967032967
g__Gemmiger	0.291157440690151
g__Flavonifractor	0.2884615384615385
g__Enterocloster	0.2858151023288638
g__Dorea_A	0.2858151023288638
g__Faecalibacterium	0.2858151023288638
g__Dorea	0.28321678321678323
g__Limivivens	0.2806652806652807
g__Hungatella	0.27815934065934067
g__Eubacterium_I	0.26856763925729443
g__Alistipes	0.26627218934911245
g__Odoribacter	0.26627218934911245
g__Coprococcus_A	0.26401564537157757
g__Bariatricus	0.2617970265029088
g__Hominicoprocola	0.2617970265029088
g__Dysosmobacter	0.2512406947890819
g__Nanosynbacter	0.24725274725274726
g__Acetatifactor	0.24725274725274726
g__Gemella	0.24725274725274726
g__Granulicatella	0.24725274725274726
g__Fusicatenibacter	0.24338942307692307
g__Klebsiella	0.23781561949500882
g__Haemophilus_D	0.23781561949500882
g__Lancefieldella	0.23423944476576053
g__Ruthenibacterium	0.23076923076923075
g__Eubacterium_G	0.22740033688938796
g__Sellimonas	0.22412838959601547
g__Agathobaculum	0.220949263502455
g__Roseburia	0.21939328277356449
g__Hominiventricola	0.21785906401291016
g__Blautia	0.21634615384615385
g__Brotaphodocola	0.21485411140583555
g__Fusobacterium_A	0.21338250790305585
g__Rothia	0.2119309262166405
g__Hominilimicola	0.2104989604989605
g__Lawsonibacter	0.2104989604989605
g__Bacteroides	0.20361990950226244
g__Enterobacter	0.178021978021978
g__Parabacteroides	0.1622596153846154
g__Clostridium	0.046153846153846156
g__Acutalibacter	0.046153846153846156
g__Terrisporobacter	0.03461538461538462
g__Allocoprobacillus	0.03461538461538462
g__Anaeromassilibacillus	0.03461538461538462
g__Turicibacter	0.03461538461538462
g__Intestinibacter	0.027692307692307693
g__Negativibacillus	0.027692307692307693
g__Clostridium_AP	0.015384615384615385
g__Leuconostoc	0.015384615384615385
g__Weissella	0.015384615384615385
g__Megamonas	0.015384615384615385
g__Phascolarctobacterium	0.015384615384615385
g__Dialister	0.015384615384615385
g__Bittarella	0.015384615384615385
g__Enterococcus_B	0.015384615384615385
g__Evtepia	0.015384615384615385
g__Mediterraneibacter	0.015384615384615385
g__Vescimonas	0.015384615384615385
g__URXU01	0.015384615384615385
