node	positive_degree	negative_degree	total_degree
g__Agathobacter	4	2	6
g__Acetatifactor	0	1	1
g__Mediterraneibacter	0	1	1
g__Agathobaculum	1	0	1
g__Bariatricus	2	1	3
g__Gemmiger	4	3	7
g__Hominilimicola	2	0	2
g__Allocoprobacillus	2	0	2
g__Thomasclavelia	6	12	18
g__Turicibacter	2	0	2
g__Enterococcus_B	0	1	1
g__Flavonifractor	4	0	4
g__Hominiventricola	2	0	2
g__Nanosynbacter	2	1	3
g__Bacteroides	1	0	1
g__Roseburia	2	0	2
g__Evtepia	1	0	1
g__Granulicatella	2	1	3
g__Gemella	1	0	1
g__Lawsonibacter	4	0	4
g__Clostridium	3	0	3
g__Megamonas	1	0	1
g__Clostridium_AP	1	0	1
g__URXU01	1	0	1
g__Klebsiella	2	0	2
g__Coprococcus_A	2	1	3
g__Dorea	5	2	7
g__Ruminococcus_B	8	7	15
g__Negativibacillus	1	0	1
g__Blautia	2	0	2
g__Streptococcus	6	1	7
g__Anaeromassilibacillus	2	0	2
g__Fusobacterium_A	1	0	1
g__Intestinibacter	1	0	1
g__Limivivens	3	2	5
g__Sellimonas	1	2	3
g__Dysosmobacter	2	1	3
g__Weissella	1	0	1
g__Faecalimonas	5	4	9
g__Bittarella	1	0	1
g__Terrisporobacter	2	0	2
g__Enterobacter	1	0	1
g__Hungatella	3	0	3
g__Hominicoprocola	2	1	3
g__Fusicatenibacter	4	0	4
g__Haemophilus_D	2	0	2
g__Enterocloster	5	1	6
g__Odoribacter	3	1	4
g__Phascolarctobacterium	0	1	1
g__Anthropogastromicrobium	6	3	9
g__Parabacteroides	1	0	1
g__Lancefieldella	1	0	1
g__Dialister	0	1	1
g__Brotaphodocola	2	0	2
g__Rothia	1	0	1
g__Eubacterium_G	3	0	3
g__Anaerobutyricum	4	2	6
g__Leuconostoc	1	0	1
g__Veillonella	8	3	11
g__Dorea_A	4	3	7
g__Vescimonas	1	0	1
g__Alistipes	3	4	7
g__Acutalibacter	3	0	3
g__Eubacterium_I	3	1	4
g__Ruthenibacterium	3	0	3
g__Faecalibacterium	1	4	5
