source	target	correlation	p_value
g__Acetatifactor	g__Alistipes	0.2489	0.0191967799642218
g__Acetatifactor	g__Anaerobutyricum	0.1711	0.0831860465116279
g__Acetatifactor	g__Anthropogastromicrobium	0.2584	0.0191967799642218
g__Acetatifactor	g__Dorea_A	0.1802	0.0733325740318906
g__Acetatifactor	g__Dysosmobacter	0.2989	0.0191967799642218
g__Acetatifactor	g__Enterobacter	-0.1862	0.0569283819628647
g__Acetatifactor	g__Enterocloster	-0.258	0.0293196721311475
g__Acetatifactor	g__Enterococcus	-0.18	0.0293196721311475
g__Acetatifactor	g__Enterococcus_A	-0.1965	0.0191967799642218
g__Acetatifactor	g__Enterococcus_B	-0.1941	0.0443429752066115
g__Acetatifactor	g__Eubacterium_I	0.164	0.0926930232558139
g__Acetatifactor	g__Faecalibacterium	0.2592	0.0371314878892733
g__Acetatifactor	g__Faecalimonas	-0.2905	0.0191967799642218
g__Acetatifactor	g__Finegoldia	-0.1822	0.0293196721311475
g__Acetatifactor	g__Fusicatenibacter	0.1792	0.0733325740318906
g__Acetatifactor	g__Gallintestinimicrobium	0.2039	0.0191967799642218
g__Acetatifactor	g__Gemella	-0.1615	0.0371314878892733
g__Acetatifactor	g__Gemmiger	0.2056	0.0443429752066115
g__Acetatifactor	g__Hominicoprocola	0.2402	0.0293196721311475
g__Acetatifactor	g__Hominilimicola	0.2101	0.0371314878892733
g__Acetatifactor	g__Hominiventricola	0.2271	0.0191967799642218
g__Acetatifactor	g__Klebsiella	-0.2376	0.0191967799642218
g__Acetatifactor	g__Lachnospira	0.2063	0.0293196721311475
g__Acetatifactor	g__Lacticaseibacillus	-0.19	0.0293196721311475
g__Acetatifactor	g__Lactobacillus	-0.1544	0.0371314878892733
g__Acetatifactor	g__Lancefieldella	-0.228	0.0191967799642218
g__Acetatifactor	g__Lawsonibacter	0.2204	0.0293196721311475
g__Acetatifactor	g__Limivivens	0.1809	0.0779869186046511
g__Acetatifactor	g__Limosilactobacillus	-0.1493	0.0514429530201342
g__Acetatifactor	g__Mediterraneibacter	0.2072	0.0371314878892733
