source	target	correlation	p_value
g__Dorea_A	g__Faecalibacterium	0.3304	0.0623895348837209
g__Dorea_A	g__Limivivens	0.3041	0.0623895348837209
g__Dorea_A	g__Odoribacter	0.3458	0.0623895348837209
g__Dorea_A	g__Phocaeicola	0.3065	0.0623895348837209
g__Dorea_A	g__Veillonella	-0.3414	0.0623895348837209
g__Dorea_D	g__Ruminococcus_C	0.2381	0.0623895348837209
g__Dysosmobacter	g__Eubacterium_I	0.2989	0.0905569620253164
g__Dysosmobacter	g__Faecalibacterium	0.3525	0.0623895348837209
g__Dysosmobacter	g__Mediterraneibacter	0.3294	0.0623895348837209
g__Dysosmobacter	g__Parabacteroides	0.466	0.0623895348837209
g__Dysosmobacter	g__Streptococcus	-0.2858	0.0905569620253164
g__Eggerthella	g__Sarcina	-0.3767	0.0623895348837209
g__Eggerthella	g__Sellimonas	0.2778	0.0905569620253164
g__Eggerthella	g__Veillonella	-0.3234	0.0905569620253164
g__Enterobacter	g__Klebsiella	0.5747	0.0623895348837209
g__Enterobacter	g__Veillonella	0.2816	0.0623895348837209
g__Enterocloster	g__Flavonifractor	0.537	0.0623895348837209
g__Enterocloster	g__Hungatella	0.3347	0.0623895348837209
g__Enterocloster	g__Otoolea	0.55	0.0623895348837209
g__Enterocloster	g__Ruminococcus_B	0.4789	0.0623895348837209
g__Enterocloster	g__Thomasclavelia	0.352	0.0905569620253164
g__Enterococcus	g__Enterococcus_B	0.4168	0.0623895348837209
g__Enterococcus	g__Lacticaseibacillus	0.3355	0.0623895348837209
g__Enterococcus_A	g__Enterococcus_B	0.3302	0.0623895348837209
g__Enterococcus_A	g__Faecalibacterium	-0.345	0.0905569620253164
g__Enterococcus_A	g__Veillonella	0.3534	0.0623895348837209
g__Enterococcus_B	g__Faecalibacterium	-0.3509	0.0623895348837209
g__Enterococcus_B	g__Granulicatella	0.34	0.0905569620253164
g__Enterococcus_B	g__Lactiplantibacillus	0.3327	0.0623895348837209
g__Eubacterium_G	g__Roseburia	0.2883	0.0905569620253164
g__Eubacterium_G	g__Veillonella	-0.2999	0.0623895348837209
g__Eubacterium_I	g__Gemmiger	0.3389	0.0623895348837209
g__Eubacterium_I	g__Odoribacter	0.2818	0.0905569620253164
g__Eubacterium_I	g__Ruminococcus_B	-0.259	0.0905569620253164
g__Evtepia	g__Lentihominibacter	0.3843	0.0623895348837209
g__Faecalibacterium	g__Faecalimonas	-0.3238	0.0623895348837209
g__Faecalibacterium	g__Fusicatenibacter	0.3058	0.0905569620253164
g__Faecalibacterium	g__Gemmiger	0.3835	0.0623895348837209
g__Faecalibacterium	g__Hungatella	-0.2795	0.0623895348837209
g__Faecalibacterium	g__Mediterraneibacter	0.3311	0.0623895348837209
g__Faecalibacterium	g__Nanosynbacter	-0.308	0.0623895348837209
g__Faecalibacterium	g__Parabacteroides	0.3838	0.0623895348837209
g__Faecalibacterium	g__Thomasclavelia	-0.2907	0.0623895348837209
g__Faecalibacterium	g__Veillonella	-0.3938	0.0623895348837209
g__Faecalimonas	g__Gemmiger	-0.3122	0.0623895348837209
g__Faecalimonas	g__Hungatella	0.3524	0.0905569620253164
g__Faecalimonas	g__Odoribacter	-0.2976	0.0905569620253164
g__Faecalimonas	g__Oliverpabstia	-0.2637	0.0905569620253164
g__Faecalimonas	g__Ruminococcus_B	0.4444	0.0623895348837209
g__Faecalimonas	g__Thomasclavelia	0.3998	0.0623895348837209
g__Flavonifractor	g__Hungatella	0.4457	0.0623895348837209
g__Flavonifractor	g__Otoolea	0.3728	0.0623895348837209
g__Flavonifractor	g__Ruminococcus_B	0.3476	0.0905569620253164
g__Flavonifractor	g__Ruthenibacterium	0.3193	0.0623895348837209
g__Flavonifractor	g__Thomasclavelia	0.3215	0.0623895348837209
g__Fusicatenibacter	g__Gemmiger	0.3134	0.0623895348837209
g__Fusicatenibacter	g__Hominilimicola	0.3398	0.0623895348837209
g__Fusicatenibacter	g__Lacticaseibacillus	-0.3964	0.0623895348837209
g__Fusicatenibacter	g__Limosilactobacillus	-0.3003	0.0905569620253164
g__Gallintestinimicrobium	g__Gemmiger	0.2699	0.0905569620253164
g__Gemella	g__Granulicatella	0.5533	0.0623895348837209
