AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,Degree,Eccentricity,IsSingleNode,log_mean,log_sum,mean,name,negative_degree,NeighborhoodConnectivity,NumberOfDirectedEdges,NumberOfUndirectedEdges,PartnerOfMultiEdgedNodePairs,positive_degree,prevalence,Radiality,selected,SelfLoops,shared name,Stress,sum,TopologicalCoefficient,total_degree,ClusterRank,LocalHIndex,CollectiveInfluence,IVI
1.9655172413793105,0.2148545625146609,0.5087719298245614,0.3454545454545454,11,4,False,7.295749206525474,11.1662857139132,1473.0208333333333,g__Veillonella,9,5.545454545454546,0,11,0,7,0.7684210526315789,0.9122257053291536,False,0,g__Veillonella,334,70705,0.264069264069264,16,3.7999999999999994,3.3166247903554,61.00000000000001,0.8128958792528075
1.896551724137931,0.2888927984987098,0.5272727272727272,0.25,9,3,False,7.730769594884916,11.601540555323874,2276.3541666666665,g__Faecalibacterium,5,5.444444444444445,0,9,0,10,0.8315789473684211,0.9184952978056428,False,0,g__Faecalibacterium,494,109265,0.2424242424242424,15,2.25,3.0,49.0,0.7073833275054882
2.206896551724138,0.0232934553131597,0.453125,0.6666666666666666,7,4,False,5.310431196931548,9.17678358844734,201.4375,g__Parabacteroides,4,7.0,0,7,0,5,0.4105263157894737,0.8902821316614419,False,0,g__Parabacteroides,76,9669,0.3684210526315789,9,4.666666666666666,2.6457513110645907,49.0,0.6286304527617722
2.2413793103448274,0.0089549612948627,0.4461538461538462,0.8,6,4,False,6.940988551853716,10.811241953387997,1032.7916666666667,g__Nanosynbacter,3,7.833333333333333,0,6,0,3,0.5157894736842106,0.8871473354231975,False,0,g__Nanosynbacter,32,49574,0.4122807017543859,6,4.800000000000001,2.449489742783178,47.0,0.6148086003070826
2.206896551724138,0.0451735866760497,0.453125,0.4642857142857143,8,4,False,6.87443545462203,10.744623610809525,966.2291666666666,g__Bacteroides,4,6.0,0,8,0,6,0.7684210526315789,0.8902821316614419,False,0,g__Bacteroides,102,46379,0.3333333333333333,10,3.7142857142857144,2.8284271247461903,48.0,0.6033236923169131
2.5172413793103448,0.0011083743842364,0.3972602739726028,0.9,5,4,False,6.704363291568891,10.574363561449845,814.9583333333334,g__Haemophilus_D,2,7.8,0,5,0,3,0.431578947368421,0.8620689655172413,False,0,g__Haemophilus_D,4,39118,0.52,5,4.5,2.23606797749979,39.0,0.5433940758684304
2.1724137931034484,0.1779615294393619,0.4603174603174603,0.4,6,4,False,7.161945198701672,11.03238653380911,1288.4166666666667,g__Faecalimonas,2,6.0,0,6,0,5,0.5684210526315789,0.8934169278996865,False,0,g__Faecalimonas,374,61844,0.3157894736842105,7,2.4000000000000004,2.449489742783178,36.0,0.5386129358700279
2.1379310344827585,0.1262843068261787,0.467741935483871,0.3333333333333333,7,3,False,8.673103037288884,12.544136472042826,5842.604166666667,g__Streptococcus,2,5.571428571428571,0,7,0,11,0.9894736842105264,0.896551724137931,False,0,g__Streptococcus,194,280445,0.3193277310924369,13,2.333333333333333,2.6457513110645907,39.0,0.5324376890823758
2.413793103448276,0.184130893736805,0.4142857142857143,0.2857142857142857,8,5,False,7.299403144918797,11.169942076733358,1478.4166666666667,g__Blautia,0,4.125,0,8,0,8,0.6842105263157895,0.8714733542319749,False,0,g__Blautia,330,70964,0.3076923076923077,8,2.2857142857142856,2.8284271247461903,33.0,0.5305036513018395
2.5517241379310347,0.0299906169364297,0.3918918918918919,0.6666666666666666,6,4,False,6.689910166119136,10.559892944867965,803.25,g__Enterocloster,0,5.333333333333333,0,6,0,7,0.6631578947368421,0.8589341692789968,False,0,g__Enterocloster,96,38556,0.4444444444444444,7,4.0,2.449489742783178,32.0,0.4759418849823736
2.586206896551724,0.0111072015012901,0.3866666666666666,0.8,5,4,False,8.731669288638885,12.602712256589028,6195.0625,g__Ruminococcus_B,2,6.0,0,5,0,5,0.8947368421052632,0.8557993730407524,False,0,g__Ruminococcus_B,48,297363,0.5,7,4.0,2.23606797749979,30.0,0.4483427941804569
2.827586206896552,0.0,0.3536585365853659,1.0,3,5,False,6.295535030438751,10.16492831378268,541.1458333333334,g__Phocaeicola,1,8.666666666666666,0,3,0,4,0.8421052631578947,0.8338557993730408,False,0,g__Phocaeicola,0,25975,0.7222222222222222,5,3.0,1.7320508075688772,26.0,0.4105786191939648
2.896551724137931,0.0128723903354445,0.3452380952380952,0.7,5,5,False,5.71689063060894,9.58486505717771,302.9583333333333,g__Flavonifractor,0,5.4,0,5,0,7,0.5368421052631579,0.8275862068965517,False,0,g__Flavonifractor,40,14542,0.54,7,3.5,2.23606797749979,27.0,0.404180498588921
2.5172413793103448,0.0757916959887403,0.3972602739726028,0.5,5,4,False,6.514280498725525,10.384029211193528,673.7083333333334,g__Thomasclavelia,2,5.2,0,5,0,5,0.6421052631578947,0.8620689655172413,False,0,g__Thomasclavelia,162,32338,0.4545454545454545,7,2.5,2.23606797749979,26.0,0.3964842015792267
2.3448275862068964,0.0441590429275158,0.4264705882352941,0.3333333333333333,4,4,False,5.049188049172468,8.914088348841334,154.89583333333334,g__Eggerthella,2,7.0,0,4,0,2,0.4631578947368421,0.877742946708464,False,0,g__Eggerthella,106,7435,0.45,4,1.3333333333333333,2.0,28.0,0.36706611071922773
2.2758620689655173,0.1449624677457189,0.4393939393939394,0.2,5,4,False,8.922458279521734,12.793528700231208,7497.5,g__Blautia_A,5,4.8,0,5,0,3,0.9473684210526316,0.8840125391849529,False,0,g__Blautia_A,234,359880,0.2555555555555555,8,1.0,2.23606797749979,24.0,0.3657601767522287
2.3793103448275863,0.0751231527093595,0.4202898550724637,0.5,4,4,False,7.204257712428372,11.074730532239144,1344.1458333333333,g__Intestinibacter,1,6.0,0,4,0,4,0.7789473684210526,0.8746081504702193,False,0,g__Intestinibacter,128,64519,0.359375,5,2.0,2.0,24.0,0.36463598842437567
2.4827586206896552,0.0106145906638517,0.4027777777777778,0.6666666666666666,4,4,False,6.126914670707019,9.99597557197128,457.0208333333333,g__Sarcina,1,5.75,0,4,0,3,0.431578947368421,0.865203761755486,False,0,g__Sarcina,28,21937,0.4107142857142857,4,2.6666666666666665,2.0,23.0,0.33970767757828685
2.6206896551724137,0.0689655172413793,0.3815789473684211,0.5,4,5,False,5.960468253837765,9.829141090407472,386.7916666666667,g__Clostridium,0,5.0,0,4,0,6,0.6842105263157895,0.852664576802508,False,0,g__Clostridium,100,18566,0.3958333333333333,6,2.0,2.0,20.0,0.3176416163208664
3.1724137931034484,0.0,0.3152173913043478,1.0,3,5,False,5.79269597664371,9.660906307329444,326.8958333333333,g__Otoolea,0,6.333333333333333,0,3,0,5,0.5473684210526316,0.8025078369905956,False,0,g__Otoolea,0,15691,0.7037037037037037,5,3.0,1.7320508075688772,19.0,0.31603670886258084
2.413793103448276,0.0250410509031198,0.4142857142857143,0.6666666666666666,3,4,False,5.960521975398926,9.829194947954273,386.8125,g__Gemmiger,1,6.333333333333333,0,3,0,7,0.4421052631578947,0.8714733542319749,False,0,g__Gemmiger,60,18567,0.4222222222222222,8,2.0,1.7320508075688772,19.0,0.29576105126758984
2.5172413793103448,0.0154820548909218,0.3972602739726028,0.3333333333333333,3,4,False,8.361396713561637,12.232368849728752,4277.666666666667,g__Enterococcus_B,4,6.666666666666667,0,3,0,4,0.5473684210526316,0.8620689655172413,False,0,g__Enterococcus_B,22,205328,0.4523809523809524,8,1.0,1.7320508075688772,20.0,0.2690300854762241
2.862068965517241,0.0,0.3493975903614457,1.0,2,5,False,7.015057658002304,10.88537874149423,1112.2708333333333,g__Anaerostipes,1,6.5,0,2,0,2,0.8421052631578947,0.8307210031347961,False,0,g__Anaerostipes,0,53389,0.5909090909090909,3,2.0,1.4142135623730951,13.0,0.22952856341706807
2.6206896551724137,0.0860837438423645,0.3815789473684211,0.1666666666666666,4,4,False,6.797870656077689,10.667978173164208,894.9375,g__Fusicatenibacter,2,3.75,0,4,0,7,0.5263157894736842,0.852664576802508,False,0,g__Fusicatenibacter,136,42957,0.325,9,0.6666666666666664,2.0,15.0,0.22691866361184135
2.5517241379310347,0.0131011025099695,0.3918918918918919,0.3333333333333333,3,4,False,5.526697184657492,9.393994374003915,250.3125,g__Granulicatella,1,5.0,0,3,0,6,0.5894736842105263,0.8589341692789968,False,0,g__Granulicatella,20,12015,0.3888888888888889,7,1.0,1.7320508075688772,15.0,0.200126541741007
2.862068965517241,0.0,0.3493975903614457,0.0,1,4,False,8.347674329258883,12.218643302704026,4219.354166666667,g__Collinsella,0,9.0,0,1,0,3,0.6631578947368421,0.8307210031347961,False,0,g__Collinsella,0,202529,0.0,3,0.0,1.0,9.0,0.18128654970760236
3.3793103448275863,0.0,0.2959183673469387,0.0,1,6,False,5.790851720341776,9.659056522078664,326.2916666666667,g__Dialister,0,8.0,0,1,0,1,0.4631578947368421,0.7836990595611284,False,0,g__Dialister,0,15662,0.0,1,0.0,1.0,8.0,0.14661654135338345
2.793103448275862,0.0155582922824302,0.3580246913580246,0.0,2,4,False,5.594633929266828,9.462187991418748,267.9791666666667,g__Lacticaseibacillus,1,5.5,0,2,0,5,0.5578947368421052,0.8369905956112853,False,0,g__Lacticaseibacillus,22,12863,0.5,6,0.0,1.4142135623730951,11.0,0.13146595039336617
3.586206896551724,0.0,0.2788461538461538,0.0,1,5,False,6.995861542475836,10.866165563963404,1091.1041666666667,g__Agathobacter,0,4.0,0,1,0,3,0.4842105263157895,0.7648902821316614,False,0,g__Agathobacter,0,52373,0.0,3,0.0,1.0,4.0,0.007936507936507945
