#OTU ID	g__Acetatifactor	g__Acutalibacter	g__Adlercreutzia	g__Agathobacter	g__Agathobaculum	g__Alistipes	g__Alistipes_A	g__Alitiscatomonas	g__Allocoprobacillus	g__Amedibacterium	g__Anaerobutyricum	g__Anaerofustis	g__Anaeromassilibacillus	g__Anaerostipes	g__Anaerotignum	g__Anaerotruncus	g__Anthropogastromicrobium	g__Aristaeella	g__Bacteroides	g__Bariatricus	g__Bifidobacterium	g__Bittarella	g__Blautia	g__Blautia_A	g__Brotaphodocola	g__Butyribacter	g__CAG-170	g__CAG-177	g__CAG-217	g__CAG-488	g__Catenibacterium	g__Choladousia	g__Clostridium	g__Clostridium_A	g__Clostridium_AP	g__Collinsella	g__Coprococcus_A	g__Dialister	g__Dorea	g__Dorea_A	g__Dorea_D	g__Dysosmobacter	g__Eggerthella	g__Enterobacter	g__Enterocloster	g__Enterococcus	g__Enterococcus_A	g__Enterococcus_B	g__Eubacterium_F	g__Eubacterium_G	g__Eubacterium_I	g__Evtepia	g__Faecalibacterium	g__Faecalimonas	g__Faecousia	g__Finegoldia	g__Flavonifractor	g__Fusicatenibacter	g__Fusobacterium_A	g__Gallintestinimicrobium	g__Gemella	g__Gemmiger	g__Gordonibacter	g__Granulicatella	g__Guopingia	g__Haemophilus_D	g__Holdemanella	g__Holdemania	g__Hominenteromicrobium	g__Hominibacterium	g__Hominicoprocola	g__Hominifimenecus	g__Hominilimicola	g__Hominimerdicola	g__Hominiventricola	g__Hungatella	g__Intestinibacter	g__JAGTTR01	g__Klebsiella	g__Lachnoclostridium_B	g__Lachnospira	g__Lacticaseibacillus	g__Lactiplantibacillus	g__Lactobacillus	g__Lactococcus	g__Lactonifactor	g__Laedolimicola	g__Lancefieldella	g__Latilactobacillus	g__Lawsonibacter	g__Lentihominibacter	g__Leuconostoc	g__Ligilactobacillus	g__Limivivens	g__Limosilactobacillus	g__Longicatena	g__Massilioclostridium	g__Mediterraneibacter	g__Megamonas	g__Merdibacter	g__Merdimmobilis	g__Merdimonas	g__Merdivicinus	g__Muricomes	g__Murimonas	g__Nanosynbacter	g__Negativibacillus	g__Odoribacter	g__Oliverpabstia	g__Onthenecus	g__Otoolea	g__Parabacteroides	g__Paraprevotella	g__Pararoseburia	g__Parasutterella	g__Pauljensenia	g__Pediococcus	g__Peptostreptococcus	g__Phascolarctobacterium	g__Phocaeicola	g__Prevotella	g__Pseudobutyricicoccus	g__Pseudoflavonifractor_A	g__Pseudoscilispira	g__Roseburia	g__Roseburia_D	g__Rothia	g__Ruminiclostridium_E	g__Ruminococcus_B	g__Ruminococcus_C	g__Ruminococcus_E	g__Ruthenibacterium	g__Sarcina	g__Schaedlerella	g__Sellimonas	g__Streptococcus	g__Sutterella	g__Terrisporobacter	g__Thomasclavelia	g__Turicibacter	g__Tyzzerella	g__UBA3402	g__URXU01	g__Veillonella	g__Vescimonas	g__Weissella	g__Wujia
g__Acetatifactor	3.0013	-0.0680	0.0500	-0.1858	0.2091	0.2645	-0.1612	0.3403	0.0184	-0.5397	0.4792	-0.1944	-0.0548	0.0067	0.1916	-0.0180	-0.0074	0.1079	0.0971	0.3508	-0.9116	-0.0987	-0.3402	0.0154	0.1815	0.1384	0.0143	-0.0886	-0.1156	0.3067	0.3372	0.2833	0.7590	-0.4088	-0.0336	-0.2382	0.1766	-0.4472	-0.2051	-0.2523	0.2228	0.2620	-0.6690	0.3198	-0.1553	0.0422	-0.3945	-0.7234	-0.0357	0.2746	-0.1555	0.2066	-0.1170	-0.2678	-0.0008	-0.4041	-0.5568	0.0342	-0.2936	0.3847	0.0418	0.6580	-0.0059	0.0705	0.1017	0.5738	0.1219	0.0392	0.5965	0.1244	0.7795	0.0440	0.5812	0.0425	0.4521	0.0387	-0.2446	0.0871	0.4357	0.5162	0.3730	-0.4304	-0.2374	-0.1800	-0.0589	-0.0773	0.0887	-0.2711	-0.2386	0.2324	0.2147	0.3007	-0.5888	0.1053	-0.4534	-0.5284	-0.3547	0.0815	-0.5048	-0.0633	0.1397	-0.1549	0.1580	-0.0986	0.6259	0.1385	0.5964	-0.4813	-0.0648	0.2248	0.3504	0.1832	0.2989	-0.2554	-0.0406	-0.4530	-0.6801	-0.3163	-0.2507	-0.5286	0.6081	-0.0528	-0.3389	-0.0642	0.0528	0.2754	-0.0381	-0.2177	-0.3664	0.4604	0.2709	-0.2218	1.1061	0.1842	-0.1474	-0.2268	-0.2805	-0.1363	-0.0439	0.0985	-0.2187	0.1184	-0.4003	0.4849	-0.2248	-0.1421	-0.0305
g__Acutalibacter	-0.0680	4.0307	0.0304	-1.1990	-0.0660	-0.3848	0.1113	0.1386	0.2770	-0.0288	-1.0525	0.6325	1.4476	-0.2416	0.9892	0.3279	-0.4701	-0.0625	-0.3419	-0.3040	0.3037	0.0514	0.4363	-0.1811	-0.2478	-0.0594	0.1871	0.0852	0.0329	-0.1705	-0.2296	-0.3856	-0.3283	0.8055	0.8535	-0.4759	0.0282	0.2844	-0.2301	-0.3860	-0.2522	-0.0812	-0.2902	-0.6549	-0.1361	-0.3010	0.4131	0.2469	0.2905	-0.2893	-0.4701	-0.3121	-0.7331	1.1479	0.0397	0.2066	0.7229	-0.7557	0.1444	-0.5767	0.3739	-1.2245	0.0317	0.0326	0.2591	-0.5610	-0.1944	0.0573	-0.5870	0.0564	-0.2488	-0.1223	-0.4671	0.3286	-0.3594	0.5826	0.3329	-0.0217	-0.9568	-0.1274	-0.1873	1.1169	0.2682	0.7267	-0.0473	0.5347	-0.0687	0.3543	0.0595	0.1730	-0.2235	-0.4922	0.4522	0.1110	0.5167	-0.0351	0.3444	-0.2453	-0.0029	0.7215	0.0671	0.6149	0.9170	0.0318	0.0736	0.1354	0.6530	-0.6789	-0.2463	0.0002	0.0933	-0.6176	-0.3300	0.0246	0.2608	-0.0457	0.5686	-0.0306	0.0171	-0.6472	-0.5319	0.1559	0.0462	-0.0176	-0.7612	-0.2468	-0.1344	0.2675	0.3728	-0.3922	-0.3140	0.4511	0.0315	-0.1086	0.3510	-0.1190	-0.1295	0.0930	0.7965	0.4370	-0.3395	-0.1221	0.0617	0.1098	-0.0754	-0.0339	-0.1134
g__Adlercreutzia	0.0500	0.0304	2.6845	-0.0003	0.1925	0.2301	-0.1346	-0.2002	0.0840	-0.1284	0.3723	-0.0655	-0.0029	0.2277	-0.1499	-0.1991	-0.2780	0.1127	-0.0099	0.3672	0.2036	-0.0730	-0.3575	0.0103	-0.0490	-0.0830	0.0691	0.0996	0.0166	0.1288	0.0035	0.0579	0.0316	-0.0938	0.3715	0.4693	0.2446	-0.0465	0.4078	-0.1238	0.1567	0.1184	0.1055	-0.0095	-0.3368	-0.2794	-0.1156	-0.2694	0.2461	0.2915	0.2400	0.3493	0.0907	-0.3914	0.2865	-0.0152	-0.3903	0.2502	-0.1387	0.4109	-0.1165	0.2483	0.3004	-0.2413	-0.0384	-0.4885	-0.0357	0.3044	0.2967	0.2290	0.0218	-0.0749	0.2262	0.0190	0.1279	-0.1690	-0.3344	-0.0697	0.5180	-0.1280	-0.0748	-0.1497	-0.1568	0.0901	-0.3122	0.0127	-0.1808	-0.1050	-0.2628	-0.0124	0.3964	0.0691	0.4436	-0.0417	0.2163	-0.1105	-0.0014	-0.1799	-0.0877	-0.1353	-0.0915	-0.2571	-0.0903	-0.0205	-0.1133	-0.0553	-0.1436	0.2407	0.6111	0.2437	-0.3330	0.2656	0.1043	-0.1112	0.1968	-0.1260	-0.1155	-0.2534	-0.1548	-0.3467	-0.0499	-0.0472	-0.1052	0.0737	0.0846	0.0592	-0.4924	0.1967	-0.5519	0.2032	0.4276	-0.1949	0.0479	0.2981	0.0754	-0.1422	-0.3108	-0.1607	-0.2377	-0.4488	0.0777	-0.0620	-0.1569	-0.3201	0.0851	0.3175	0.0911
g__Agathobacter	-0.1858	-1.1990	-0.0003	9.8280	1.0648	1.2953	-0.5231	0.1238	0.3350	-0.7695	2.2087	-0.6540	-0.3174	2.0958	-0.2460	-0.6572	0.1582	-0.2428	1.0279	1.5756	0.5094	0.0937	-0.2093	1.4223	0.0693	0.5030	-0.4663	-0.4426	0.3080	-0.2153	-0.3599	0.1508	-1.0483	0.7502	-0.8139	2.6245	1.0449	0.8346	1.3538	1.5975	0.0172	0.5868	1.8435	-0.0395	0.6082	-1.0824	0.0512	-2.1504	-0.0799	0.8771	0.4542	0.6185	1.6955	-0.9615	-0.1562	-0.7838	0.4219	4.3217	-0.5855	0.6251	-1.1719	2.2515	-0.2848	-0.5473	-0.7163	-1.1258	-0.3745	-0.9026	0.8084	0.0338	-0.0966	-0.2006	2.7583	0.3027	0.5102	0.0671	0.0222	-0.4314	0.4090	-0.0485	1.0865	-2.2519	-0.9252	-0.3192	-0.3163	-0.3917	-0.1471	-1.5404	-1.8658	-0.1053	0.3818	-0.5805	-1.3618	1.1561	-1.5912	-0.9014	-0.3262	0.8217	-0.3269	-0.5142	-0.6185	-1.0524	-0.6276	-0.4822	0.0755	-2.2975	0.3185	0.6228	0.4974	0.0283	0.6324	0.8895	0.1981	-0.2839	-0.1734	-0.9426	-0.4258	-0.6991	-0.4227	0.4201	0.0422	-0.5639	-0.8133	-0.3225	3.3195	0.3063	-0.3423	-0.7606	-0.1752	0.1147	0.2258	0.0900	-1.2482	0.1751	0.9536	-0.7611	-0.3560	-0.9894	-1.8260	-0.8252	0.0403	-0.2391	-0.4508	-0.8561	-0.3998	-0.4813	0.0166
g__Agathobaculum	0.2091	-0.0660	0.1925	1.0648	6.4177	0.3662	-0.1514	0.6523	-0.3630	-0.4553	1.4392	-0.5622	0.3006	0.5810	0.5995	-0.6266	0.9163	-0.1621	1.7389	0.6443	-0.8238	-0.2704	-0.2781	1.5806	0.4923	-0.1792	-0.4419	-0.4635	0.2170	0.0785	-0.0779	0.6610	0.3906	0.3041	0.0560	2.6618	1.2332	-0.4425	2.2486	2.1543	-0.0296	0.5009	1.0884	-0.6763	0.3035	-1.5566	-1.8172	-3.6139	-0.4505	0.3257	0.4259	0.2425	1.9171	-1.5661	-0.2579	-0.2647	-0.6955	1.1017	-0.3406	0.5858	0.4503	1.2666	-0.0965	-0.3070	-0.0916	-1.6248	-0.0160	-0.0669	0.6214	0.0183	0.7780	-0.0262	0.9835	0.1951	0.3529	-1.0385	-1.7288	-0.1950	-0.5146	0.5014	-0.1363	-1.2192	-1.7268	-1.3628	-0.3211	-0.5296	0.1224	-0.3753	0.2590	-0.0891	0.3047	0.0183	-1.0483	0.9628	-2.2583	-0.3109	-0.2574	1.1902	-0.3418	-0.3119	0.0133	-0.5487	0.0128	-0.4691	0.6942	-1.4729	1.1481	1.9048	0.8479	0.1399	0.4475	0.8736	0.4893	-0.3426	0.7466	-0.6405	-1.1679	-0.1966	0.5914	1.4279	0.3949	-0.4124	-0.2643	-0.0118	0.4417	-0.0938	-0.1850	-0.5782	-1.4694	0.4311	-0.0569	-0.1294	-0.5526	0.6751	-0.4816	-1.0955	-1.0460	0.4736	-1.7997	0.4110	0.4332	-0.0196	-0.2638	-1.9400	-0.0574	0.6311	-0.2120
g__Alistipes	0.2645	-0.3848	0.2301	1.2953	0.3662	4.8875	-0.3896	-0.1146	0.3194	-0.7764	0.5941	-0.4773	0.7055	-0.0586	0.3014	0.3204	0.4531	-0.1146	1.0400	0.4331	-0.4541	0.2246	-0.0160	0.1704	-0.0491	-0.0135	0.1302	-0.4506	0.3262	-0.0212	-0.5311	-0.2605	-0.2320	0.2941	0.4895	1.2840	0.4418	0.1069	0.7743	0.7840	0.0781	0.8401	0.1582	-0.6326	0.1816	-0.2623	-0.3764	-0.9481	-0.3071	0.8508	0.5086	1.1148	0.8416	-1.4005	0.1220	-0.3957	0.4531	2.0860	-0.7648	0.5009	-0.9916	1.3298	-0.4005	-0.8209	-0.4728	-0.9361	-0.5959	0.0265	0.4521	0.3164	0.7006	-0.1738	0.8354	-0.1340	0.1208	0.1006	0.0214	-0.1131	-0.2208	-0.3570	0.3973	-1.3149	-0.4365	-0.0507	-0.4875	0.1686	-0.0771	-0.4555	-0.7999	0.3423	0.7664	-0.6303	0.0059	0.3240	-0.5102	-0.1473	-0.2460	1.0594	-0.4196	-0.4324	-0.3471	-0.2851	-0.2004	-0.1292	0.3396	-1.4192	0.2410	0.7260	0.5481	0.3829	0.7221	1.4543	0.1265	-0.4500	-0.1746	-0.5638	-0.9634	-0.3390	0.0621	0.8638	0.3249	-0.3782	-0.3489	0.0797	1.0978	0.0069	-0.6575	-0.1044	-1.2259	0.4531	-0.1930	0.3491	0.4325	0.0170	0.0954	-0.4803	-0.3961	-0.8528	-0.9230	-0.5648	0.3732	-0.1767	-0.3275	-1.0923	-0.0381	-1.0814	-0.1071
g__Alistipes_A	-0.1612	0.1113	-0.1346	-0.5231	-0.1514	-0.3896	1.9338	-0.1230	-0.0822	0.2449	-0.6266	0.1942	0.0387	-0.2531	-0.0660	0.1316	-0.2394	0.0674	-0.3591	-0.2021	-0.0805	0.0464	-0.1845	-0.2755	-0.0713	0.2046	0.1652	0.1431	0.0554	-0.0756	-0.0129	-0.0684	-0.0384	-0.0908	-0.0648	-0.3707	-0.2160	-0.2653	-0.3553	-0.4015	0.0983	-0.3284	-0.1188	0.0510	-0.0965	0.2816	0.3663	0.7666	0.0719	-0.3053	-0.2381	-0.1148	-0.7186	0.4539	0.0828	0.3013	-0.0786	-0.6580	0.1308	-0.2738	0.3395	-0.5383	0.0212	0.3700	0.1488	0.3567	0.0752	0.1024	-0.1566	-0.0478	-0.1363	0.0554	-0.3957	-0.1250	-0.0499	0.2004	0.4103	0.0550	-0.1700	-0.1773	-0.4036	0.4717	0.3115	0.1823	0.1265	0.1710	0.1427	0.1978	0.2747	-0.1460	-0.1749	0.2634	0.0487	-0.1323	0.4146	0.1561	0.1274	-0.6495	0.1891	0.1445	0.1518	0.1441	0.1028	0.1114	-0.1430	0.5175	-0.0235	-0.3479	-0.3469	0.1231	-0.0992	-0.4704	-0.0722	0.1466	0.1046	0.2424	0.4396	0.0969	0.3110	-0.1001	-0.2800	0.2071	0.1594	0.1503	-0.6688	0.0660	0.2367	0.2072	0.4285	-0.1969	-0.0803	-0.0960	0.0712	0.0910	-0.0193	0.2817	0.1191	0.1854	0.5445	0.1113	0.1399	0.0298	0.1394	0.3209	0.0590	0.2602	0.0056
g__Alitiscatomonas	0.3403	0.1386	-0.2002	0.1238	0.6523	-0.1146	-0.1230	4.4718	-0.5412	-0.2188	0.5096	0.1392	-0.3831	0.6813	-0.1366	-0.4388	0.7117	-0.1216	1.0028	0.5390	0.0510	-0.3211	-0.2797	0.3489	0.7650	0.1401	-0.1045	-0.3999	-0.0016	0.1925	-0.1674	0.2522	-0.1043	-0.2890	-0.4220	0.5135	0.4135	0.2424	1.2371	0.8243	-0.0167	0.4055	0.1433	0.0550	0.1571	-0.1966	-1.3201	0.0519	-0.0918	0.0608	0.4633	-0.3575	1.6543	-0.4602	-0.0622	-0.3707	-0.2430	-0.4452	-0.5751	0.3003	-0.4957	0.4429	-0.1502	0.0664	-0.2036	0.1493	-0.3060	0.0166	0.2521	0.1053	0.4428	-0.0015	-0.2160	-0.0571	0.6258	-0.0708	-0.5299	0.0603	0.3789	0.3693	-0.0544	-0.6734	-0.4905	0.6056	-0.2428	-0.0354	0.1565	0.2249	0.5175	-0.4169	-0.0680	0.0387	-0.7270	0.6889	0.2867	-0.4515	-0.4254	0.9396	0.1874	-0.2844	-0.0145	0.0234	-0.2110	-0.0559	0.1315	-0.1224	-0.1222	0.4979	0.1912	0.0823	0.0263	0.6803	0.1890	-0.2751	0.5954	-0.0138	-0.5816	0.2544	-0.6661	0.4049	-0.3057	-0.1547	-0.1526	-0.0963	0.3368	-0.0019	-0.8217	-0.2908	-0.8316	0.2289	-0.2851	-0.4450	-0.2649	0.0355	-0.2420	-0.6230	-0.2455	-0.3664	-0.3567	-0.0315	-0.4486	0.2598	0.0082	-0.3084	-0.0671	-0.3819	-0.1095
g__Allocoprobacillus	0.0184	0.2770	0.0840	0.3350	-0.3630	0.3194	-0.0822	-0.5412	3.8843	-0.1176	0.3204	0.1461	0.5818	0.3924	0.5729	0.3132	0.0882	-0.1065	0.1268	-0.2005	0.1992	0.2831	-0.1268	-0.2237	-0.2849	0.0360	-0.2942	-0.0907	-0.0952	-0.2740	-0.5870	-0.4181	0.5199	0.8010	0.2424	-0.9089	-0.3024	0.1224	-0.9090	-0.8462	-0.1877	-0.0857	0.1422	-0.4889	0.1505	0.4691	0.5589	0.5687	0.0424	0.1429	-0.3523	-0.0435	-0.7416	0.3912	0.0152	-0.1424	0.3475	1.2057	0.2241	0.1808	-0.1974	-0.0283	0.1304	-0.5315	-0.0504	-0.9422	-0.3628	-0.1453	0.0764	0.3314	-0.4352	-0.0878	0.7199	0.2307	-0.2526	0.3607	0.8059	-0.2057	0.4588	0.1694	0.7527	-0.7291	-0.0208	-0.4185	0.1892	0.0196	-0.1970	-0.1822	-0.4261	0.4014	0.1009	-0.3303	-0.8081	-0.1985	-0.7157	0.4279	0.2242	0.1471	-0.3807	0.2192	-0.2150	0.6142	0.3950	0.0291	0.1725	-0.2560	0.2695	0.1748	0.3449	-0.4349	0.7157	0.2360	-0.2036	-0.0124	-0.1740	-0.5338	-0.0618	-0.2321	-0.2633	-0.2009	-0.3759	-0.0832	-0.0090	-0.1352	-0.4993	0.0096	-0.6949	-0.2162	0.5734	-0.0459	0.3213	0.6797	0.1896	0.0336	0.3997	-0.3095	-0.4351	-0.0930	1.1558	0.6028	0.3923	-0.2588	-0.2721	-0.1432	-0.1786	-0.2653	-0.1379
g__Amedibacterium	-0.5397	-0.0288	-0.1284	-0.7695	-0.4553	-0.7764	0.2449	-0.2188	-0.1176	4.6791	-0.1137	0.0520	-0.4052	0.3770	-0.2975	-0.2216	-0.1718	0.0277	0.3884	-0.8745	0.0226	0.1873	0.7842	0.4369	0.0213	-0.0224	0.1134	0.0471	-0.0988	-0.1360	-0.3119	-0.2615	0.3862	0.4423	0.0711	0.1387	-0.6461	-0.0264	-0.4257	-0.5850	-0.1678	-0.2688	1.3277	-0.1222	0.0698	-0.3832	-0.4376	-0.4257	0.0977	0.5179	-0.1730	-0.0375	0.5844	1.7033	-0.0542	0.4085	-0.1553	-0.1395	0.7527	-0.4054	0.3934	-1.0090	0.0138	0.5491	-0.0132	0.7819	-0.3620	0.0859	-0.6807	-0.2240	-0.4582	-0.0435	-0.4472	-0.0472	-0.3713	-0.1263	-0.2896	-0.0557	-0.0417	-0.7429	0.4121	-0.4109	0.1714	-0.3585	0.3468	-0.0362	-0.0686	0.1148	0.3999	-0.1523	-0.3061	0.8304	-0.0771	-0.6489	0.3040	0.5191	0.3654	-0.6523	0.6146	0.0787	0.0084	0.0216	0.0603	0.1299	-0.4817	-0.2141	-0.6112	-0.6432	-0.5030	-0.1749	-0.1238	-0.5377	-0.3451	0.4159	0.9025	0.2863	0.8258	-0.2261	0.3210	0.3444	-0.8643	0.2114	0.3460	-0.0229	0.1234	-0.2336	-0.0040	0.3117	1.0650	-0.6073	-0.0821	0.2209	-1.1401	0.9965	0.5688	0.3801	-0.2410	0.1563	1.1713	-0.1147	0.6898	-0.0530	0.5033	-0.4891	0.3806	0.6232	-0.1390
