"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","log_mean","log_sum","mean","name","negative_degree","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","positive_degree","prevalence","Radiality","selected","SelfLoops","shared name","Stress","sum","TopologicalCoefficient","total_degree"
"2.206896551724138","0.045173586676049725","0.453125","0.4642857142857143","8","4","false","6.87443545462203","10.744623610809523","966.2291666666666","g__Bacteroides","4","6.0","0","8","0","6","0.7684210526315789","0.8902821316614419","false","0","g__Bacteroides","102","46379","0.3333333333333333","10"
"2.4827586206896552","0.010614590663851748","0.4027777777777778","0.6666666666666666","4","4","false","6.126914670707019","9.995975571971279","457.0208333333333","g__Sarcina","1","5.75","0","4","0","3","0.43157894736842106","0.865203761755486","false","0","g__Sarcina","28","21937","0.4107142857142857","4"
"2.5517241379310347","0.029990616936429744","0.3918918918918919","0.6666666666666666","6","4","false","6.689910166119136","10.559892944867965","803.25","g__Enterocloster","0","5.333333333333333","0","6","0","7","0.6631578947368421","0.8589341692789968","false","0","g__Enterocloster","96","38556","0.4444444444444444","7"
"2.1724137931034484","0.17796152943936197","0.4603174603174603","0.4","6","4","false","7.161945198701672","11.03238653380911","1288.4166666666667","g__Faecalimonas","2","6.0","0","6","0","5","0.5684210526315789","0.8934169278996865","false","0","g__Faecalimonas","374","61844","0.3157894736842105","7"
"2.3448275862068964","0.04415904292751583","0.42647058823529416","0.3333333333333333","4","4","false","5.049188049172468","8.914088348841334","154.89583333333334","g__Eggerthella","2","7.0","0","4","0","2","0.4631578947368421","0.877742946708464","false","0","g__Eggerthella","106","7435","0.45","4"
"2.896551724137931","0.012872390335444524","0.34523809523809523","0.7","5","5","false","5.71689063060894","9.58486505717771","302.9583333333333","g__Flavonifractor","0","5.4","0","5","0","7","0.5368421052631579","0.8275862068965517","false","0","g__Flavonifractor","40","14542","0.54","7"
"1.896551724137931","0.2888927984987098","0.5272727272727272","0.25","9","3","false","7.730769594884916","11.601540555323874","2276.3541666666665","g__Faecalibacterium","5","5.444444444444445","0","9","0","10","0.8315789473684211","0.9184952978056427","false","0","g__Faecalibacterium","494","109265","0.24242424242424243","15"
"3.1724137931034484","0.0","0.31521739130434784","1.0","3","5","false","5.79269597664371","9.660906307329443","326.8958333333333","g__Otoolea","0","6.333333333333333","0","3","0","5","0.5473684210526316","0.8025078369905956","false","0","g__Otoolea","0","15691","0.7037037037037037","5"
"2.8620689655172415","0.0","0.34939759036144574","0.0","1","4","false","8.347674329258883","12.218643302704026","4219.354166666667","g__Collinsella","0","9.0","0","1","0","3","0.6631578947368421","0.8307210031347961","false","0","g__Collinsella","0","202529","0.0","3"
"2.5172413793103448","0.0011083743842364533","0.3972602739726028","0.9","5","4","false","6.704363291568891","10.574363561449843","814.9583333333334","g__Haemophilus_D","2","7.8","0","5","0","3","0.43157894736842106","0.8620689655172413","false","0","g__Haemophilus_D","4","39118","0.52","5"
