#OTU ID	sum	mean	log_sum	log_mean
g__Acetatifactor	748	15.583333333333334	6.618738983517219	2.808398174936492
g__Acutalibacter	2125	44.270833333333336	7.661997558901893	3.8126629693485388
g__Adlercreutzia	707	14.729166666666666	6.56244409369372	2.7555167383411336
g__Agathobacter	52373	1091.1041666666667	10.866165563963404	6.9958615424758355
g__Agathobaculum	6252	130.25	8.740816627567298	4.877103901471733
g__Alistipes	15804	329.25	9.668081624649718	5.799849943402434
g__Alistipes_A	19	0.3958333333333333	2.995732273553991	0.3334916084830751
g__Alitiscatomonas	1439	29.979166666666668	7.272398392570046	3.433314935552264
g__Allocoprobacillus	1731	36.0625	7.4570320891223805	3.612605676757944
g__Amedibacterium	2907	60.5625	7.97522083865341	4.120052918932307
g__Anaerobutyricum	31305	652.1875	10.351565051448167	6.481864224354722
g__Anaerofustis	65	1.3541666666666667	4.189654742026425	0.8561868078044497
g__Anaeromassilibacillus	1354	28.20833333333333	7.211556733313801	3.3744540566866443
g__Anaerostipes	53389	1112.2708333333333	10.88537874149423	7.015057658002304
g__Anaerotignum	3510	73.125	8.163656176168432	4.30575285731789
g__Anaerotruncus	265	5.520833333333333	5.583496308781699	1.8750021796322622
g__Anthropogastromicrobium	6791	141.47916666666666	8.823500727991183	4.959195790190205
g__Aristaeella	127	2.645833333333333	4.852030263919617	1.293584963015623
g__Bacteroides	46379	966.2291666666666	10.744623610809523	6.87443545462203
g__Bariatricus	4315	89.89583333333333	8.370084326378025	4.509714162215719
g__Bifidobacterium	473715	9869.0625	13.068363264993314	9.19726146472764
g__Bittarella	187	3.8958333333333335	5.236441962829949	1.588384503236268
g__Blautia	70964	1478.4166666666667	11.169942076733358	7.299403144918797
g__Blautia_A	359880	7497.5	12.793528700231207	8.922458279521734
g__Brotaphodocola	520	10.833333333333334	6.255750041753367	2.4709204078132605
g__Butyribacter	513	10.6875	6.242223265455165	2.4585198946148052
g__CAG-170	125	2.6041666666666665	4.836281906951478	1.282090583589888
g__CAG-177	32	0.6666666666666666	3.4965075614664802	0.5108256237659906
g__CAG-217	1010	21.041666666666668	6.918695219020472	3.0929346015103536
g__CAG-488	1696	35.333333333333336	7.436617265234226	3.592735593561034
g__Catenibacterium	2835	59.0625	7.950149887652017	4.095385686730511
g__Choladousia	533	11.104166666666666	6.280395838960195	2.49354974594402
g__Clostridium	18566	386.7916666666667	9.829141090407472	5.960468253837765
g__Clostridium_A	2379	49.5625	7.77485576666552	3.92321019481871
g__Clostridium_AP	912	19.0	6.816735880594968	2.995732273553991
g__Collinsella	202529	4219.354166666667	12.218643302704026	8.347674329258883
g__Coprococcus_A	2008	41.833333333333336	7.605392364814934	3.7573166156671647
g__Dialister	15662	326.2916666666667	9.659056522078663	5.7908517203417755
g__Dorea	6211	129.39583333333334	8.734238184268577	4.870574696016811
g__Dorea_A	17562	365.875	9.773549695421735	5.905021190582361
g__Dorea_D	374	7.791666666666667	5.926926025970411	2.173804303128121
g__Dysosmobacter	1110	23.125	7.0130157896396295	3.1832486472250494
g__Eggerthella	7435	154.89583333333334	8.914088348841334	5.049188049172468
g__Enterobacter	15213	316.9375	9.629971335557245	5.7618548225829835
g__Enterocloster	38556	803.25	10.559892944867965	6.689910166119136
