#OTU ID	CT43	CT46	CT5	CT50	CT51	CT55	CT56	PD10	PD104	PD110	PD114	PD115	PD116	PD119	PD121	PD123	PD124	PD130	PD132	PD133	PD136	PD142	PD145	PD153	PD154	PD162	PD17	PD171	PD173	PD18	PD183	PD19	PD20	PD201	PD202	PD203	PD206	PD21	PD216	PD226	PD23	PD230	PD237	PD242	PD245	PD247	PD248	PD25	PD251	PD252	PD257	PD258	PD259	PD260	PD261	PD28	PD29	PD3	PD30	PD32	PD37	PD38	PD41	PD46	PD47	PD48	PD50	PD54	PD55	PD60	PD67	PD68	PD69	PD7	PD81	PD82	PD83	PD85	PD88	PD9	PD90	PD92	PD95	PD96	PD97	PV126	PV128	PV129	PV130	PV137	PV143	PV153	PV4	PV44	PV45
g__Anaerotruncus	0	0	0	0	71	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	6	0	0	0	0	0	0	0	0	0	0	12	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0
g__Anthropogastromicrobium	223	26	18	102	4	0	0	0	8	0	0	113	0	44	0	0	0	49	0	0	156	0	0	0	0	0	0	0	0	0	0	0	0	98	10	0	0	8	289	0	0	0	112	3	88	0	0	0	0	0	0	12	0	11	4	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	4902	4	129	0	0	0	0	5	0	0	0	5	0	0	0	0	162	0	33	0	7	97	0	61	0
g__Aristaeella	34	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Bacteroides	69	197	485	51	518	0	1561	3	75	9	7	0	0	41	65	3	0	0	80	8	4065	0	0	0	34	37	7	881	5	556	0	0	16	2161	937	652	3963	5	0	0	15	6	854	6994	14	4	0	13	0	31	909	41	30	11	41	8	0	5	220	0	0	55	0	6723	8	4	0	180	0	31	38	4	1104	827	2209	5	0	43	22	7	21	1132	0	21	518	41	1121	2573	122	1926	1111	33	5	606	202
g__Bariatricus	122	54	0	0	25	0	0	0	3	0	0	0	0	0	0	0	0	70	0	239	0	0	0	0	0	0	0	0	0	0	0	0	0	196	47	0	0	0	0	0	0	0	284	0	0	0	0	0	0	0	0	0	567	0	6	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	517	178	0	0	0	0	0	0	0	55	0	0	0	0	0	1905	0	0	0	38	0	0	0
g__Bifidobacterium	52	285	3892	38849	25	2112	13768	26979	53	335	11638	935	0	17494	0	5994	7184	144	7727	22402	9816	24	8354	848	0	5866	926	62	416	837	3936	9320	7812	2870	1125	2016	514	3891	1831	7	10139	63	490	2853	531	707	9519	4835	243	18089	799	6277	2399	522	117	0	4528	6131	378	4180	0	2666	0	0	103	9	0	14514	400	39959	453	210	1901	1442	865	28593	6963	3405	2335	0	28580	8472	14457	0	3497	1951	9	1422	4643	10	0	688	3862	0	9167
g__Bittarella	0	0	10	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	0	0	0	0	17	0	0	0	0	0	0	4	0	0	0	0	0	12	3	0	0	0	0	4	3
g__Blautia	148	0	405	724	9	0	233	0	8	2958	4171	147	0	552	1655	15	0	277	0	0	665	0	429	1197	7341	13	0	195	252	264	0	0	25	47	52	2651	0	55	11564	4611	0	2415	0	7	4	0	324	7	226	3032	1244	138	35	89	11	2539	0	0	34	0	2680	21	0	16	16	0	0	92	0	2602	5087	0	60	162	1464	0	1090	1436	385	0	0	0	0	0	327	157	246	239	134	190	20	0	3205	161	406
g__Blautia_A	2026	4848	3640	5875	620	6366	15238	13	88	199	2233	2988	0	5806	2636	1172	1267	2197	1868	2093	4140	2524	4430	3205	288	68	14	9858	2748	1516	7	7	12388	1011	1849	2137	838	2164	19807	0	16	667	2352	937	33094	21	2618	14	8688	1340	642	8714	13845	43	312	371	3294	16	779	21	2855	445	0	579	137	0	14	2061	33259	4338	6	16	5747	1902	13610	18	7269	333	9811	2517	22	20281	0	24	1066	10450	5711	5080	1542	1332	2055	559	3296	1627	13962
g__Brotaphodocola	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	165	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0	0	56	21	0	0	13	50	0	0	0
