#SampleID	faith_pd
CT1	12.21656114039512
CT10	19.05275359501861
CT11	14.79380816213343
CT12	17.3039883092798
CT13	23.31516926886344
CT14	16.46082594513636
CT15	19.72402840627593
CT16	18.11983906480578
CT17	16.26832523550932
CT18	18.92749354460239
CT19	21.41715939855392
CT2	18.66583337391848
CT20	15.4941704128223
CT21	13.52912822257315
CT22	14.49867834836003
CT23	17.81076683350907
CT24	18.79599618161058
CT25	12.10311015789666
CT26	22.32278254899921
CT27	15.65198357049396
CT28	16.2398464946452
CT29	12.5030466936039
CT3	12.51802717827544
CT30	18.3436875172064
CT31	18.37034875754106
CT32	17.41265406555709
CT33	19.02588589817734
CT34	18.55065901115861
CT35	17.27251386061223
CT36	17.32288219831754
CT37	19.61893963046976
CT38	16.30289961606931
CT39	13.76450667757548
CT4	18.7049891119489
CT40	15.3105732331285
CT41	14.62052838920491
CT42	19.83221025687533
CT43	23.77371575463205
CT44	17.95220405902013
CT45	16.17965980276229
CT46	21.42716728138257
CT47	16.83989641892041
CT48	12.78570833758979
CT49	14.99098583377747
CT5	13.9441520322195
CT50	9.517853722417856
CT51	15.34531160036415
CT52	19.94532387011018
CT53	19.83365905792787
CT54	12.14578241468592
CT55	8.483182800154452
CT56	9.475045378754194
CT57	12.87200889812618
CT6	14.48732841242114
CT7	16.13432473572152
CT8	15.844733256304
CT9	18.37892010392387
PD1	14.79443738478485
PD10	5.658095135615881
PD100	12.52005481491164
PD101	19.78240438959572
PD102	14.45571975720269
PD103	19.21817515653136
PD104	13.81592045252839
PD105	19.32802337548917
PD106	15.83746114458728
PD107	14.02009987907292
PD108	11.66950059599938
PD109	13.95687269659529
PD11	14.53213027394365
PD110	11.1484621421916
PD111	12.86706003396493
PD112	14.90410318760059
PD113	22.14429142992683
PD114	12.373708819573
PD115	13.12956686546248
PD116	6.252095264616623
PD117	15.70001219827654
PD118	18.03904322860721
PD119	9.387243527540312
PD12	8.3426809281451
PD120	15.3294028406146
PD121	10.62001610923684
PD122	12.03703159865579
PD123	10.97111355466869
PD124	7.734157633185591
PD125	11.84281980291629
PD126	19.12045145782481
PD127	11.76224113754219
PD128	15.27546818839302
PD129	13.27670833077261
PD13	9.548478498802346
PD130	12.19864064135697
PD131	15.87587337307457
PD132	12.98490634843001
PD133	7.998548926539145
PD134	12.36064707796989
PD135	10.50679545730423
PD136	9.363975913413615
PD137	11.77174805881196
PD138	9.77106678621343
PD139	11.3804375400699
PD14	11.13589215056684
PD140	10.29141554720482
PD141	18.61252585115133
PD142	8.16294293341741
PD143	12.36101048019532
PD144	10.92884177727741
PD145	9.260713017884322
PD146	14.51458610494413
PD147	12.90392159818005
PD148	11.61620318089876
PD149	9.033125741994571
PD15	14.35351554179077
PD150	10.38599150308916
PD151	7.462714236646203
PD152	8.341488623011927
PD153	11.21680966544108
PD154	10.18560416052983
PD155	11.64312485327103
PD156	14.08451601890397
PD157	11.05644466048624
PD158	12.98857415980773
PD159	10.46259295727743
PD16	11.09744674021791
PD160	10.95259132154446
PD161	11.62109251898956
PD162	9.867738022210249
PD163	12.49094904238678
PD164	12.27363459090481
PD165	9.952697185045308
PD166	25.30018577224584
PD167	10.12617579074827
PD168	14.9099327224936
PD169	11.51450341656377
PD17	12.06733902367025
PD170	15.4001864239014
PD171	11.28146818648641
PD172	12.53939918392152
PD173	8.081741481833324
PD174	13.79147069159382
PD175	11.13345017446985
PD176	15.1916442416673
PD177	11.92095014562842
PD178	11.25674246331915
PD179	14.19258912936658
PD18	16.48237304392688
PD180	11.50735855974915
PD181	10.35498093806497
PD182	10.30841952471335
PD183	6.686163311398595
PD184	23.78137119072624
