	statistic	p-value	adjusted-p
g__Ruminococcus_C	26.002782803750055	2.2571865673894965e-06	0.0004017792089953304
g__Wujia	23.462031352896183	8.04052903594012e-06	0.0007156070841986707
g__Hominiventricola	19.194981286186096	6.789890548163818e-05	0.004028668391910532
g__UBA3402	15.30851938417277	0.00047402064039203445	0.021093918497445532
g__Coprococcus	14.0509843355499	0.000888929909269647	0.031645904769999435
g__Otoolea	12.37931779922254	0.002050526069240302	0.06083227338746229
g__Eubacterium_I	11.573524991191308	0.0030678984505170185	0.07246681627972268
g__CAG-488	11.453937073999857	0.0032569355631336034	0.07246681627972268
g__Faecalimonas	11.038627181189616	0.00400859853770299	0.0792811710790147
g__Eubacterium_G	10.651193754286192	0.004865446073817314	0.08660494011394819
g__Roseburia	10.179926453689673	0.0061582463411533955	0.0913473207271087
g__Phascolarctobacterium	10.24191265823819	0.005970310582155984	0.0913473207271087
g__Gemmiger	9.726444854485653	0.007725548718168457	0.1057805901410758
g__Evtepia	8.757241443354927	0.012542646496357524	0.1098387282251244
g__Catenibacterium	8.7914356751486	0.01233002619180325	0.1098387282251244
g__Acetatifactor	9.309023791942616	0.009518558154853786	0.1098387282251244
g__Alistipes	9.168152629998987	0.010213179192606177	0.1098387282251244
g__Murimonas	9.11019658382927	0.010513466792543977	0.1098387282251244
g__Hominilimicola	8.692006417178494	0.012958501644537148	0.1098387282251244
g__Agathobacter	8.884308931129082	0.011770551933492053	0.1098387282251244
g__Enterococcus_B	9.11382027158735	0.010494435278361006	0.1098387282251244
g__Actinomyces	8.187578888895368	0.01667592119801337	0.13492336242029
g__CAG-177	7.600166614517921	0.02236890828610696	0.1659027364552933
g__Adlercreutzia	7.654567969731087	0.021768659420080536	0.1659027364552933
g__Brotaphodocola	7.277131377672529	0.02629002501242524	0.17998555585429588
g__Mediterraneibacter	7.338537925801767	0.025495101000532608	0.17998555585429588
g__Agathobaculum	7.163990926728517	0.027820128782488285	0.18340677493640425
g__Dialister	6.496427995312709	0.03884352053568381	0.23915064102823796
g__JAGTTR01	6.490298697441607	0.03896274488662304	0.23915064102823796
g__Pseudobutyricicoccus	6.295321143602826	0.04295249369572196	0.2506528047179488
g__Holdemanella	6.262965782727594	0.04365301655200233	0.2506528047179488
g__Paraprevotella	6.057224731221832	0.048382729105171475	0.26912893064751636
