	statistic	p-value	adjusted-p
g__Schaedlerella	39.01910357983576	3.365962810146337e-09	5.99141380206048e-07
g__Hominiventricola	25.76653354389838	2.54020245872936e-06	0.00022607801882691304
g__Parabacteroides	22.736206207360283	1.15583423112878e-05	0.0006857949771364095
g__Evtepia	19.038104248203883	7.343924265758418e-05	0.0026410423283346664
g__Pseudobutyricicoccus	18.65321139894098	8.90238987079101e-05	0.0026410423283346664
g__Tyzzerella	18.83613431133893	8.124289752360308e-05	0.0026410423283346664
g__Anaerotignum	17.237696969945574	0.00018066817708605135	0.004594133645902449
g__Lacticaseibacillus	16.746592147106274	0.0002309530595383635	0.005138705574728588
g__Otoolea	16.256332992553972	0.0002951087881316538	0.005836596031937153
g__Amedibacterium	15.230328977672151	0.0004929195958344914	0.008773968805853948
g__Paraprevotella	14.835307597353175	0.000600556520379217	0.009035096023181309
g__Eubacterium_R	14.807031255173811	0.0006091075970684029	0.009035096023181309
g__RUG11247	14.08554527398821	0.0008737007458484079	0.011962979443155124
g__Anthropogastromicrobium	13.220037633715785	0.0013468068065012504	0.017123686539801612
g__Eubacterium_F	12.221556832080939	0.0022188229730032865	0.024684405574661564
g__Hominifimenecus	12.322886700967453	0.0021092067490800703	0.024684405574661564
g__Dysosmobacter	12.085640701955473	0.002374851544619749	0.024866092643665606
g__Allocoprobacillus	11.946470205313414	0.002545991537594353	0.02517702742732194
g__CAG-170	11.138628808570884	0.003813093777393664	0.03572266801979327
g__Eggerthella	10.770434493973564	0.004583844387681423	0.03718165066189383
g__Bittarella	10.765361996214926	0.004595484913267776	0.03718165066189383
g__Dorea_D	10.8718287492854	0.004357249041055581	0.03718165066189383
g__Lentihominibacter	10.57535372089169	0.005053486588047557	0.037480025528019385
g__Lachnoclostridium_B	10.640981253498836	0.00489035379816591	0.037480025528019385
g__Hominibacterium	10.28903360232777	0.005831291356565517	0.04151879445874648
g__Bacteroides	10.127530777840596	0.006321710941177383	0.04327940567421439
g__Fusobacterium_A	9.99535830392276	0.006753602910631088	0.044523752521938284
g__Phocaeicola	9.68911360144483	0.007871105150173799	0.045195377959062456
g__Anaerostipes	9.892595827403731	0.0071096809207769765	0.045195377959062456
g__Holdemania	9.820648574985011	0.007370097913225807	0.045195377959062456
g__CAG-269	9.743991605601996	0.007658066036183902	0.045195377959062456
g__Catenibacterium	9.393125106244815	0.009126595430277062	0.049228302623918696
g__Brotaphodocola	9.434813096583131	0.008938329641121262	0.049228302623918696
g__Angelakisella	9.24088270665314	0.009848448456355133	0.051559524271506285
g__CAG-488	9.111043626467694	0.01050901505798729	0.053445848009192505
g__CAG-177	9.032546038412919	0.010929682571037897	0.054041208267909605
g__Roseburia_D	8.81761725849129	0.012169668283630829	0.058545971742872634
g__Eisenbergiella	8.679426566747347	0.013040266528717632	0.061083353739782596
g__Alistipes	8.423971973279924	0.014816912907642471	0.06534009598480921
g__Agathobacter	8.445807451671728	0.014656025577886008	0.06534009598480921
g__Anaerotardibacter	8.39272177478545	0.015050246827961673	0.06534009598480921
g__Streptococcus	8.307513739597155	0.015705302735528053	0.06656056873628556
g__Fusicatenibacter	8.25094588531515	0.016155851989477565	0.06687771288667457
