	statistic	p-value	adjusted-p
1,4-dihydroxy-6-naphthoate biosynthesis I	23.430444513908164	8.168524567011164e-06	0.001365488378805169
1,4-dihydroxy-6-naphthoate biosynthesis II	23.135611727453167	9.465983555240182e-06	0.001365488378805169
superpathway of menaquinol-8 biosynthesis II	22.937785357575002	1.0450166164325273e-05	0.001365488378805169
UDP-2,3-diacetamido-2,3-dideoxy-&alpha;-D-mannuronate biosynthesis	11.232922652655022	0.0036374902520842044	0.09740824639326974
7-(3-amino-3-carboxypropyl)-wyosine biosynthesis	10.329224061100433	0.005715279762870419	0.09740824639326974
phosphopantothenate biosynthesis III	10.329224061100433	0.005715279762870419	0.09740824639326974
CDP-archaeol biosynthesis	10.329224061100433	0.005715279762870419	0.09740824639326974
archaetidylinositol biosynthesis	10.329224061100433	0.005715279762870419	0.09740824639326974
archaetidylserine and archaetidylethanolamine biosynthesis	10.329224061100433	0.005715279762870419	0.09740824639326974
tetrahydromethanopterin biosynthesis	10.329224061100433	0.005715279762870419	0.09740824639326974
flavin biosynthesis II (archaea)	10.329224061100433	0.005715279762870419	0.09740824639326974
mevalonate pathway II (archaea)	10.329224061100433	0.005715279762870419	0.09740824639326974
superpathway of menaquinol-11 biosynthesis	10.467363668430323	0.005333850751472224	0.09740824639326974
superpathway of menaquinol-12 biosynthesis	10.467363668430323	0.005333850751472224	0.09740824639326974
superpathway of menaquinol-13 biosynthesis	10.467363668430323	0.005333850751472224	0.09740824639326974
superpathway of phylloquinol biosynthesis	12.601824137062295	0.0018346307047785435	0.09740824639326974
factor 420 biosynthesis	10.329224061100433	0.005715279762870419	0.09740824639326974
adenosine nucleotides degradation IV	10.390466869777448	0.005542922252519054	0.09740824639326974
superpathway of menaquinol-7 biosynthesis	10.356220710506477	0.0056386514016143075	0.09740824639326974
methanogenesis from H2 and CO2	10.329224061100433	0.005715279762870419	0.09740824639326974
1,4-dihydroxy-2-naphthoate biosynthesis I	12.583562610229308	0.0018514589943503439	0.09740824639326974
