	statistic	p-value	adjusted-p
mevalonate pathway I	18.263306342780027	0.00010818658621305207	0.0032212606307753223
phosphopantothenate biosynthesis III	18.40376805594892	0.00010084921998772699	0.0032212606307753223
methanogenesis from H2 and CO2	18.40376805594892	0.00010084921998772699	0.0032212606307753223
7-(3-amino-3-carboxypropyl)-wyosine biosynthesis	18.40376805594892	0.00010084921998772699	0.0032212606307753223
chorismate biosynthesis II (archaea)	22.247400852652472	1.4758366342408342e-05	0.0032212606307753223
archaetidylinositol biosynthesis	18.40376805594892	0.00010084921998772699	0.0032212606307753223
archaetidylserine and archaetidylethanolamine biosynthesis	18.40376805594892	0.00010084921998772699	0.0032212606307753223
superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate)	18.14037401195293	0.00011504502252769007	0.0032212606307753223
factor 420 biosynthesis	18.40376805594892	0.00010084921998772699	0.0032212606307753223
tetrahydromethanopterin biosynthesis	18.40376805594892	0.00010084921998772699	0.0032212606307753223
mevalonate pathway II (archaea)	18.40376805594892	0.00010084921998772699	0.0032212606307753223
flavin biosynthesis II (archaea)	18.40376805594892	0.00010084921998772699	0.0032212606307753223
CDP-archaeol biosynthesis	18.40376805594892	0.00010084921998772699	0.0032212606307753223
coenzyme B biosynthesis	18.40376805594892	0.00010084921998772699	0.0032212606307753223
peptidoglycan biosynthesis V (&beta;-lactam resistance)	16.392410352805086	0.0002756978119244495	0.007204902818292279
mannan degradation	15.134385835086151	0.0005171420734944843	0.012669980800614867
chondroitin sulfate degradation I (bacterial)	12.123832937928865	0.0023299313648963388	0.048070162896808676
lactose and galactose degradation I	12.325037112010818	0.002106940137092313	0.048070162896808676
L-lysine biosynthesis II	12.189901195295931	0.0022542215018080246	0.048070162896808676
superpathway of 2,3-butanediol biosynthesis	11.728552149604752	0.0028390775815298813	0.05564592059798567
photorespiration	10.720535836866452	0.004699646816885322	0.08772674058185934
aromatic biogenic amine degradation (bacteria)	10.390908593422209	0.005541698167790818	0.09874298553518185
colanic acid building blocks biosynthesis	10.084597551571278	0.006458883714154864	0.1100818441716829
superpathway of GDP-mannose-derived O-antigen building blocks biosynthesis	9.618726142278774	0.008153050957729835	0.13316649897625396
