Node	Closeness
g__Ruminococcus_B	0.386212150066654
g__Murimonas	0.35419456249636144
g__Hominicoprocola	0.34877321715202936
g__Flavonifractor	0.3318424784553289
g__Bariatricus	0.3302393746946752
g__Acetatifactor	0.3239789126151552
g__Onthenecus	0.3224507101971592
g__Hominiventricola	0.3224507101971592
g__Thomasclavelia	0.31795139796185007
g__Coprococcus_A	0.31795139796185007
g__Lentihominibacter	0.31647940074906367
g__Pseudoflavonifractor_A	0.31647940074906367
g__Faecalimonas	0.31647940074906367
g__Phocaeicola	0.31502097033086524
g__Choladousia	0.31502097033086524
g__Gemella	0.3107252298263534
g__Oliverpabstia	0.30654506978384644
g__Roseburia_D	0.30382022471910114
g__Eggerthella	0.302475887441583
g__Blautia_A	0.2972154372252076
g__Granulicatella	0.29465323518016273
g__Wujia	0.2933886290205912
g__Sellimonas	0.2933886290205912
g__Dorea	0.29213483146067415
g__Merdimonas	0.28722500236049475
g__Hominifimenecus	0.2813150228880566
g__Hungatella	0.2813150228880566
g__Eubacterium_I	0.28016209246638424
g__Limivivens	0.2767593140153755
g__Enterocloster	0.273438202247191
g__Bacteroides	0.26913208882597545
g__Amedibacterium	0.26913208882597545
g__Dorea_A	0.2670294943820225
g__Lachnospira	0.26292134831460673
g__Lacticaseibacillus	0.26191398682681133
g__Hominenteromicrobium	0.2569907915857058
g__Sarcina	0.2531835205992509
g__Alistipes	0.2531835205992509
g__CAG-170	0.25040128410914925
g__Parabacteroides	0.24948741080948084
g__Paraprevotella	0.24858018386108274
g__Pediococcus	0.24858018386108274
g__Agathobacter	0.24678538108952258
g__Ruthenibacterium	0.2458976638913588
g__Anthropogastromicrobium	0.2432724219281059
g__Roseburia	0.23901940755873338
g__Enterococcus_A	0.2381865873233371
g__Lachnoclostridium_B	0.23653823723805453
g__Laedolimicola	0.23653823723805453
g__Holdemanella	0.23410804986917041
g__Fusobacterium_A	0.2333090462859992
g__UBA3402	0.22786516853932587
g__Bifidobacterium	0.22560907776170877
g__Alitiscatomonas	0.22194659273310957
g__Anaerostipes	0.21163947542352246
g__Nanosynbacter	0.20905061333883107
g__Brotaphodocola	0.20528393562101427
g__Anaerotignum	0.20405835988596344
g__Rothia	0.20405835988596344
g__Vescimonas	0.20405835988596344
g__Acutalibacter	0.2004678902105506
g__Lawsonibacter	0.19929898122973105
g__Dysosmobacter	0.19929898122973105
g__Anaerobutyricum	0.1964354901201085
g__Enterococcus_B	0.1942032686414709
g__Lactonifactor	0.19094846525641831
g__Fusicatenibacter	0.18831832110688088
g__CAG-217	0.18525623458481777
g__Haemophilus_D	0.18376223269300473
g__Clostridium_A	0.17989355410999408
g__Catenibacterium	0.17989355410999408
g__Veillonella	0.17528089887640452
g__Agathobaculum	0.1708988764044944
g__Faecalibacterium	0.1708988764044944
g__Enterococcus	0.1708988764044944
g__Gemmiger	0.16592123922766444
g__Allocoprobacillus	0.16353959464544918
g__Collinsella	0.16084600132187707
g__Streptococcus	0.15258828250401285
g__Turicibacter	0.025280898876404494
g__Intestinibacter	0.025280898876404494
g__Leuconostoc	0.02247191011235955
g__Clostridium	0.016853932584269662
g__Terrisporobacter	0.016853932584269662
g__Latilactobacillus	0.014981273408239699
g__Otoolea	0.014981273408239699
g__URXU01	0.011235955056179775
g__Megamonas	0.011235955056179775
g__Klebsiella	0.011235955056179775
g__Enterobacter	0.011235955056179775
