#OTU ID	CT12	CT15	CT16	CT17	CT18	CT19	CT2	CT23	CT26	CT28	CT30	CT35	CT40	CT41	CT52	PD100	PD101	PD105	PD106	PD109	PD111	PD120	PD122	PD131	PD141	PD146	PD165	PD166	PD191	PD200	PD208	PD214	PD219	PD223	PD235	PD31	PD34	PD51	PD66	PD70	PD93	PD94	PD98	PV102	PV111	PV115	PV121	PV123	PV125	PV127	PV131	PV132	PV135	PV140	PV145	PV152	PV154	PV155	PV158	PV162	PV163	PV164	PV165	PV17	PV26	PV42	PV48	PV55	PV60	PV62	PV66	PV69	PV70	PV71	PV72	PV79	PV80	PV83	PV88	PV98
g__Acetatifactor	98	346	539	700	7	220	63	226	289	46	24	158	0	0	36	0	404	49	36	27	45	19	31	565	0	26	0	39	0	0	0	0	0	306	4	10	0	0	43	8	88	32	0	0	147	19	634	21	530	116	0	0	0	0	819	23	0	35	370	85	0	23	103	185	30	115	78	68	440	107	0	0	214	266	81	0	101	227	16	0
g__Acutalibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	50	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	896	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	17	0	0	0
g__Adlercreutzia	117	115	250	0	0	11	40	0	8	0	0	0	54	0	0	0	106	12	0	0	0	0	104	0	28	0	0	0	0	0	0	0	0	79	0	0	0	0	11	25	107	0	0	0	15	0	95	67	0	42	0	0	0	142	10	0	0	0	70	50	0	9	0	0	37	0	0	0	0	0	0	0	72	0	0	0	0	5	0	0
g__Agathobacter	2718	1707	2811	148	72	362	555	203	1191	395	1370	851	73	103	999	1674	1205	574	1073	62	652	171	2227	0	13	1108	0	68	0	264	137	85	0	249	12	627	0	1353	206	142	18	390	0	28	204	531	1316	273	469	611	1473	388	176	3421	4281	185	0	250	188	142	26	228	95	1501	46	745	1488	8	800	263	592	22	260	8	833	0	2358	422	0	161
g__Agathobaculum	251	357	434	196	147	238	55	194	78	195	74	97	101	124	130	353	218	198	186	104	0	35	39	18	52	60	73	81	0	35	59	16	11	63	167	161	0	78	38	169	16	203	0	177	10	29	143	108	124	171	130	281	54	256	350	18	160	34	165	34	21	199	87	48	61	702	0	188	52	59	0	70	108	7	82	64	121	24	528	50
g__Alistipes	235	103	26	61	303	389	5	12	8	342	0	81	1007	0	27	0	128	1342	0	0	13	48	0	183	733	0	0	26	0	0	0	0	3	124	0	0	101	0	5	13	1284	0	0	0	550	76	34	0	769	11	0	16	0	432	60	37	53	147	23	38	87	0	9	0	372	0	89	13	20	0	3	0	436	217	45	46	644	199	0	0
g__Alistipes_A	7	4	0	8	10	0	0	0	0	0	0	0	0	0	0	0	15	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	246	0	0	0	0	0	13	0	0	4	0	0	0	29	0	0	0	0	0	7	28	0	0	0	63	0	11	0	0	0	0	0	0	0	0	4	0	15	0	0
g__Alitiscatomonas	99	228	98	36	119	186	31	104	59	122	60	20	45	0	52	494	221	72	630	53	49	13	89	26	0	102	54	163	0	0	9	21	0	52	313	1164	60	39	0	488	17	1798	1195	115	49	92	101	88	0	23	15	0	0	103	206	34	0	10	56	75	77	139	9	0	68	214	93	116	145	95	87	75	95	120	53	0	88	99	103	0
g__Allocoprobacillus	0	0	0	0	0	0	0	0	0	0	0	4	0	5	0	0	0	0	15	0	0	0	0	0	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	3	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	9	11	0	11	0	0	0	0	0	0	0	0	8	23	0	7	0
g__Amedibacterium	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	7	0	371	0	0	25	28	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0
g__Anaerobutyricum	625	1300	1307	460	433	472	354	397	247	242	506	597	521	650	296	1622	383	2622	840	389	11	349	242	559	501	254	0	248	0	109	283	164	363	583	0	499	0	1315	1008	1319	1293	666	0	478	161	303	1266	237	907	387	209	763	183	1222	905	358	0	197	382	255	5	388	418	354	401	587	645	185	478	125	0	366	489	125	206	0	564	298	176	121
g__Anaerofustis	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	3	0	65	3	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	6	0
g__Anaeromassilibacillus	0	0	0	0	0	0	0	0	0	0	0	5	3	0	0	8	26	6	33	25	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	16	0	0	220	0	0	0	0	0	0	0	11	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	4	0	0	5	0	0	0	0	0	0
g__Anaerostipes	907	2031	798	525	200	415	671	369	248	2459	506	1378	60	323	122	532	4660	143	3154	1455	41	187	1475	317	97	189	1615	235	0	82	1465	184	36	344	41	3091	124	993	213	2698	694	2500	0	1889	89	111	510	494	1535	35	88	913	108	235	5183	104	53	143	315	86	428	961	81	364	1300	3579	43	218	522	79	85	712	300	71	555	20	600	966	0	29
g__Anaerotignum	35	29	33	115	38	92	0	43	0	40	26	10	74	0	14	0	152	54	57	11	32	96	0	0	60	0	0	134	0	3	4	0	0	168	0	43	23	0	0	5	98	0	0	0	62	120	77	70	86	12	0	0	0	10	0	46	0	0	27	0	50	0	3	88	58	26	21	0	66	28	0	34	77	13	53	22	69	57	181	0
g__Anaerotruncus	0	3	2	0	0	6	0	0	0	0	0	0	3	0	0	5	0	0	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	19	9	0	0	0	0	0	24	0	0	0	4	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	6	0	0	0	0	0	0
g__Anthropogastromicrobium	121	282	209	225	11	147	18	55	96	78	135	134	0	114	80	182	88	315	894	719	158	0	120	139	0	66	54	194	0	27	27	34	9	22	0	163	0	40	200	105	253	196	535	85	0	68	117	0	69	168	35	139	40	0	318	39	0	49	221	109	38	103	31	203	83	190	292	82	84	75	0	51	184	84	53	0	186	64	0	65
g__Aristaeella	0	0	9	0	0	0	0	10	0	0	0	0	0	0	0	0	458	0	0	0	0	0	0	0	0	10	0	110	0	0	0	0	0	0	0	0	0	0	112	0	13	0	0	0	0	0	0	0	0	0	0	0	5	0	20	0	0	16	0	0	0	0	0	0	0	17	22	0	0	0	0	0	0	0	0	0	0	21	0	0
g__Bacteroides	115	290	231	376	57	721	54	98	21	460	797	777	182	344	139	4148	1783	834	647	2764	43	723	104	2280	642	50	10	80	976	0	90	15	0	287	413	33	14	658	102	260	1324	6	5550	10	267	252	772	200	652	30	30	34	9	1455	237	17	435	252	182	80	178	47	118	160	525	70	439	62	93	21	7	137	156	210	192	92	2024	121	54	0
g__Bariatricus	624	638	432	433	353	362	162	127	175	111	125	214	0	0	52	0	368	227	457	0	8	195	106	201	163	0	0	164	0	118	393	81	0	164	0	423	104	0	165	14	874	700	0	0	130	368	403	0	83	177	78	100	37	162	250	84	0	32	107	128	304	221	204	0	237	0	263	139	234	113	17	0	320	0	218	0	452	139	0	38
g__Bifidobacterium	609	207	606	1573	111	606	1928	55	693	5293	186	43	349	5235	0	1059	2684	2528	1065	832	3352	470	68	2103	4149	722	6204	11	941	167	724	2721	250	312	0	4350	0	6042	287	1913	4238	1017	3192	0	27	75	172	879	3957	0	271	6159	55	355	17	246	3376	321	363	220	514	648	119	98	1439	1688	210	2225	483	0	83	3192	14	814	524	43	277	602	310	146
g__Bittarella	0	0	3	6	0	0	0	0	0	0	0	4	4	13	0	0	4	4	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	7	0	0	0	0	0	0	6	0	4	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0
g__Blautia	0	779	239	0	28	43	47	259	0	123	174	0	0	387	0	0	11	0	94	553	457	0	54	143	42	92	30	321	0	0	144	52	0	0	146	0	0	178	18	68	0	684	0	854	7	202	7	0	0	0	0	139	0	42	316	38	7	41	321	0	0	414	23	13	0	8	167	131	72	64	0	0	0	0	107	27	109	48	128	0
g__Blautia_A	3366	4739	3383	4079	1334	1561	1016	1451	1675	2230	1512	2327	2660	1736	1539	10959	8405	4791	6953	9630	14974	1688	1901	2365	2333	1977	3637	1171	3583	1158	535	1551	1148	4640	1232	3139	28	2554	2515	5427	7815	5723	1901	3880	1117	1875	5542	2793	1861	1264	2006	1716	975	6662	4155	1519	3016	631	1760	1257	1014	1712	1102	1296	3167	2529	2824	1473	2323	1372	977	2539	2301	2180	1389	5360	2457	1808	2166	499
g__Brotaphodocola	32	249	172	0	46	57	28	50	50	136	38	34	0	0	31	0	55	21	156	0	0	0	27	11	0	25	0	86	0	22	0	0	0	49	0	161	0	15	17	209	8	1068	0	202	0	28	224	60	0	23	0	0	0	215	274	0	0	11	63	37	30	61	0	0	70	172	44	63	41	18	18	34	28	27	38	0	39	59	125	16
g__Butyribacter	0	45	176	0	0	13	0	0	0	0	143	66	0	0	0	0	0	0	175	0	0	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	618	0	0	0	95	0	0	0	0	0	0	0	221	0	64	31	0	0	0	0	0	0	0	70	0	0
g__CAG-170	6	0	0	0	18	63	12	15	16	0	0	28	0	0	47	0	0	71	0	0	0	0	0	148	0	0	0	27	0	0	0	0	0	0	0	0	0	0	10	0	631	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	26	0	0	0	0	0	0	0	0	118	0	26	0	3	0	0	0	0	83	0	0
g__CAG-177	7	40	4	0	76	8	0	6	0	0	44	139	0	0	0	0	811	170	0	0	239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	4	2341	0	0	0	0	0	2	0	0	6	0	0	0	0	0	0	0	47	0	146	362	5	0	0	0	0	0	0	24	13	130	0	0	0	0	0	171	0	0	0
g__CAG-217	0	0	116	0	0	98	0	0	0	87	87	84	0	0	117	0	525	0	0	0	0	0	0	0	0	0	0	98	0	0	0	0	0	57	0	0	0	0	180	0	0	0	0	0	0	0	22	51	0	0	103	144	0	0	74	0	0	0	0	90	0	299	199	0	0	19	0	0	0	30	53	0	0	223	109	0	0	75	0	16
g__CAG-488	0	264	0	151	0	0	46	331	164	0	9	22	713	0	0	0	0	0	0	0	0	0	0	935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	209	0	0	49	369	99	35	0	43	62	0	0	0	0	0	0	0	6	0	9	0	0	0	0	0	0	10	628	0	0	9
g__Catenibacterium	3	0	1849	0	2356	1014	360	802	684	0	182	0	2728	0	465	0	0	1049	0	0	0	0	0	0	0	0	0	393	0	166	0	0	0	0	1880	0	0	0	400	0	0	0	0	5342	268	656	0	0	0	795	0	0	191	675	0	87	0	482	0	197	0	0	942	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	473
g__Choladousia	49	86	94	42	8	64	8	43	38	0	7	25	0	0	21	0	31	87	0	0	0	0	83	0	0	50	0	63	0	0	0	6	0	68	0	0	0	0	137	0	213	0	0	0	0	0	50	0	48	0	0	38	25	0	60	18	0	17	57	9	0	39	18	0	13	0	0	0	0	48	0	0	58	0	0	0	5	29	0	9
g__Clostridium	0	1659	269	5	65	152	32	30	0	24	41	296	0	33	14	4	8	541	60	247	0	113	1938	48	248	212	52	0	0	0	53	26	0	0	0	28	0	7	767	5505	0	22	21	0	7	58	331	4	17	291	0	160	260	28	33	0	42	130	221	115	7	66	3	0	35	0	23	295	49	3	0	25	26	77	39	4	0	0	0	144
g__Clostridium_A	14	0	0	254	49	21	0	0	42	11	219	9	38	2	0	19	0	86	48	30	185	8	0	111	21	0	11	0	0	0	10	6	10	14	7	18	0	74	0	22	182	52	154	13	0	0	8	8	0	13	3	26	0	72	0	0	5	14	25	7	25	0	5	0	307	20	19	7	20	0	0	21	3	15	5	31	50	8	0	0
g__Clostridium_AP	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	6	0	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	12	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0
g__Collinsella	5809	3860	2590	2378	3635	5383	242	1490	1247	862	3109	1182	1277	740	263	9655	8122	3014	3289	205	23	5784	2078	5208	1438	1933	0	26	0	1186	775	350	12993	565	4	9142	14	0	2076	10312	3055	0	25250	754	57	503	2403	11	2110	4952	0	771	1081	1451	261	144	0	494	170	1406	492	2540	4998	5453	11086	2379	1072	2485	1846	580	0	1279	1369	198	2239	10	2294	157	481	2569
g__Coprococcus_A	146	141	247	0	46	94	23	63	77	0	51	92	0	0	79	0	180	147	0	8	0	103	62	64	116	33	0	127	0	28	13	0	0	47	0	79	0	0	66	0	181	0	0	121	0	0	179	0	117	57	50	67	0	156	65	40	0	42	44	28	0	83	33	0	94	39	0	15	41	33	0	0	59	77	0	0	0	90	0	26
g__Dialister	1022	0	0	0	0	2730	1391	0	0	218	0	3148	0	745	0	564	0	0	1634	68	8136	0	0	0	431	0	1475	0	26	0	0	0	0	0	72	4167	662	744	0	2666	2496	0	1216	27	0	0	0	2	3011	3	0	0	0	145	8	0	0	0	0	0	1151	0	0	0	4821	124	0	381	0	0	130	12	0	7	0	3187	2400	422	0	0
g__Dorea	126	379	376	116	281	226	113	202	130	123	203	295	0	0	121	815	657	297	0	167	0	219	177	237	53	128	62	229	0	65	36	32	87	284	0	340	0	143	77	338	945	614	892	191	0	280	395	0	333	224	62	266	22	0	206	47	0	124	139	77	33	323	154	94	143	0	20	62	162	108	180	113	145	76	68	0	290	131	0	76
g__Dorea_A	633	807	745	237	590	622	396	217	427	444	194	680	0	139	174	0	680	1422	0	80	12	264	147	474	407	490	0	255	0	286	323	465	116	516	0	1360	30	0	247	1349	741	2473	703	425	45	1107	829	0	298	957	513	135	49	128	268	98	1023	121	136	200	173	1978	185	246	953	401	0	86	246	138	238	168	271	267	92	0	675	197	554	100
g__Dorea_D	0	24	69	39	0	60	0	0	11	0	36	0	0	0	0	0	10	0	0	0	0	0	16	0	0	42	0	18	0	16	0	0	0	0	0	0	0	82	0	0	148	0	0	0	0	0	22	0	0	0	0	0	0	0	21	18	0	0	0	0	0	0	0	0	48	0	0	0	0	13	0	0	43	10	0	0	0	42	0	0
g__Dysosmobacter	61	0	0	97	48	44	0	67	34	78	9	166	103	39	93	0	1002	66	151	5	165	64	17	314	155	60	0	83	0	0	0	0	0	37	0	10	78	0	6	0	285	0	0	0	75	124	15	31	27	11	0	11	0	344	108	63	88	65	45	73	48	6	20	21	121	70	90	11	181	21	19	3	32	224	15	24	135	75	185	0
g__Eggerthella	9	0	14	48	0	0	0	0	0	11	8	0	29	0	0	101	15	0	0	18	231	82	0	0	0	8	0	0	0	0	17	4	0	52	50	37	73	31	0	0	0	21	0	0	0	0	0	67	32	0	0	25	0	59	11	0	11	0	0	36	0	0	18	15	4	0	22	19	0	0	8	21	8	0	5	28	0	0	48	0
g__Enterobacter	39	0	0	0	24	0	0	0	5	0	0	0	0	0	12	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	117	0	0	0	42	0	0	0	0	0	0	0	0	409	0	0	0	0	0	0	0	0	0	0
g__Enterocloster	78	630	765	133	319	82	27	122	107	379	145	29	66	138	112	510	141	73	168	517	271	14	63	153	55	33	0	61	55	26	80	54	60	149	798	96	134	207	45	214	27	1455	649	769	49	411	1130	105	41	130	19	38	13	287	176	0	246	30	184	147	151	344	42	0	121	662	66	51	44	44	93	46	99	808	95	249	240	83	360	156
g__Enterococcus	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0
g__Enterococcus_A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0
g__Enterococcus_B	0	0	0	0	12	0	4	0	0	0	0	0	0	0	113	26	0	21	0	328	12179	21	138	29	0	891	0	0	0	13	0	0	0	0	237	11	0	0	45	11	0	0	79	0	0	11	0	0	9	0	0	0	0	0	0	17	8	0	0	0	0	0	0	0	0	0	0	0	0	3378	3	3	0	0	0	0	11	0	132	0
g__Eubacterium_F	0	0	0	0	0	36	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	92	0	0	0	0	0	26	0	0	0	0	0	0	0
g__Eubacterium_G	102	163	26	162	85	89	16	143	7	580	0	145	208	62	120	0	36	27	0	143	0	0	96	159	93	258	0	24	0	0	0	0	0	60	0	18	0	0	0	5	494	0	43	0	179	7	122	0	159	0	10	21	10	318	169	0	0	38	81	12	0	24	10	0	250	0	133	0	99	0	122	51	21	124	62	0	247	0	0	0
g__Eubacterium_I	60	51	285	0	82	55	21	16	53	190	122	103	0	60	53	0	483	65	0	61	0	0	152	116	22	0	53	96	0	66	74	0	38	57	0	0	0	0	21	0	51	0	0	20	96	143	413	7	201	36	89	168	20	245	318	59	0	79	52	40	188	71	13	0	59	161	74	45	62	19	155	0	50	94	125	46	233	154	0	0
g__Evtepia	105	61	99	100	0	0	0	44	30	30	62	84	0	0	59	0	159	190	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	32	5	0	0	0	0	22	0	0	0	96	67	0	0	0	0	0	0	0	40	54	0	0	0	48	6	0	8	65	0	0	0	17	0	48	82	0	0	148	0	0	0
g__Faecalibacterium	2758	5463	3164	4199	2232	1843	2288	2818	1526	906	3686	2492	3846	682	3264	7741	12720	7546	8981	3426	8044	6283	4339	7664	917	2856	1246	2399	10	2706	461	2898	320	4431	23	14648	3508	1768	3463	7247	7930	16790	17	1959	716	749	2671	880	5794	2404	2081	2152	1939	6930	5155	1109	2234	1230	2844	2243	1841	2853	2218	1444	1881	7965	2888	2659	3455	1226	2095	3979	2272	11278	2176	802	4317	1366	2617	405
g__Faecalimonas	0	0	0	0	0	0	0	0	0	52	0	0	63	74	0	0	0	0	0	1395	95	0	12	0	235	0	0	12	0	0	0	0	88	157	657	0	45	102	0	162	0	0	0	0	27	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Faecousia	0	0	0	4	0	21	0	0	0	0	0	0	28	0	0	0	85	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	3	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	14	0	0	0	31	53	9	0	0	0	0	0
g__Finegoldia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	5	0
g__Flavonifractor	4	0	0	122	25	8	0	0	0	6	0	13	14	284	0	122	42	15	42	108	130	11	9	26	24	10	0	0	52	0	7	3	0	21	88	0	26	28	0	0	11	0	7	4	0	136	0	85	10	3	0	3	0	64	0	0	29	35	0	0	20	0	0	32	17	0	68	0	24	3	0	27	0	40	15	23	76	0	141	0
g__Fusicatenibacter	1422	1565	870	5	1207	570	212	243	450	312	520	322	0	410	331	1170	0	811	2315	779	13	0	778	560	745	159	0	205	0	216	747	266	29	10	0	0	0	251	354	1182	977	2727	2288	603	203	350	859	232	1179	226	342	577	127	1408	932	69	0	250	755	209	220	226	267	275	529	1087	314	299	162	92	71	819	172	145	644	2706	279	297	113	101
g__Fusobacterium_A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Gallintestinimicrobium	137	79	42	359	83	55	0	34	35	12	26	12	0	0	8	357	0	51	175	0	0	48	110	33	0	0	0	0	0	0	0	0	0	9	0	17	74	0	62	0	0	0	0	0	29	0	33	0	30	17	17	21	0	0	30	4	0	4	70	66	9	23	0	0	18	31	90	0	58	16	0	44	23	111	0	0	20	72	45	0
g__Gemella	0	0	0	0	34	0	0	0	0	0	0	0	0	0	3	0	0	0	7	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	7	0	24	0	6	3	0	0	4	0	0	0	0	0	0	0	31	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	4	0
g__Gemmiger	2030	1771	1447	8	871	1209	268	405	277	580	175	1216	256	981	340	1387	1297	1290	0	0	0	562	294	469	152	289	0	171	1805	138	233	0	98	0	3	114	143	0	1057	162	1792	261	2274	0	193	579	1789	2007	2978	590	1235	955	129	1415	751	339	1094	132	345	665	230	1167	222	1792	1030	66	0	284	481	263	439	376	538	330	182	1603	975	827	1914	162
g__Gordonibacter	5	0	0	10	0	0	0	0	0	0	4	0	0	0	7	0	7	0	23	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	14	0	5	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0
g__Granulicatella	6	6	0	13	21	12	0	0	0	6	18	0	0	8	8	13	18	0	19	52	0	0	0	7	6	0	5	0	0	0	0	0	3	9	18	0	5045	10	0	25	0	0	11	3	0	6	6	11	0	5	0	2	0	17	0	0	13	0	0	0	3	4	0	0	0	3	0	4	5	4	0	0	8	0	0	13	0	7	0	0
g__Guopingia	5	0	0	0	0	11	0	0	22	0	4	0	0	0	4	0	39	63	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	216	0	0	0	0	0	7	0	15	3	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	12	0	7	0	0	0	0	14	0	0	9	0	0	0
g__Haemophilus_D	146	0	13	19	80	6	0	177	93	0	27	0	0	0	19	37	0	0	144	54	0	0	0	0	0	0	0	0	15	0	0	14	0	0	3	341	0	28	0	318	0	188	0	114	0	7	102	19	0	70	0	0	40	46	66	133	0	0	0	0	0	0	9	10	5	36	228	447	10	275	0	0	27	0	0	144	0	35	0	0
g__Holdemanella	0	0	1197	884	0	2	653	327	223	0	762	0	0	1570	103	0	3526	294	0	0	0	0	0	0	0	0	0	325	0	499	0	0	0	1404	0	0	0	0	564	0	0	0	2	1242	0	569	0	0	0	224	1548	1011	89	0	1156	185	3396	396	159	260	0	1591	135	0	0	0	0	0	1196	279	142	0	0	421	0	5311	0	476	0	38
