#OTU ID	CT12	CT15	CT16	CT17	CT18	CT19	CT2	CT23	CT26	CT28	CT30	CT35	CT40	CT41	CT52	PD100	PD101	PD105	PD106	PD109	PD111	PD120	PD122	PD131	PD141	PD146	PD165	PD166	PD191	PD200	PD208	PD214	PD219	PD223	PD235	PD31	PD34	PD51	PD66	PD70	PD93	PD94	PD98	PV102	PV111	PV115	PV121	PV123	PV125	PV127	PV131	PV132	PV135	PV140	PV145	PV152	PV154	PV155	PV158	PV162	PV163	PV164	PV165	PV17	PV26	PV42	PV48	PV55	PV60	PV62	PV66	PV69	PV70	PV71	PV72	PV79	PV80	PV83	PV88	PV98
g__Lactobacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	23	0	0	0	0	0	0	0	830	0	0	0	8	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Lactococcus	5	0	12	0	0	3	5	0	0	0	0	0	0	74	0	0	0	0	110	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	43	0	14	0	9	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0
g__Lactonifactor	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	6	0	0	0	0	0	37	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	34	11	0	0	0	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	7	0
g__Laedolimicola	0	15	17	31	0	16	0	0	5	7	17	9	0	0	0	0	45	24	91	0	0	0	30	12	0	47	0	45	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	22	0	13	17	0	0	0	0	76	0	0	0	0	17	0	0	0	0	16	0	0	0	26	0	0	0	0	55	0	0	8	0	0	0
g__Lancefieldella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0	5	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Latilactobacillus	0	111	0	0	11	0	6	63	0	0	14	0	0	13	3	0	0	0	337	41	22	0	0	60	0	0	26	0	0	0	0	0	0	0	12	0	0	0	176	68	0	0	0	0	0	5	0	42	0	20	0	13	125	108	52	33	0	0	0	0	0	0	4	0	0	0	0	0	0	198	0	0	0	3	0	0	0	17	0	0
g__Lawsonibacter	11	8	36	140	22	29	10	26	21	26	9	31	126	0	7	349	52	32	291	0	8	40	5	20	257	0	0	24	0	6	28	0	0	167	0	13	0	0	0	0	130	0	0	0	73	286	21	0	26	33	0	5	0	185	55	28	32	14	18	16	25	0	12	112	14	0	59	0	46	21	0	0	43	52	22	70	192	17	151	0
g__Lentihominibacter	48	9	25	48	0	26	0	5	11	0	8	49	0	0	30	0	72	255	0	0	0	40	0	44	10	0	0	28	0	0	0	0	0	15	0	0	0	0	24	2	54	0	0	0	6	7	33	0	99	0	0	0	0	105	14	6	0	25	17	11	15	6	18	0	26	0	26	0	33	0	0	0	0	48	0	0	0	24	0	0
g__Leuconostoc	9	10	0	0	0	4	6	0	0	0	0	0	0	6	6	0	4	0	116	0	0	0	0	8	0	5	0	0	0	0	0	0	0	0	6	0	0	0	22	0	0	0	5	0	0	0	7	0	10	0	0	8	8	120	9	9	0	0	0	0	0	0	0	0	0	7	4	0	0	8	34	0	5	0	0	0	5	3	0	0
g__Ligilactobacillus	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	10	0	39	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	4	0	9	0	0	0	0	4	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Limivivens	277	315	250	0	95	92	13	19	53	20	49	23	0	0	13	0	55	175	96	31	0	7	62	87	0	0	0	50	0	31	26	57	0	96	0	216	0	27	90	153	99	0	0	0	17	0	55	125	222	0	60	89	26	123	73	40	0	0	84	22	60	22	20	0	95	43	101	124	35	15	0	94	67	22	27	0	101	23	0	0
g__Limosilactobacillus	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	14	0	0	0	0	0	0	0	155	0	0	0	0	0	0	5	0	0	0	0	0	0	5	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	15	0	0
g__Longicatena	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0
g__Massilioclostridium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Mediterraneibacter	543	813	170	50	1408	674	135	207	304	301	334	168	184	0	227	0	330	595	32	1131	521	307	621	1482	42	0	0	66	271	48	208	543	111	196	0	0	689	5999	499	48	133	0	44	1945	212	214	1121	534	519	333	169	352	220	1068	376	172	79	322	504	78	300	1034	795	217	383	651	82	113	503	309	77	236	685	428	1546	293	743	984	0	112
