Node	Betweenness
g__Ruminococcus_B	2717.0
g__Hominicoprocola	2637.5
g__Blautia_A	2595.5
g__Murimonas	2508.5
g__Bariatricus	2467.0
g__Sellimonas	2449.5
g__Flavonifractor	2387.5
g__Coprococcus_A	2291.5
g__Dorea	2158.5
g__Hungatella	2116.0
g__Thomasclavelia	1991.0
g__Roseburia	1828.5
g__Pseudoflavonifractor_A	1810.0
g__Pediococcus	1749.5
g__Eubacterium_I	1726.0
g__Eggerthella	1706.5
g__Oliverpabstia	1506.5
g__Faecalimonas	1413.5
g__Hominiventricola	1295.0
g__Onthenecus	1257.0
g__Limivivens	1213.0
g__Acetatifactor	892.0
g__Choladousia	798.0
g__Phocaeicola	668.5
g__Gemella	637.5
g__Ruthenibacterium	525.5
g__Lachnospira	477.0
g__Granulicatella	472.5
g__Agathobacter	461.5
g__Dorea_A	437.0
g__Merdimonas	428.0
g__Alistipes	386.5
g__Lentihominibacter	337.0
g__Sarcina	301.5
g__Rothia	293.5
g__Anaerostipes	284.0
g__Bacteroides	251.5
g__Nanosynbacter	240.0
g__Haemophilus_D	227.5
g__Roseburia_D	195.5
g__Hominifimenecus	169.5
g__Vescimonas	162.5
g__Bifidobacterium	153.0
g__Hominenteromicrobium	152.0
g__Anaerotignum	113.0
g__Lacticaseibacillus	112.0
g__Acutalibacter	77.0
g__Anaerobutyricum	77.0
g__Holdemanella	77.0
g__Anthropogastromicrobium	77.0
g__Brotaphodocola	70.0
g__Parabacteroides	46.5
g__Enterocloster	41.0
g__Alitiscatomonas	35.0
g__Turicibacter	2.0
g__Intestinibacter	2.0
g__Wujia	1.5
g__Leuconostoc	1.0
g__Veillonella	0.5
g__Lawsonibacter	0.0
g__Agathobaculum	0.0
g__Allocoprobacillus	0.0
g__Dysosmobacter	0.0
g__CAG-170	0.0
g__Clostridium	0.0
g__Enterococcus	0.0
g__Amedibacterium	0.0
g__Lactonifactor	0.0
g__CAG-217	0.0
g__Clostridium_A	0.0
g__Catenibacterium	0.0
g__Faecalibacterium	0.0
g__Collinsella	0.0
g__Enterobacter	0.0
g__Gemmiger	0.0
g__Fusicatenibacter	0.0
g__Fusobacterium_A	0.0
g__Enterococcus_B	0.0
g__Enterococcus_A	0.0
g__Klebsiella	0.0
g__Laedolimicola	0.0
g__Streptococcus	0.0
g__Lachnoclostridium_B	0.0
g__Latilactobacillus	0.0
g__Paraprevotella	0.0
g__Otoolea	0.0
g__Megamonas	0.0
g__URXU01	0.0
g__UBA3402	0.0
g__Terrisporobacter	0.0
