Node	Score	Centrality	Cluster
g__Pseudoflavonifractor_A	0.10112359550561797	Degree	c1
g__Sellimonas	0.07865168539325842	Degree	c1
g__Bifidobacterium	0.033707865168539325	Degree	c1
g__Catenibacterium	0.011235955056179775	Degree	c1
g__Clostridium_A	0.011235955056179775	Degree	c1
g__Hominicoprocola	0.1797752808988764	Degree	c1
g__Thomasclavelia	0.12359550561797752	Degree	c1
g__Wujia	0.056179775280898875	Degree	c1
g__CAG-170	0.011235955056179775	Degree	c1
g__CAG-217	0.011235955056179775	Degree	c1
g__Holdemanella	0.02247191011235955	Degree	c1
g__Choladousia	0.12359550561797752	Degree	c1
g__Coprococcus_A	0.12359550561797752	Degree	c1
g__Hungatella	0.0449438202247191	Degree	c1
g__Roseburia_D	0.06741573033707865	Degree	c1
g__Clostridium	0.011235955056179775	Degree	c1
g__Intestinibacter	0.02247191011235955	Degree	c1
g__Eubacterium_I	0.056179775280898875	Degree	c1
g__Oliverpabstia	0.10112359550561797	Degree	c1
g__Onthenecus	0.10112359550561797	Degree	c1
g__Eggerthella	0.06741573033707865	Degree	c1
g__Pediococcus	0.06741573033707865	Degree	c1
g__Enterobacter	0.011235955056179775	Degree	c1
g__Klebsiella	0.011235955056179775	Degree	c1
g__Enterococcus_A	0.033707865168539325	Degree	c1
g__Roseburia	0.0449438202247191	Degree	c1
g__Enterococcus_B	0.011235955056179775	Degree	c1
g__Faecalimonas	0.07865168539325842	Degree	c1
g__Fusobacterium_A	0.011235955056179775	Degree	c1
g__Fusicatenibacter	0.011235955056179775	Degree	c1
g__Sarcina	0.033707865168539325	Degree	c1
g__Gemmiger	0.011235955056179775	Degree	c1
g__Haemophilus_D	0.0449438202247191	Degree	c1
g__Nanosynbacter	0.033707865168539325	Degree	c1
g__Streptococcus	0.02247191011235955	Degree	c1
g__Veillonella	0.033707865168539325	Degree	c1
g__Laedolimicola	0.011235955056179775	Degree	c1
g__Turicibacter	0.02247191011235955	Degree	c1
g__Lachnoclostridium_B	0.011235955056179775	Degree	c1
g__Lacticaseibacillus	0.033707865168539325	Degree	c1
g__Latilactobacillus	0.011235955056179775	Degree	c1
g__Leuconostoc	0.02247191011235955	Degree	c1
g__Paraprevotella	0.02247191011235955	Degree	c1
g__Otoolea	0.011235955056179775	Degree	c1
g__Megamonas	0.011235955056179775	Degree	c1
g__URXU01	0.011235955056179775	Degree	c1
g__UBA3402	0.011235955056179775	Degree	c1
g__Terrisporobacter	0.011235955056179775	Degree	c1
