source	target	correlation	p_value
g__Acetatifactor	g__Bariatricus	0.297	0.0417548638132295
g__Acetatifactor	g__Enterococcus	-0.2382	0.0417548638132295
g__Acetatifactor	g__Gemella	-0.3021	0.0417548638132295
g__Acetatifactor	g__Hominifimenecus	0.3036	0.0417548638132295
g__Acetatifactor	g__Hominiventricola	0.4622	0.0417548638132295
g__Acetatifactor	g__Hungatella	-0.2687	0.0417548638132295
g__Acetatifactor	g__Lachnospira	0.4025	0.0417548638132295
g__Acetatifactor	g__Lancefieldella	-0.2701	0.0417548638132295
g__Acetatifactor	g__Longicatena	-0.2729	0.0417548638132295
g__Acetatifactor	g__Merdimonas	-0.3594	0.0417548638132295
g__Acetatifactor	g__Murimonas	0.4066	0.0417548638132295
g__Acetatifactor	g__Ruminococcus_B	-0.3594	0.0417548638132295
g__Acutalibacter	g__Allocoprobacillus	0.3175	0.0417548638132295
g__Acutalibacter	g__Hominenteromicrobium	-0.3209	0.0417548638132295
g__Agathobacter	g__Anaerobutyricum	0.4975	0.0417548638132295
g__Agathobacter	g__Anaerostipes	0.388	0.0417548638132295
g__Agathobacter	g__Anthropogastromicrobium	0.3003	0.0417548638132295
g__Agathobacter	g__Granulicatella	-0.3189	0.0417548638132295
g__Agathobacter	g__Lachnospira	0.4102	0.0417548638132295
g__Agathobaculum	g__Anaerostipes	0.4014	0.0417548638132295
g__Alistipes	g__Anaerotignum	0.3398	0.0417548638132295
g__Alistipes	g__Dysosmobacter	0.4744	0.0417548638132295
g__Alistipes	g__Lawsonibacter	0.4366	0.0417548638132295
g__Alistipes	g__Lentihominibacter	0.4225	0.0417548638132295
g__Alistipes	g__Parabacteroides	0.3444	0.0417548638132295
g__Alistipes	g__Rothia	-0.3183	0.0417548638132295
g__Alitiscatomonas	g__Brotaphodocola	0.4475	0.0417548638132295
g__Alitiscatomonas	g__Enterocloster	0.3317	0.0417548638132295
g__Allocoprobacillus	g__Flavonifractor	0.288	0.0417548638132295
g__Amedibacterium	g__Choladousia	-0.2572	0.0417548638132295
g__Amedibacterium	g__Ruminococcus_B	0.3124	0.0417548638132295
g__Anaerobutyricum	g__Anaerostipes	0.3701	0.0417548638132295
g__Anaerobutyricum	g__Collinsella	0.4697	0.0417548638132295
g__Anaerobutyricum	g__Enterococcus	-0.2854	0.0417548638132295
g__Anaerofustis	g__Merdibacter	0.234	0.0417548638132295
g__Anaeromassilibacillus	g__UBA3402	-0.2573	0.0417548638132295
g__Anaerostipes	g__Enterococcus	-0.3097	0.0417548638132295
