#OTU ID	sum	mean	log_sum	log_mean
g__Acetatifactor	9337	230.5432098765432	9.141847375530881	5.444766507843549
g__Acutalibacter	1072	26.469135802469136	6.9782137426306985	3.3130630399279015
g__Adlercreutzia	1681	41.50617283950617	7.427738840532893	3.749649308666085
g__Agathobacter	49660	1226.1728395061727	10.812975195790544	7.112468298283794
g__Agathobaculum	9819	242.44444444444449	9.192176401348512	5.494888762259247
g__Alistipes	11028	272.2962962962963	9.308283446306147	5.610556541054037
g__Alistipes_A	607	14.987654320987655	6.410174881966167	2.771816819461199
g__Alitiscatomonas	11024	272.1975308641975	9.307920700315046	5.610195089823427
g__Allocoprobacillus	131	3.234567901234568	4.882801922586371	1.4432812924935012
g__Amedibacterium	553	13.65432098765432	6.317164686747284	2.684735239937229
g__Anaerobutyricum	38173	942.5432098765432	10.549909934589838	6.849642161191353
g__Anaerofustis	105	2.592592592592593	4.663439094112067	1.278874112499054
g__Anaeromassilibacillus	421	10.395061728395062	6.045005314036011	2.4331800798304135
g__Anaerostipes	60381	1490.888888888889	11.008446326263101	7.307798306736489
g__Anaerotignum	2845	70.24691358024691	7.953669778649798	4.266151500038528
g__Anaerotruncus	112	2.765432098765432	4.727387818712341	1.3258626219349727
g__Anthropogastromicrobium	9570	236.2962962962963	9.166492972195906	5.469309555634692
g__Aristaeella	823	20.320987654320987	6.714170529909471	3.0596919234742397
g__Bacteroides	38118	941.1851851851852	10.548468124475464	6.848201842501042
g__Bariatricus	13771	340.0246913580247	9.530392824458414	5.831954883336694
g__Bifidobacterium	98817	2439.925925925926	11.50103505337688	7.8001327241422365
g__Bittarella	73	1.8024691358024687	4.304065093204169	1.0305008628089638
g__Blautia	8451	208.66666666666663	9.042158378735946	5.34551896803233
g__Blautia_A	230858	5700.197530864198	12.349562413529963	8.648431524890238
g__Brotaphodocola	4873	120.320987654321	8.49167023418515	4.798439823689988
g__Butyribacter	1829	45.160493827160494	7.512071245835466	3.8321243203046746
g__CAG-170	1430	35.30864197530864	7.266128779556451	3.592055783881556
g__CAG-177	4803	118.5925925925926	8.477204183199873	4.784090904753946
g__CAG-217	2956	72.98765432098766	7.991930519852477	4.303898245785747
g__CAG-488	4188	103.4074074074074	8.340217320947035	4.648300625109783
g__Catenibacterium	24505	605.0617283950618	10.106673264509391	6.406981842919785
g__Choladousia	1764	43.55555555555556	7.475905969367397	3.7967368499703498
g__Clostridium	15013	370.69135802469134	9.616738378132947	5.918063827166611
g__Clostridium_A	2457	60.66666666666666	7.80710329012598	4.121743536410214
g__Clostridium_AP	257	6.345679012345679	5.552959584921617	1.994112250873191
g__Collinsella	200659	4954.543209876543	12.209367212479604	8.508262069388314
g__Coprococcus_A	3869	95.53086419753086	8.261009786023827	4.569862793452075
g__Dialister	49442	1220.79012345679	10.808575769902289	7.108072376582396
g__Dorea	14129	348.8641975308642	9.556055475678573	5.857545072134571
g__Dorea_A	32445	801.1111111111111	10.387332447970344	6.687247140802941
g__Dorea_D	788	19.45679012345679	6.670766320845874	3.0183148627541243
g__Dysosmobacter	5718	141.1851851851852	8.651549243915316	4.9571303289964685
g__Eggerthella	1296	32.0	7.167809184316444	3.4965075614664802
g__Enterobacter	1615	39.876543209876544	7.38770923908104	3.7105563828748074
g__Enterocloster	16769	414.04938271604937	9.727346854817254	6.028397507647919
g__Enterococcus	110	2.716049382716049	4.709530201312334	1.3126611100764367
g__Enterococcus_A	123	3.037037037037037	4.820281565605037	1.3955110162248145
g__Enterococcus_B	17730	437.77777777777777	9.783069799056989	6.08399308395043
g__Eubacterium_F	415	10.246913580246911	6.030685260261263	2.420093742587519
g__Eubacterium_G	5633	139.08641975308643	8.636574948436317	4.9422595161185505
g__Eubacterium_I	6041	149.1604938271605	8.706490361946617	5.011704680945997
g__Evtepia	1822	44.98765432098765	7.508238774678663	3.828372976141221
g__Faecalibacterium	284376	7021.62962962963	12.558056101629653	8.856893017993452
g__Faecalimonas	3254	80.34567901234568	8.08794755464267	4.398707716241381
g__Faecousia	388	9.580246913580249	5.963579343618446	2.358988763925341
g__Finegoldia	32	0.7901234567901234	3.4965075614664802	0.5822845877481356
g__Flavonifractor	2113	52.17283950617284	7.656337166430182	3.9735477303816715
g__Fusicatenibacter	42160	1040.9876543209878	10.649250902099034	6.948885374182651
g__Fusobacterium_A	70	1.728395061728395	4.2626798770413155	1.003713546845314
g__Gallintestinimicrobium	2699	66.64197530864197	7.90100705199242	4.214228726865977
g__Gemella	193	4.765432098765432	5.267858159063328	1.7518801029964584
g__Gemmiger	53902	1330.9135802469136	10.89494141397529	7.194371969301047
g__Gordonibacter	108	2.6666666666666665	4.6913478822291435	1.2992829841302607
g__Granulicatella	5453	134.64197530864195	8.604104563405533	4.910018880028442
g__Guopingia	499	12.320987654320987	6.214608098422191	2.589340810585696
g__Haemophilus_D	3545	87.53086419753086	8.173575486634153	4.483351239210136
g__Holdemanella	32159	794.0493827160494	10.378478723292902	6.678404229349136
g__Holdemania	244	6.024691358024692	5.5012582105447265	1.9494312794538922
g__Hominenteromicrobium	4862	120.04938271604938	8.489410810403786	4.796198583958008
g__Hominibacterium	714	17.62962962962963	6.5722825426940075	2.92475330409541
g__Hominicoprocola	7257	179.1851851851852	8.889859587773016	5.193985128615776
g__Hominifimenecus	693	17.11111111111111	6.542471960506804	2.8965256234705428
g__Hominilimicola	8631	213.11111111111111	9.06323150693797	5.366495091078146
g__Hominimerdicola	2827	69.80246913580247	7.947325027016463	4.259893874891032
g__Hominiventricola	3721	91.87654320987654	8.222016437202196	4.531271118887783
g__Hungatella	166	4.098765432098766	5.1179938124167546	1.628998438288594
g__Intestinibacter	9340	230.6172839506173	9.14216859187285	5.445086371371172
g__JAGTTR01	394	9.728395061728396	5.978885764901122	2.372893970592953
g__Klebsiella	1518	37.48148148148148	7.325807502595772	3.6501771250948982
g__Lachnoclostridium_B	2871	70.88888888888889	7.962763930168115	4.275121717164681
g__Lachnospira	36157	892.7654320987655	10.49565350324196	6.795443360543083
g__Lacticaseibacillus	1097	27.08641975308642	7.001245622069476	3.335286176712612
g__Lactiplantibacillus	454	11.209876543209877	6.12029741895095	2.5022451769502734
g__Lactobacillus	872	21.530864197530864	6.771935555839602	3.114886111344153
g__Lactococcus	300	7.407407407407407	5.707110264748875	2.1291131514770734
g__Lactonifactor	305	7.530864197530864	5.723585101952381	2.143690669095231
g__Laedolimicola	693	17.11111111111111	6.542471960506804	2.8965256234705428
g__Lancefieldella	33	0.8148148148148148	3.526360524616161	0.5959834321062975
g__Latilactobacillus	1583	39.08641975308642	7.3677085723743705	3.691037617430407
g__Lawsonibacter	3552	87.70370370370371	8.175547596021026	4.485301643840686
g__Lentihominibacter	1322	32.641975308641975	7.187657164114955	3.5157745524249053
g__Leuconostoc	444	10.962962962962964	6.09807428216624	2.4818154572183273
g__Ligilactobacillus	163	4.024691358024692	5.099866427824198	1.6143640307701563
g__Limivivens	4362	107.70370370370372	8.38091517312361	4.688625866257868
g__Limosilactobacillus	344	8.493827160493828	5.843544417031359	2.2506418148332052
g__Longicatena	64	1.5802469135802468	4.174387269895637	0.9478850972923722
g__Massilioclostridium	30	0.7407407407407407	3.4339872044851463	0.5543107357057295
g__Mediterraneibacter	37143	917.1111111111112	10.522557529699757	6.822318419364965
g__Megamonas	65337	1613.2592592592594	11.087329075565075	7.386631467441347
g__Merdibacter	40	0.9876543209876544	3.7135720667043075	0.6869552103120242
g__Merdimmobilis	68	1.6790123456790125	4.23410650459726	0.9854481988680208
g__Merdimonas	371	9.160493827160494	5.918893854273146	2.318507046004631
g__Merdivicinus	128	3.1604938271604937	4.859812404361672	1.4256337756799229
g__Muricomes	101	2.493827160493827	4.624972813284271	1.2509977429707988
g__Murimonas	2229	55.03703703703704	7.709756864454164	4.026012847784027
g__Nanosynbacter	1099	27.135802469135804	7.003065458786462	3.337042874573245
g__Negativibacillus	2390	59.01234567901235	7.779466967458324	4.094550302373016
g__Odoribacter	12908	318.71604938271605	9.465680021506708	5.767433256190534
g__Oliverpabstia	12030	297.037037037037	9.395241931033524	5.697217764141803
g__Onthenecus	2875	70.98765432098766	7.964155718840937	4.276494636549717
g__Otoolea	9336	230.5185185185185	9.141740280483926	5.444659863927483
g__Parabacteroides	12431	306.9382716049383	9.428029072607428	5.729899346020347
g__Paraprevotella	2857	70.54320987654322	7.957877358489813	4.270301601101413
g__Pararoseburia	960	23.703703703703702	6.8679744089702925	3.2069531799112942
g__Parasutterella	4970	122.71604938271604	8.511376306094672	4.81798901538589
g__Pauljensenia	105	2.592592592592593	4.663439094112067	1.278874112499054
g__Pediococcus	12573	310.44444444444446	9.439386468943006	5.741220973828569
g__Peptostreptococcus	2628	64.88888888888889	7.874358824729881	4.187969821661506
g__Phascolarctobacterium	19034	469.9753086419753	9.854034668816597	6.154805669376825
g__Phocaeicola	148846	3675.2098765432097	11.910674211722846	8.209637575573543
g__Prevotella	421668	10411.555555555557	12.951975925057175	9.250767621928384
g__Pseudobutyricicoccus	165	4.074074074074074	5.111987788356543	1.624144059823796
g__Pseudoflavonifractor_A	346	8.54320987654321	5.849324779946859	2.2558298939149832
g__Pseudoscilispira	263	6.493827160493828	5.575949103146316	2.0140796363870597
g__Roseburia	23675	584.5679012345679	10.072217155810616	6.372582147679228
g__Roseburia_D	1826	45.08641975308642	7.510430556378006	3.830518324242145
g__Rothia	353	8.716049382716049	5.869296913133774	2.2737790937449645
g__Ruminiclostridium_E	968	23.90123456790124	6.876264611890766	3.2149173832817732
g__Ruminococcus_B	12205	301.358024691358	9.40968291310444	5.711611827433189
g__Ruminococcus_C	2825	69.75308641975309	7.946617563244472	4.2591961598792984
g__Ruminococcus_E	605	14.938271604938272	6.406879986069314	2.768723236174204
g__Ruthenibacterium	634	15.65432098765432	6.453624998892692	2.812669701535317
g__Sarcina	1268	31.30864197530864	7.1459844677143876	3.475334747857707
g__Schaedlerella	1467	36.22222222222222	7.291656209174461	3.616905954488847
g__Sellimonas	1735	42.83950617283951	7.459338895220295	3.780535378270649
g__Streptococcus	37324	921.5802469135804	10.52741862240739	6.827174360655606
g__Sutterella	15685	387.283950617284	9.660523873772611	5.961736903453034
g__Terrisporobacter	932	23.012345679012345	6.838405200847344	3.1785681013801077
g__Thomasclavelia	1545	38.14814814814815	7.343426229147367	3.6673531198659086
g__Turicibacter	1990	49.13580246913581	7.596392304064196	3.914735373013859
g__Tyzzerella	722	17.82716049382716	6.583409222158765	2.9353005343690732
g__UBA3402	1463	36.123456790123456	7.288927694521257	3.61424902831609
g__URXU01	12110	299.0123456790124	9.40186940952105	5.703823626072844
g__Veillonella	3796	93.7283950617284	8.241966560231802	4.5510137975052265
g__Vescimonas	1922	47.45679012345679	7.56164174558878	3.88067247554407
g__Weissella	3871	95.58024691358024	8.261526448396467	4.570374237012642
g__Wujia	7882	194.6172839506173	8.972463821059907	5.276160117452582
