node	positive_degree	negative_degree	total_degree
g__Agathobacter	5	1	6
g__Acetatifactor	11	4	15
g__JAGTTR01	1	0	1
g__Lactonifactor	0	1	1
g__Bariatricus	9	6	15
g__Bifidobacterium	3	1	4
g__Gemmiger	1	1	2
g__Hominilimicola	2	0	2
g__Allocoprobacillus	1	0	1
g__Turicibacter	2	1	3
g__Enterococcus_B	2	1	3
g__Hominiventricola	8	7	15
g__Enterococcus	0	1	1
g__Roseburia	3	4	7
g__Granulicatella	3	2	5
g__Evtepia	1	0	1
g__Lawsonibacter	5	1	6
g__Wujia	4	3	7
g__Clostridium_AP	0	1	1
g__URXU01	2	0	2
g__Choladousia	9	8	17
g__Klebsiella	2	0	2
g__Eggerthella	4	3	7
g__Laedolimicola	2	0	2
g__Ruminococcus_B	13	14	27
g__Negativibacillus	1	0	1
g__Streptococcus	3	2	5
g__Fusobacterium_A	1	0	1
g__Limivivens	8	4	12
g__Phocaeicola	7	6	13
g__Sellimonas	2	9	11
g__Anaerostipes	8	1	9
g__Terrisporobacter	2	0	2
g__Enterobacter	1	0	1
g__Hungatella	0	4	4
g__Hominicoprocola	11	12	23
g__Odoribacter	1	1	2
g__Enterocloster	4	2	6
g__Lacticaseibacillus	3	2	5
g__Parabacteroides	5	1	6
g__Dialister	1	1	2
g__Brotaphodocola	3	1	4
g__Oliverpabstia	7	7	14
g__Anaerotignum	5	0	5
g__Anaerobutyricum	10	2	12
g__Eubacterium_G	2	2	4
g__Peptostreptococcus	1	0	1
g__Leuconostoc	1	1	2
g__Veillonella	3	1	4
g__Vescimonas	5	0	5
g__Catenibacterium	2	2	4
g__Eubacterium_I	5	4	9
g__Ruthenibacterium	4	1	5
g__Alitiscatomonas	2	0	2
g__Prevotella	1	2	3
g__Enterococcus_A	2	1	3
g__Mediterraneibacter	2	0	2
g__Otoolea	0	1	1
g__Roseburia_D	5	1	6
g__Butyribacter	0	1	1
g__Lachnospira	7	2	9
g__Agathobaculum	2	0	2
g__Murimonas	14	9	23
g__Blautia_A	6	6	12
g__Hominifimenecus	2	1	3
g__Thomasclavelia	7	7	14
g__Flavonifractor	9	13	22
g__Latilactobacillus	1	0	1
g__Nanosynbacter	4	0	4
g__Bacteroides	6	0	6
g__Pseudoflavonifractor_A	4	6	10
g__Paraprevotella	2	0	2
g__Gemella	2	4	6
g__Clostridium	1	0	1
g__Pediococcus	6	2	8
g__Megamonas	1	0	1
g__Lentihominibacter	9	3	12
g__Coprococcus_A	13	6	19
g__Hominibacterium	1	0	1
g__Dorea	8	4	12
g__Amedibacterium	1	0	1
g__Lachnoclostridium_B	2	3	5
g__Intestinibacter	4	0	4
g__Sarcina	2	1	3
g__Clostridium_A	4	1	5
g__Dysosmobacter	3	1	4
g__Faecalimonas	5	6	11
g__Merdimonas	1	4	5
g__Fusicatenibacter	3	0	3
g__Haemophilus_D	4	1	5
g__Collinsella	3	0	3
g__Anthropogastromicrobium	7	2	9
g__Hominenteromicrobium	3	1	4
g__CAG-170	1	0	1
g__Rothia	1	2	3
g__Holdemanella	4	1	5
g__UBA3402	2	0	2
g__CAG-217	1	0	1
g__Alistipes	9	2	11
g__Acutalibacter	1	1	2
g__Dorea_A	5	3	8
g__Onthenecus	9	3	12
g__Sutterella	1	0	1
g__Faecalibacterium	2	1	3
