	tSNE-1	tSNE-2	cluster
PD210	-4.773255	-24.56903	2
PD211	-5.118915	-17.641834	2
PD212	-6.0139694	10.436656	3
PD213	-7.69381	21.688156	3
PD214	19.235981	41.356716	1
PD215	0.9512002	14.681656	3
PD216	-26.784071	-1.9709445	0
PD217	-17.426153	9.51891	3
PD218	8.53401	-11.258841	2
PD219	27.656387	42.084843	1
PD220	11.49643	-18.27706	2
PD221	-4.073098	15.881881	3
PD222	-4.4527717	19.339643	3
PD223	22.816492	40.799988	1
PD224	-1.9001834	14.545506	3
PD225	9.716979	-19.866331	2
PD226	-32.540134	-11.902034	0
PD227	14.02063	-30.219465	2
PD228	10.980518	-0.8125222	2
PD229	3.6437304	-14.498819	2
PD23	-21.844677	6.8116927	0
PD230	-28.521938	4.698452	0
PD231	6.8086443	-4.866162	2
PD232	-8.050463	9.594688	3
PD233	1.8295208	0.15210423	2
PD234	-10.435206	17.077656	3
PD235	26.298906	38.84104	1
PD236	19.853191	-22.990667	2
PD237	-18.67373	-1.8113672	0
PD238	17.435272	-0.89647335	2
PD239	19.802044	-23.017616	2
PD24	-15.785544	5.7875166	3
PD240	2.6767066	15.416139	3
PD241	-5.772096	-18.414238	2
PD242	-18.327864	-14.914867	0
PD243	17.952187	-6.2864985	2
PD244	18.22553	-10.655334	2
PD245	-27.94008	-2.4924018	0
PD246	2.6440463	12.222679	3
PD247	-27.399912	-1.4164333	0
PD248	-32.008648	-19.288082	0
PD249	-8.848838	-8.143671	2
PD25	-31.222176	-8.350953	0
PD250	6.88265	-1.7847185	2
PD251	-27.773453	-7.6300087	0
PD252	-27.321323	-18.212118	0
PD253	10.162625	-26.094168	2
PD254	-8.934581	-10.17494	2
PD255	7.656572	-17.40622	2
PD256	-21.34845	11.3569565	3
PD257	-16.478039	-15.837368	0
PD258	-32.59963	-14.972537	0
PD259	-25.614765	0.052702524	0
PD26	7.126341	-15.40103	2
PD260	-29.67779	2.8670769	0
PD261	-26.720049	-9.574176	0
PD27	11.278618	-31.750042	2
PD28	-28.13696	-4.7412133	0
PD29	-24.592524	3.9288964	0
PD3	-33.081844	-14.429181	0
PD30	-35.312206	-7.9838047	0
PD31	20.617718	43.201508	1
PD32	-34.94298	-19.10587	0
PD33	-11.24062	6.53259	3
PD34	16.373148	41.67903	1
PD35	13.04967	-33.278893	2
PD36	10.474147	-32.236942	2
PD37	-29.664154	-4.520289	0
PD38	-34.105064	-7.117696	0
PD39	-13.020718	9.085821	3
PD4	13.101752	-30.536465	2
PD40	-8.8033495	11.397411	3
PD41	-35.244087	-19.055746	0
PD42	1.366047	-10.981964	2
PD43	3.6310408	-23.585224	2
PD44	-12.752385	-14.254537	2
PD45	-5.4779954	4.0960674	3
PD46	-17.291195	-4.4826617	0
PD47	-25.516497	-9.3561535	0
PD48	-29.399729	-8.185235	0
PD49	-16.116999	9.786425	3
PD5	15.515151	-0.038832743	2
PD50	-26.744287	-10.036627	0
PD51	23.108812	34.46969	1
PD52	9.114792	-26.885044	2
PD53	-13.334723	-12.73726	2
PD54	-30.528719	-19.663424	0
PD55	-25.938692	-2.4236603	0
PD56	-10.168676	20.876125	3
PD57	5.631648	13.4521055	3
PD58	17.19398	-7.580965	2
PD59	8.268137	-5.821527	2
PD6	5.7402987	14.145493	3
PD60	-23.905684	-18.064714	0
PD61	-9.456751	8.548046	3
PD62	-8.073328	19.096117	3
PD63	-0.42874074	17.390938	3
PD64	10.466572	3.4321315	3
PD65	-1.7847052	-15.283731	2
PD66	18.579329	37.994164	1
PD67	-26.11896	-0.98694074	0
PD68	-26.291588	-6.586074	0
PD69	-19.733126	-1.8909897	0
PD7	-32.14006	-18.771666	0
PD70	19.036123	42.625732	1
PD71	14.78657	6.597284	3
PD72	-9.018483	12.3222475	3
PD73	1.4902645	13.711544	3
PD74	9.549806	-21.191938	2
PD75	12.5604	-1.7256107	2
PD76	-0.04735775	15.378261	3
PD77	-5.788907	-26.73757	2
PD78	1.7297959	17.144419	3
PD79	-10.35499	9.458048	3
PD8	-2.470719	-19.199373	2
PD80	-4.4296074	13.049093	3
PD81	-22.702328	-2.000339	0
PD82	-28.41322	-18.878912	0
PD83	-25.652666	3.3215883	0
PD84	13.133947	-34.189934	2
PD85	-33.394985	-4.6427712	0
PD86	-10.955114	13.363509	3
PD87	3.316112	3.7993674	3
PD88	-25.425646	-14.909744	0
PD89	2.9905407	14.148035	3
PD9	-24.703482	-21.31373	0
PD90	-29.191511	-19.526413	0
PD91	-2.1439157	-24.779821	2
PD92	-34.128372	-6.5096745	0
PD93	4.517933	23.506098	1
PD94	17.748608	29.11114	1
PD95	-29.335192	-17.542103	0
PD96	-22.547804	-12.554816	0
PD97	-30.209444	-14.376809	0
PD98	23.907393	33.642357	1
PD99	-0.040770896	22.812672	3
PV1	14.766978	-27.96546	2
PV10	11.707811	-14.848199	2
PV100	12.225115	-29.825588	2
PV101	5.8946095	-8.573596	2
PV102	24.931717	46.96409	1
PV103	4.5467997	-14.370145	2
PV104	-2.852824	-28.420376	2
PV105	7.003307	-22.824257	2
PV106	5.693328	-8.120346	2
PV107	15.216515	-18.253065	2
PV108	10.310575	-25.860409	2
PV109	8.105252	-27.300749	2
PV11	-7.4140863	-17.152708	2
PV110	-1.2678574	-26.843416	2
PV111	13.502101	25.05832	1
PV112	13.65923	-19.617117	2
PV113	14.964012	-24.874088	2
PV114	14.766374	-25.715889	2
PV115	24.414753	42.513676	1
PV116	14.842393	-21.358767	2
PV117	-8.474905	16.853909	3
PV118	-1.6485572	3.8112004	3
PV119	-0.84322923	-13.804534	2
PV12	11.280667	-12.457337	2
PV120	12.778119	-28.534416	2
PV121	10.220005	26.536095	1
PV122	1.4189798	20.92567	3
PV123	15.631659	34.011364	1
PV124	-15.421557	7.866926	3
PV125	3.9078484	23.286242	1
PV126	-20.280054	6.317654	0
PV127	19.504686	37.46363	1
PV128	-20.573332	-3.2550876	0
PV129	-20.712442	-2.4446564	0
PV13	6.532469	-21.35702	2
PV130	-20.212502	4.634476	0
PV131	12.8171425	32.973164	1
PV132	7.7373924	31.611727	1
PV133	-16.057749	5.003673	3
PV134	-11.074225	7.727726	3
PV135	16.474207	36.572453	1
PV136	-2.4916825	17.04729	3
PV137	-21.395329	-5.559873	0
PV138	12.732422	8.226496	3
PV139	13.200774	-4.245519	2
