Number of clusters	AIC	BIC
1	8241.311	8262.210630143263
2	7964.8438	8010.823933190179
3	7828.829	7899.889384674594
4	7792.4165	7888.55688694026
5	7775.7793	7896.999779830925
6	7771.1626	7917.4631805340905
7	7732.998	7904.378729674755
8	7729.804	7926.2649819404205
9	7707.644	7929.184925612336
10	7717.788	7964.409068503001
