node	positive_degree	negative_degree	total_degree
g__Agathobacter	0	1	1
g__Acetatifactor	1	2	3
g__Enterococcus_A	3	1	4
g__JAGTTR01	1	0	1
g__Mediterraneibacter	0	1	1
g__Otoolea	1	0	1
g__Roseburia_D	1	1	2
g__Butyribacter	2	0	2
g__Eubacterium_F	2	0	2
g__Adlercreutzia	6	4	10
g__Longicatena	3	1	4
g__Lachnospira	2	1	3
g__Agathobaculum	2	0	2
g__Murimonas	6	4	10
g__Bariatricus	5	5	10
g__Gemmiger	10	14	24
g__Hominilimicola	4	0	4
g__Allocoprobacillus	2	0	2
g__Blautia_A	8	5	13
g__Thomasclavelia	15	11	26
g__Turicibacter	3	0	3
g__Flavonifractor	7	6	13
g__Latilactobacillus	1	0	1
g__Hominiventricola	3	1	4
g__Schaedlerella	1	0	1
g__Nanosynbacter	6	1	7
g__Roseburia	1	0	1
g__Evtepia	3	1	4
g__Granulicatella	5	1	6
g__Gemella	2	0	2
g__Wujia	2	0	2
g__Clostridium	2	0	2
g__Lawsonibacter	1	0	1
g__Pediococcus	6	1	7
g__Megamonas	1	0	1
g__Clostridium_AP	1	0	1
g__URXU01	1	0	1
g__Lentihominibacter	9	2	11
g__Choladousia	1	2	3
g__Klebsiella	1	0	1
g__Coprococcus_A	7	5	12
g__Hominibacterium	2	2	4
g__Dorea	5	5	10
g__Eggerthella	5	3	8
g__Ruminococcus_B	23	15	38
g__Amedibacterium	3	2	5
g__Merdivicinus	1	0	1
g__Lachnoclostridium_B	4	3	7
g__Blautia	6	6	12
g__Streptococcus	7	0	7
g__Anaeromassilibacillus	2	0	2
g__Fusobacterium_A	2	0	2
g__Intestinibacter	7	2	9
g__Limivivens	5	2	7
g__Sellimonas	0	3	3
g__Phocaeicola	1	0	1
g__Dysosmobacter	2	0	2
g__Guopingia	1	0	1
g__Weissella	1	0	1
g__CAG-177	1	0	1
g__Faecalimonas	16	12	28
g__Ruminococcus_E	1	0	1
g__Terrisporobacter	2	0	2
g__Enterobacter	1	0	1
g__Hungatella	4	1	5
g__Gallintestinimicrobium	1	1	2
g__Hominicoprocola	14	9	23
g__Haemophilus_D	5	2	7
g__Odoribacter	0	1	1
g__Collinsella	0	1	1
g__Enterocloster	5	3	8
g__Phascolarctobacterium	0	1	1
g__Lacticaseibacillus	9	2	11
g__Parabacteroides	1	0	1
g__Onthenecus	2	0	2
g__Hominenteromicrobium	2	0	2
g__CAG-170	3	0	3
g__Lactobacillus	1	0	1
g__Rothia	2	0	2
g__Dialister	1	1	2
g__Lancefieldella	1	0	1
g__Limosilactobacillus	2	0	2
g__Holdemanella	1	0	1
g__Oliverpabstia	1	1	2
g__Eubacterium_G	1	0	1
g__Anaerobutyricum	0	4	4
g__Peptostreptococcus	2	0	2
g__Leuconostoc	0	1	1
g__Veillonella	10	4	14
g__Merdibacter	1	0	1
g__Vescimonas	7	4	11
g__Alistipes	9	6	15
g__Acutalibacter	1	0	1
g__Eubacterium_I	5	1	6
g__Dorea_A	6	2	8
g__Alitiscatomonas	1	1	2
g__Lactiplantibacillus	1	0	1
g__Faecalibacterium	1	0	1
