Node	Betweenness
g__Ruminococcus_B	2518.0
g__Gemmiger	2503.5
g__Faecalimonas	2438.0
g__Dorea	2380.5
g__Sellimonas	2313.0
g__Coprococcus_A	2279.5
g__Thomasclavelia	2206.5
g__Hominicoprocola	1749.5
g__Blautia_A	1541.0
g__Alistipes	1451.5
g__Anaerobutyricum	1316.0
g__Bariatricus	1182.0
g__Veillonella	1149.5
g__Haemophilus_D	1083.0
g__Blautia	1025.5
g__Lachnoclostridium_B	1021.5
g__Lentihominibacter	995.5
g__Flavonifractor	619.5
g__Murimonas	521.0
g__Enterocloster	388.5
g__Eggerthella	355.0
g__Intestinibacter	351.0
g__Choladousia	292.5
g__Vescimonas	285.5
g__Lacticaseibacillus	273.0
g__Pediococcus	184.0
g__Adlercreutzia	170.5
g__Allocoprobacillus	144.0
g__Onthenecus	110.5
g__CAG-170	102.0
g__Streptococcus	99.5
g__Anaeromassilibacillus	73.0
g__Dialister	73.0
g__Granulicatella	73.0
g__Eubacterium_I	54.5
g__Dorea_A	37.0
g__Hominilimicola	33.5
g__Limivivens	12.5
g__Lachnospira	11.0
g__Hominibacterium	9.0
g__Roseburia_D	6.0
g__Alitiscatomonas	5.0
g__Turicibacter	1.0
g__Dysosmobacter	1.0
g__Acetatifactor	0.0
g__Acutalibacter	0.0
g__Evtepia	0.0
g__Agathobacter	0.0
g__Agathobaculum	0.0
g__Amedibacterium	0.0
g__Nanosynbacter	0.0
g__Brotaphodocola	0.0
g__Hominiventricola	0.0
g__Ruminococcus_E	0.0
g__Hominenteromicrobium	0.0
g__Gallintestinimicrobium	0.0
g__Eubacterium_F	0.0
g__Butyribacter	0.0
g__CAG-177	0.0
g__Clostridium_AP	0.0
g__Clostridium	0.0
g__Collinsella	0.0
g__Phascolarctobacterium	0.0
g__Hungatella	0.0
g__Lancefieldella	0.0
g__Wujia	0.0
g__Lawsonibacter	0.0
g__Eubacterium_G	0.0
g__Oliverpabstia	0.0
g__Klebsiella	0.0
g__Otoolea	0.0
g__Enterococcus_A	0.0
g__Faecalibacterium	0.0
g__Enterobacter	0.0
g__Longicatena	0.0
g__Fusobacterium_A	0.0
g__Gemella	0.0
g__Peptostreptococcus	0.0
g__Guopingia	0.0
g__Holdemanella	0.0
g__Merdivicinus	0.0
g__JAGTTR01	0.0
g__Terrisporobacter	0.0
g__Roseburia	0.0
g__Lactiplantibacillus	0.0
g__Limosilactobacillus	0.0
g__Lactobacillus	0.0
g__Latilactobacillus	0.0
g__Weissella	0.0
g__Leuconostoc	0.0
g__Mediterraneibacter	0.0
g__Megamonas	0.0
g__URXU01	0.0
g__Merdibacter	0.0
g__Odoribacter	0.0
g__Parabacteroides	0.0
g__Phocaeicola	0.0
g__Rothia	0.0
