#OTU ID	prevalence
g__Acetatifactor	0.568
g__Acutalibacter	0.264
g__Adlercreutzia	0.464
g__Agathobacter	0.848
g__Agathobaculum	0.832
g__Alistipes	0.728
g__Alistipes_A	0.152
g__Alitiscatomonas	0.632
g__Allocoprobacillus	0.352
g__Amedibacterium	0.144
g__Anaerobutyricum	0.904
g__Anaerofustis	0.24
g__Anaeromassilibacillus	0.44
g__Anaerostipes	0.976
g__Anaerotignum	0.64
g__Anaerotruncus	0.28
g__Anthropogastromicrobium	0.76
g__Aristaeella	0.208
g__Bacteroides	0.952
g__Bariatricus	0.56
g__Bifidobacterium	0.92
g__Bittarella	0.336
g__Blautia	0.696
g__Blautia_A	1.0
g__Brotaphodocola	0.464
g__Butyribacter	0.2
g__CAG-170	0.192
g__CAG-177	0.152
g__CAG-217	0.16
g__CAG-488	0.176
g__Catenibacterium	0.176
g__Choladousia	0.312
g__Clostridium	0.768
g__Clostridium_A	0.872
g__Clostridium_AP	0.24
g__Collinsella	0.912
g__Coprococcus_A	0.592
g__Dialister	0.52
g__Dorea	0.736
g__Dorea_A	0.728
g__Dorea_D	0.2
g__Dysosmobacter	0.816
g__Eggerthella	0.752
g__Enterobacter	0.216
g__Enterocloster	0.904
g__Enterococcus	0.096
g__Enterococcus_A	0.064
g__Enterococcus_B	0.352
g__Eubacterium_F	0.2
g__Eubacterium_G	0.648
g__Eubacterium_I	0.592
g__Evtepia	0.352
g__Faecalibacterium	0.984
g__Faecalimonas	0.376
g__Faecousia	0.176
g__Finegoldia	0.12
g__Flavonifractor	0.744
g__Fusicatenibacter	0.904
g__Fusobacterium_A	0.088
g__Gallintestinimicrobium	0.504
g__Gemella	0.328
g__Gemmiger	0.856
g__Gordonibacter	0.352
g__Granulicatella	0.432
g__Guopingia	0.28
g__Haemophilus_D	0.44
g__Holdemanella	0.256
g__Holdemania	0.48
g__Hominenteromicrobium	0.384
g__Hominibacterium	0.416
g__Hominicoprocola	0.456
g__Hominifimenecus	0.168
g__Hominilimicola	0.752
g__Hominimerdicola	0.392
g__Hominiventricola	0.44
g__Hungatella	0.224
g__Intestinibacter	0.768
g__JAGTTR01	0.288
g__Klebsiella	0.248
g__Lachnoclostridium_B	0.592
g__Lachnospira	0.92
g__Lacticaseibacillus	0.208
g__Lactiplantibacillus	0.12
g__Lactobacillus	0.112
g__Lactococcus	0.256
g__Lactonifactor	0.216
g__Laedolimicola	0.2
g__Lancefieldella	0.12
g__Latilactobacillus	0.36
g__Lawsonibacter	0.64
g__Lentihominibacter	0.472
g__Leuconostoc	0.28
g__Ligilactobacillus	0.112
g__Limivivens	0.56
g__Limosilactobacillus	0.12
g__Longicatena	0.112
g__Massilioclostridium	0.144
g__Mediterraneibacter	0.88
g__Megamonas	0.248
g__Merdibacter	0.176
g__Merdimmobilis	0.296
g__Merdimonas	0.144
g__Merdivicinus	0.224
g__Muricomes	0.184
g__Murimonas	0.456
g__Nanosynbacter	0.272
g__Negativibacillus	0.416
g__Odoribacter	0.64
g__Oliverpabstia	0.44
g__Onthenecus	0.28
g__Otoolea	0.84
g__Parabacteroides	0.816
g__Paraprevotella	0.176
g__Pararoseburia	0.208
g__Parasutterella	0.368
g__Pauljensenia	0.208
g__Pediococcus	0.112
g__Peptostreptococcus	0.152
g__Phascolarctobacterium	0.456
g__Phocaeicola	0.952
g__Prevotella	0.352
g__Pseudobutyricicoccus	0.216
g__Pseudoflavonifractor_A	0.144
g__Pseudoscilispira	0.424
g__Roseburia	0.832
g__Roseburia_D	0.216
g__Rothia	0.28
g__Ruminiclostridium_E	0.16
g__Ruminococcus_B	0.776
g__Ruminococcus_C	0.328
g__Ruminococcus_E	0.352
g__Ruthenibacterium	0.648
g__Sarcina	0.176
g__Schaedlerella	0.52
g__Sellimonas	0.328
g__Streptococcus	0.984
g__Sutterella	0.36
g__Terrisporobacter	0.352
g__Thomasclavelia	0.632
g__Turicibacter	0.52
g__Tyzzerella	0.304
g__UBA3402	0.232
g__URXU01	0.12
g__Veillonella	0.552
g__Vescimonas	0.504
g__Weissella	0.568
g__Wujia	0.144
