Node	Score	Centrality	Cluster
g__Acetatifactor	0.0	Betweenness	c3
g__Ruminococcus_B	2518.0	Betweenness	c3
g__Acutalibacter	0.0	Betweenness	c3
g__Anaeromassilibacillus	73.0	Betweenness	c3
g__Adlercreutzia	170.5	Betweenness	c3
g__Alistipes	1451.5	Betweenness	c3
g__Eggerthella	355.0	Betweenness	c3
g__Evtepia	0.0	Betweenness	c3
g__Faecalimonas	2438.0	Betweenness	c3
g__Hominicoprocola	1749.5	Betweenness	c3
g__Lachnoclostridium_B	1021.5	Betweenness	c3
g__Lentihominibacter	995.5	Betweenness	c3
g__Agathobacter	0.0	Betweenness	c3
g__Thomasclavelia	2206.5	Betweenness	c3
g__Agathobaculum	0.0	Betweenness	c3
g__Gemmiger	2503.5	Betweenness	c3
g__Amedibacterium	0.0	Betweenness	c3
g__Blautia	1025.5	Betweenness	c3
g__Blautia_A	1541.0	Betweenness	c3
g__Hominenteromicrobium	0.0	Betweenness	c3
g__Hominilimicola	33.5	Betweenness	c3
g__Hominiventricola	0.0	Betweenness	c3
g__Ruminococcus_E	0.0	Betweenness	c3
g__Veillonella	1149.5	Betweenness	c3
g__Vescimonas	285.5	Betweenness	c3
g__Alitiscatomonas	5.0	Betweenness	c3
g__Brotaphodocola	0.0	Betweenness	c3
g__Lachnospira	11.0	Betweenness	c3
g__Allocoprobacillus	144.0	Betweenness	c3
g__Anaerobutyricum	1316.0	Betweenness	c3
g__Haemophilus_D	1083.0	Betweenness	c3
g__Lacticaseibacillus	273.0	Betweenness	c3
g__Nanosynbacter	0.0	Betweenness	c3
g__Bariatricus	1182.0	Betweenness	c3
g__Coprococcus_A	2279.5	Betweenness	c3
g__Dorea	2380.5	Betweenness	c3
g__Enterocloster	388.5	Betweenness	c3
g__Hungatella	0.0	Betweenness	c3
g__Flavonifractor	619.5	Betweenness	c3
g__Murimonas	521.0	Betweenness	c3
g__Gallintestinimicrobium	0.0	Betweenness	c3
g__Lancefieldella	0.0	Betweenness	c3
g__Pediococcus	184.0	Betweenness	c3
g__Butyribacter	0.0	Betweenness	c3
g__Eubacterium_F	0.0	Betweenness	c3
g__Wujia	0.0	Betweenness	c3
g__CAG-170	102.0	Betweenness	c3
g__CAG-177	0.0	Betweenness	c3
g__Roseburia_D	6.0	Betweenness	c3
g__Choladousia	292.5	Betweenness	c3
g__Onthenecus	110.5	Betweenness	c3
g__Clostridium	0.0	Betweenness	c3
g__Intestinibacter	351.0	Betweenness	c3
g__Turicibacter	1.0	Betweenness	c3
g__Clostridium_AP	0.0	Betweenness	c3
g__Collinsella	0.0	Betweenness	c3
g__Dorea_A	37.0	Betweenness	c3
g__Eubacterium_I	54.5	Betweenness	c3
g__Sellimonas	2313.0	Betweenness	c3
g__Dialister	73.0	Betweenness	c3
g__Phascolarctobacterium	0.0	Betweenness	c3
g__Limivivens	12.5	Betweenness	c3
