#OTU ID	CT1	CT10	CT11	CT13	CT14	CT20	CT22	CT24	CT3	CT31	CT32	CT33	CT36	CT37	CT38	CT4	CT42	CT45	CT47	CT49	CT53	CT54	CT57	CT6	CT7	CT8	CT9	PD1	PD102	PD107	PD108	PD112	PD113	PD118	PD127	PD128	PD134	PD137	PD157	PD158	PD16	PD160	PD161	PD169	PD172	PD174	PD177	PD184	PD190	PD196	PD198	PD204	PD205	PD207	PD212	PD213	PD215	PD217	PD221	PD222	PD224	PD232	PD234	PD24	PD240	PD246	PD256	PD33	PD39	PD40	PD45	PD49	PD56	PD57	PD6	PD61	PD62	PD63	PD64	PD71	PD72	PD73	PD76	PD78	PD79	PD80	PD86	PD87	PD89	PD99	PV117	PV118	PV122	PV124	PV133	PV134	PV136	PV138	PV142	PV144	PV146	PV148	PV150	PV166	PV2	PV21	PV22	PV23	PV28	PV31	PV36	PV37	PV39	PV46	PV51	PV53	PV54	PV57	PV58	PV61	PV7	PV74	PV8	PV86	PV87
g__Enterococcus	0	0	0	0	0	0	0	0	15	0	428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	53	86	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	78	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Enterococcus_A	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	1191	0	0	98	0	0	29	144	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Enterococcus_B	0	0	0	0	0	16	0	0	0	27	0	12	0	0	14	16	18	0	0	0	0	171	0	0	0	0	0	25	0	21	0	0	1087	68	175	18	128	0	131	0	148	0	0	29	0	3	0	103	0	0	25	0	20	13	251	0	13	256	0	48	0	0	0	0	15	0	0	0	15	42	0	0	0	0	0	195	1071	0	0	0	0	0	0	0	0	0	0	65	1607	8	3	38	14	225	0	0	0	0	0	0	0	0	88	0	57	0	0	0	0	193	0	0	0	3	0	0	0	0	133	37	0	0	0	0	0
g__Eubacterium_F	0	18	43	27	0	0	0	0	0	0	9	75	59	21	0	0	0	0	16	0	0	0	0	0	12	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	52	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	105	0	0	0	0	0	0	0	0	10	0	79	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	206	0	0	73	0	0	25	0	0	0	0	0	0	0	7	11	0	0	121	0	0	0	105	0
g__Eubacterium_G	0	46	34	206	97	12	765	346	50	81	195	118	342	95	118	192	0	14	75	0	28	0	0	0	11	0	152	85	177	9	0	1056	295	0	0	0	74	12	0	44	82	0	38	77	132	46	0	51	27	36	137	0	0	118	0	222	132	0	0	56	251	353	0	76	0	34	0	0	377	192	0	145	0	0	0	0	0	617	0	194	0	164	0	0	0	120	0	98	6	2226	8	76	150	0	0	0	313	6	51	47	0	0	25	0	95	25	50	59	0	107	154	0	37	112	0	19	10	207	19	52	61	328	57	120	65
g__Eubacterium_I	0	11	213	0	265	0	0	267	166	21	680	26	0	132	0	40	165	90	0	831	63	100	0	39	93	41	104	662	261	185	0	0	106	134	0	80	580	727	6	0	1087	0	540	0	0	0	496	116	72	142	15	0	0	263	149	2286	25	0	0	998	434	278	0	0	0	0	0	0	128	0	138	0	0	0	0	0	0	426	0	206	0	0	384	0	0	30	0	96	0	694	67	0	139	89	92	213	338	403	399	168	157	171	0	634	173	86	135	0	0	0	105	0	32	0	0	0	0	330	136	23	0	56	126	143	60
g__Evtepia	0	0	0	0	174	0	0	214	89	130	0	0	180	137	0	153	0	89	0	298	78	0	0	214	0	0	32	0	0	0	0	0	138	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	77	0	0	0	0	64	0	0	0	0	0	159	0	0	0	0	0	0	50	0	0	373	0	105	0	0	0	0	0	0	0	0	0	0	0	0	374	0	280	0	0	0	0	0	72	0	0	142	184	149	52	0	153	0	83	83	0	0	128	0	139	61	0	0	0	12	167	182	133	75	68	85	57	10	78	0
g__Faecalibacterium	8818	3392	5365	701	1742	6581	1791	668	1702	734	936	1493	3424	4161	6969	3457	16265	3654	4299	1841	1791	678	7	473	6608	4740	5302	19560	6174	7589	13508	1509	6636	3710	19	5146	3430	10578	38813	6169	16611	9539	7282	5	4117	533	10310	10955	2485	1746	5097	574	2440	7671	6084	10614	4074	157	12509	10476	3259	5277	4865	3254	15139	11135	10	524	3658	12666	2806	8240	2668	7334	51174	17089	15511	8441	11525	10905	13971	20439	17228	0	19699	5710	3689	2278	15110	9465	2876	6241	2478	2991	1241	2337	8197	5056	7977	2911	5491	8086	7021	814	7067	4017	1495	666	406	6395	2877	620	2102	5265	0	3870	1461	2131	2541	3752	4663	2551	3188	1534	3598
g__Faecalimonas	0	0	0	0	0	0	178	18	0	0	0	0	0	0	14	0	5	0	0	0	0	0	366	0	0	214	0	73	0	0	89	194	0	1856	277	0	0	7	451	135	1573	5	0	298	43	595	358	89	0	0	7	97	0	0	0	0	0	932	9	0	0	0	0	30	292	0	385	459	0	0	0	40	189	5	672	473	1630	47	0	326	0	106	6260	1327	2007	0	0	0	598	8	0	64	0	0	0	176	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	4280	0	0	0	0	0	0	0	0	0	0
g__Faecousia	0	0	5	32	20	0	0	117	0	75	0	0	0	8	0	0	0	0	19	0	0	0	0	0	0	0	8	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	5	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	200	0	0	0	0	0	0	0	0	29	0	8	0	0	0	0	82	16	0	0	0	3	0	0	0	0	0	0	0	0	8	0	0	0	0	45
g__Finegoldia	0	0	5	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	3	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	3	0	0	0	3	0	15	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Flavonifractor	422	0	60	0	20	129	93	71	30	57	40	14	44	6	48	0	14	20	20	68	34	0	557	0	0	0	0	15	101	44	201	506	12	310	365	22	23	32	509	266	126	0	0	415	337	1108	56	119	0	0	0	0	7	154	3	289	34	0	855	90	51	103	98	0	96	100	91	45	0	46	0	84	53	107	373	419	159	151	0	11	59	34	576	156	44	0	37	128	173	87	0	0	23	21	0	30	70	62	112	7	11	0	11	7	12	33	0	287	123	0	0	152	0	65	0	7	0	41	97	0	157	30	38	0	18
g__Fusicatenibacter	0	174	1140	907	988	190	930	1035	128	342	2130	1139	1012	821	1751	502	3691	921	778	922	1102	1448	317	266	822	891	2050	1724	1633	594	5262	3	1504	744	0	4	481	1877	8	1712	2128	621	599	0	0	210	2410	169	601	72	76	86	344	979	304	4621	668	28	13	5	560	0	8	2393	4890	6	13	1832	2796	1549	10	828	0	0	8	6	0	0	2638	711	4260	3388	1574	48	703	223	0	2136	784	1350	193	0	464	0	1532	505	1608	62	3969	1569	4955	1534	509	368	967	1117	1179	1085	1606	1131	819	441	329	606	1115	2464	639	2138	1399	1122	1240	591	1337	592	339
g__Fusobacterium_A	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	29	0	0	0	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	46	0	71	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
g__Gallintestinimicrobium	125	0	25	0	15	21	0	29	4	217	26	45	199	62	95	0	101	122	58	0	70	0	0	0	74	61	95	56	66	87	0	0	139	0	0	0	0	0	0	0	0	0	0	0	0	0	237	44	50	0	21	0	0	22	28	286	0	0	0	0	27	0	0	0	6	0	0	140	8	0	0	0	0	0	0	0	0	1179	0	103	0	0	0	0	0	196	0	112	0	248	22	410	40	0	18	79	0	52	36	9	59	272	0	0	38	206	228	0	0	180	171	136	0	228	0	0	45	34	0	35	167	8	172	53	0
g__Gemella	0	0	3	0	0	4	0	0	0	5	4	0	6	3	0	0	0	5	0	5	0	0	11	6	0	15	0	0	0	6	0	12	0	15	0	0	0	8	0	0	9	5	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	8	0	29	9	3	0	5	0	0	0	0	12	0	27	5	0	9	9	0	18	0	0	5	0	0	7	0	0	0	0	0	0	0	0	6	0	0	6	44	0	0	3	5	3	0	0	0	0	0	0	20	4	0	0	0	0	3	0	0	0	0
g__Gemmiger	83	425	300	6479	892	1134	3862	1374	250	991	2184	1094	1331	584	218	1520	3280	228	675	721	752	543	0	327	1037	1613	3765	7	1800	159	2	5	871	1647	0	2645	280	289	0	0	3	166	3295	316	0	0	4	1388	253	1316	235	100	54	684	672	0	99	0	0	200	297	312	0	1705	100	95	0	342	2404	657	498	1447	2598	121	0	0	2	64	677	1695	0	81	0	0	0	2594	2409	1050	208	1313	172	267	880	8	1135	354	1374	2855	1407	1240	2105	2573	783	370	428	1036	2387	2548	6	2418	1478	198	773	1879	0	914	1524	5254	1088	1040	2222	1086	1564	1498	477
g__Gordonibacter	0	31	0	14	13	23	0	32	0	12	7	49	9	21	0	0	0	0	11	37	7	0	0	0	22	46	0	0	0	0	0	0	9	0	0	0	0	0	0	0	4	0	0	0	72	0	29	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	26	0	22	0	21	0	0	0	0	5	0	0	0	0	0	0	0	14	0	0	9	10	0	5	30	0	0	0	166	5	0	0	25	0	0	0	12	14	20	0	80	0	0	0	0	28	0	17	22	0	0	0	0	8	17	18	25
g__Granulicatella	0	0	0	0	0	6	7	0	0	13	15	0	15	0	0	0	0	6	0	0	5	0	0	9	0	32	7	7	0	8	10	41	0	25	8	0	0	7	0	0	0	0	0	0	3	0	9	0	0	5	0	7	0	0	0	14	19	0	0	5	2	0	15	8	0	8	41	0	9	0	0	5	0	0	38	14	0	61	0	5	0	12	0	40	17	0	0	0	0	11	0	0	0	7	0	0	0	5	5	0	0	0	5	4	7	3	7	0	0	0	0	0	5	0	28	27	16	4	0	0	0	7	2	0	0
g__Guopingia	0	6	7	10	0	24	7	17	0	9	0	14	21	3	0	0	0	0	14	10	6	0	0	0	0	0	0	0	0	21	0	0	49	4	0	14	0	0	0	11	0	0	0	0	0	0	0	0	0	33	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	54	0	0	0	0	0	0	0	0	7	0	0	0	0	0	9	0	0	0	0	0	0	10	0	0	0	0	0	12	0	17	0	0	0	0	11	7	0	0	0	0	0	0	11	0	2	6	0	26	0	0	0	0	3	13
g__Haemophilus_D	0	0	0	0	0	0	0	0	0	5	28	0	54	10	2	0	0	0	13	0	0	20	0	0	50	123	25	2221	7	9	8	0	0	46	9	0	56	0	1905	0	0	729	1012	0	0	0	0	1133	0	0	4	0	0	0	20	0	106	0	10	0	0	0	4	61	1952	24	0	0	0	0	0	0	0	4	1394	44	42	704	760	13	61	461	8	190	15	5	0	3	0	0	15	11	8	0	0	0	0	5	4	0	0	0	0	0	0	0	0	0	0	0	36	4	0	0	0	0	14	0	0	23	0	37	44	0	9
g__Holdemanella	0	0	0	0	0	0	0	0	0	0	2112	1672	0	0	0	137	535	0	598	0	881	0	0	4221	0	0	1801	6	0	0	0	0	690	0	0	7542	0	0	0	0	0	0	0	0	0	0	0	70	361	0	92	0	503	0	0	0	0	2483	0	1619	36	0	0	0	0	0	0	0	0	0	3152	7143	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	4546	0	3	476	0	685	1760	0	0	6	0	201	244	2709	0	0	0	0	0	0	0	0	0	0	0	538	0	0	0	0	0	0	463	0	0	0	0	0
g__Holdemania	55	0	0	0	13	0	22	0	0	0	0	11	7	5	0	0	0	0	6	31	5	0	0	0	5	0	7	0	14	19	0	0	11	0	0	15	8	0	0	14	13	0	16	0	0	74	7	13	0	8	0	0	0	5	0	0	0	0	10	7	3	0	34	0	10	19	0	0	9	27	0	0	6	0	0	15	0	13	9	0	0	6	47	0	0	0	43	6	0	0	0	11	0	0	0	0	0	20	0	5	0	9	16	17	0	21	29	14	0	3	0	0	0	0	5	13	19	9	11	0	10	4	4	8	13
g__Hominenteromicrobium	0	52	70	0	0	0	0	0	7	233	207	443	0	8	270	0	44	163	0	24	0	4	0	38	93	0	0	0	0	0	0	0	73	0	0	105	0	0	0	0	4	0	0	0	0	0	0	0	94	8	68	0	0	0	0	0	0	0	0	0	0	0	345	0	0	96	0	0	156	212	61	0	85	0	0	0	0	0	0	4	0	0	0	0	0	247	0	1066	0	0	0	145	0	257	0	0	0	457	97	10	28	94	0	31	44	833	1334	0	0	0	59	0	0	0	0	210	159	434	0	15	50	82	0	20	0
g__Hominibacterium	0	18	70	10	0	0	0	40	28	10	0	18	216	0	12	107	0	24	20	36	5	0	0	248	0	0	0	0	0	36	0	0	83	0	0	73	0	0	0	0	0	0	0	0	0	65	0	0	9	10	33	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	97	7	12	0	201	0	62	0	0	0	0	0	0	72	0	0	12	0	0	28	3	21	0	0	0	0	20	0	5	4	0	0	8	11	139	0	0	76	23	22	34	5	0	6	0	0	17	32	0	21	0	82	49	0	0	0	8	0	28
g__Hominicoprocola	0	350	0	0	57	0	0	631	68	436	207	370	0	172	0	5	892	39	52	822	17	0	0	0	10	0	147	0	0	0	0	0	675	9	0	52	0	0	0	0	0	0	0	0	0	0	183	0	21	56	240	0	0	0	64	27	65	0	0	216	534	0	0	0	0	405	0	0	176	0	246	0	0	0	0	0	0	0	0	509	0	0	0	0	0	25	142	386	0	0	75	0	217	0	5	40	0	635	1249	31	270	295	0	0	390	231	183	9	0	74	283	0	43	0	0	0	60	0	0	75	0	50	67	258	207
g__Hominifimenecus	0	7	0	0	0	0	0	86	0	4	0	20	0	9	0	0	37	0	0	18	0	0	0	0	0	0	22	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	15	13	0	0	0	0	0	0	0	0	0	0	0	0	12	74	32	0	0	30	0	0	0	0	8	0	0	0	0	0	0	0	0	0	18	0	0	0	33	0
g__Hominilimicola	1176	11	523	28	172	786	255	25	6	0	104	6	489	72	192	5	874	89	130	276	138	92	0	20	195	211	410	3	81	32	0	0	184	166	81	0	230	0	3	97	163	8	0	0	0	0	340	0	91	65	44	14	0	456	389	0	0	6	0	120	20	0	34	348	84	28	0	300	39	249	0	183	0	0	0	0	0	0	0	365	0	0	0	0	92	289	214	156	96	100	42	167	162	0	153	457	351	522	272	91	50	187	77	163	509	165	275	20	197	641	125	127	5	72	0	632	114	83	37	124	263	439	99	97	66
g__Hominimerdicola	0	0	200	58	0	1050	0	0	0	0	0	1308	447	0	0	0	0	0	171	0	26	0	0	0	24	0	55	179	290	4	0	0	4	6	0	0	109	0	0	0	0	0	146	53	0	0	9	0	107	30	0	0	0	583	24	1869	0	0	0	0	0	0	0	0	0	3	0	109	0	0	339	144	0	0	0	6	0	1155	0	1516	472	17	0	37	0	92	0	0	24	0	0	0	321	0	78	24	0	4	0	0	7	1055	0	0	41	5	0	0	0	2477	0	0	0	203	0	0	5	0	0	884	0	69	236	0	0
g__Hominiventricola	44	48	0	0	135	51	166	70	0	47	60	50	40	19	0	0	16	0	9	104	0	0	0	0	18	0	20	0	93	0	0	0	109	12	0	46	0	0	0	0	0	0	0	0	0	0	35	0	0	0	37	10	0	12	25	0	0	0	0	0	11	0	26	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	73	0	0	0	0	0	20	43	51	0	96	0	89	0	23	0	0	0	82	162	128	207	227	22	0	14	0	0	0	19	202	113	15	25	15	0	0	32	0	25	91	123	26	0	114	14
g__Hungatella	5	0	11	0	0	9	0	0	0	0	0	0	0	19	0	0	0	0	0	13	0	0	71	0	0	8	0	0	0	0	22	0	0	304	0	0	0	0	0	6	0	0	0	6	49	13	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	6	0	0	0	0	0	0	0	49	19	151	0	0	0	9	0	0	0	29	0	0	0	0	0	0	18	0	0	0	0	0	0	5	18	0	0	0	0	0	0	0	0	0	7	27	0	0	0	0	0	0	0	0	11	0	0	0	0	161	9	0
g__Intestinibacter	187	40	77	33	0	715	0	135	0	23	8	8	204	110	99	20	0	0	88	0	0	107	238	0	116	412	271	37	103	253	394	2172	73	136	741	5	0	382	1264	12	278	29	0	170	8	346	41	248	9	0	70	139	0	247	137	537	0	0	0	454	0	294	0	222	464	611	16	157	218	80	17	0	0	73	8	202	2420	13	747	3512	17	1000	511	13	38	0	11	0	5439	370	0	215	41	76	209	28	49	75	18	56	0	4	174	4	0	128	166	0	0	116	0	448	0	140	19	266	97	201	17	35	9	0	119	8	33
g__JAGTTR01	0	8	0	0	13	0	0	29	0	6	9	18	0	8	0	0	0	0	0	27	0	0	0	0	21	0	19	0	0	9	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	11	0	0	0	0	10	0	0	0	0	0	0	0	0	26	0	6	0	0	0	0	0	0	0	0	27	0	0	0	0	0	17	9	7	0	0	8	0	5	0	0	0	0	0	23	4	26	20	0	0	0	10	16	0	0	0	12	19	13	0	0	29	13	0	0	9	0	0	0	11	0
g__Klebsiella	23	13	0	0	0	110	0	0	420	0	166	0	0	0	10	0	0	0	0	0	0	0	0	0	71	0	0	12	0	0	21	9	0	0	0	0	27	0	146	0	0	41	0	20	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	171	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	70	0	0	55	53	0	30	0	0	46	0	0	59	0	0	0	0	142	14	13	0	0	0	0	0	0	29	38	126	0	0	0	0	0	30	0	0	0	0	0
g__Lachnoclostridium_B	212	62	45	18	96	128	119	90	112	18	212	97	0	0	0	166	354	32	7	154	0	244	0	215	120	0	37	0	127	0	0	0	188	0	12	139	0	0	0	0	0	52	0	31	68	0	295	0	24	74	67	0	0	0	0	0	0	0	59	137	74	0	0	0	0	68	0	0	105	212	96	107	13	0	0	0	0	192	0	64	53	0	0	0	0	90	174	0	152	126	23	0	74	0	81	0	101	230	91	130	135	177	0	117	99	146	192	0	104	0	33	68	94	0	0	175	145	158	41	36	11	32	0	106	29
g__Lachnospira	8	453	217	6	553	98	590	0	8	54	309	320	881	478	860	33	121	11	61	194	258	15	220	0	141	62	386	3206	624	84	1934	638	1110	78	0	0	767	49	462	412	58	187	175	343	634	0	109	444	29	75	239	77	191	455	111	342	87	0	1099	2123	505	51	980	16	2244	0	18	277	34	122	355	279	0	0	39	1554	0	1974	3552	283	1473	3364	2452	2716	1088	253	732	10	2598	648	6	36	420	36	10	64	25	2238	1466	926	1183	2379	26	120	187	219	494	101	364	2913	677	177	8	16	31	238	417	1141	10	815	1214	547	35	1552	789
g__Lacticaseibacillus	0	0	0	0	0	0	0	7	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	16	0	79	0	0	0	28	3	0	0	0	0	0	1017	0	0	2	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	171	0	0	12	0	85	0	0	0	0	0	84	0	0	0	0	26	19	77	48	0	0	5	0	2	33	0	0	0	0	16	0	0	5	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	12	0	0	0	0	0	0	1	0
g__Lactiplantibacillus	0	0	0	0	0	0	0	0	0	0	0	0	221	60	0	0	0	0	0	0	14	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	10	12	0	0	0	0	0	0	0	0	0	0	1697	14	0	0	0	1727	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	35	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Lactobacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	4	6	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4360	0	0	9	0	0	0	0	0	0	8	0	0	0	0	0	0	108	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31
g__Lactococcus	0	0	0	0	0	0	31	0	0	0	44	5	0	450	0	0	6	7	0	0	3	5	0	11	0	18	5	0	5	0	181	65	0	0	0	0	7	0	0	0	0	912	0	0	0	0	0	0	0	0	806	0	0	0	0	0	0	181	3	3	0	0	0	0	0	0	30	0	0	185	0	0	0	0	0	0	0	2	0	0	0	0	0	9	0	0	0	2	0	0	0	0	0	11	16	0	6	0	0	0	0	0	0	0	6	0	0	0	0	0	0	16	0	0	0	0	0	5	0	0	0	0	0	0	123
g__Lactonifactor	0	0	0	0	11	0	0	0	7	0	0	0	10	0	14	0	0	0	12	0	0	9	0	0	0	101	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	6	0	0	6	32	3	0	81	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	7	0	0	0	0	0	0	10	42	8	0	0	0	60	0	11	19	0	20	8	0	0	0	0	6
g__Laedolimicola	0	0	0	0	0	20	0	0	0	0	0	0	0	12	0	0	0	0	0	15	11	0	0	0	8	0	12	0	0	0	0	0	14	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	98	0	0	0	0	0	0	0	20	21	0	0	0	0	0	0	0	0	0	24	80	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	37	17	27	0	0	0	10	17	37	14	0	15	0	0	5	0	0	0	0	0	0	0	0	0	0	10	0
g__Lancefieldella	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	5	0	0	4	0	14	0	4	4	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	3	0	5	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	4	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Latilactobacillus	0	3	0	0	19	0	0	0	111	0	0	0	12	188	28	22	192	2	0	0	0	31	63	0	0	90	161	0	98	29	0	0	0	0	0	0	0	159	0	0	0	0	4	0	0	0	110	0	0	5	2	0	17	8	0	9	100	0	29	0	0	0	0	5	0	0	164	0	0	0	0	645	0	0	0	0	0	0	30	0	0	0	0	13	0	0	8	0	8	8	0	0	0	0	4	8	403	0	0	12	0	0	0	0	52	78	110	0	0	0	1146	0	0	13	0	0	0	0	4	5	0	0	0	0	144
g__Lawsonibacter	0	25	13	0	128	60	332	72	19	33	67	20	70	0	132	0	44	3	10	67	5	0	0	0	3	16	0	31	185	27	19	0	11	6	0	0	0	0	0	109	135	0	37	0	0	50	14	0	4	0	34	4	5	98	0	124	19	0	464	17	100	0	8	0	0	5	0	24	5	0	0	3	0	0	0	0	0	6	0	76	0	9	0	99	0	65	23	10	42	0	0	0	0	22	0	0	156	40	94	21	61	0	52	17	4	0	6	292	77	0	58	147	5	12	10	13	28	28	76	35	96	38	23	16	73
g__Lentihominibacter	0	7	0	29	0	0	31	101	25	76	52	95	0	35	0	140	22	15	23	0	48	4	0	29	92	0	25	0	0	14	0	0	72	0	0	22	0	0	0	0	0	0	0	0	0	0	14	0	21	38	42	0	0	27	17	0	0	0	0	0	17	0	0	0	0	74	0	0	106	0	74	12	36	0	0	0	0	0	0	59	0	0	0	0	0	106	24	174	0	41	18	9	30	22	6	0	0	43	42	0	76	21	0	78	40	0	0	14	0	81	0	0	29	0	0	42	67	52	20	14	0	18	0	23	0
g__Leuconostoc	0	0	23	0	0	0	0	8	0	31	0	7	16	0	6	0	0	0	4	0	0	0	0	0	0	42	101	0	9	0	19	3	0	9	0	0	32	0	0	0	0	0	0	0	0	0	29	9	0	0	0	0	0	0	0	0	0	0	32	0	0	5	0	0	0	0	6	0	0	0	7	42	0	0	0	0	27	0	0	7	7	0	0	571	0	11	0	0	38	0	0	0	0	27	0	10	8	23	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	4	0	6	18	0	0	0	0	0	0	0	0
g__Ligilactobacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	582	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	29	0	40	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	13	0	0	0	0	0	0	0	285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	20	0	0	0	0	0	0	0	11	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	1484
g__Limivivens	0	26	66	0	29	0	103	66	52	80	65	72	0	59	0	100	262	62	67	50	85	15	0	44	86	113	219	0	219	148	0	0	82	27	0	38	12	0	0	0	0	5	0	0	0	0	0	0	55	14	53	0	0	66	70	189	0	0	219	69	36	0	0	0	6	16	0	0	58	131	44	0	0	0	0	1017	0	640	0	124	0	0	0	0	0	63	213	0	0	0	43	0	96	0	24	0	73	0	0	82	356	371	0	0	47	38	74	0	0	0	29	45	20	27	0	0	87	174	75	92	107	67	64	60	41
g__Limosilactobacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	100	0	0	0	0	44	0	0	0	0	0	334	0	0	0	0	0	0	3	0	0	0	46	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	890
