#OTU ID	CT1	CT10	CT11	CT13	CT14	CT20	CT22	CT24	CT3	CT31	CT32	CT33	CT36	CT37	CT38	CT4	CT42	CT45	CT47	CT49	CT53	CT54	CT57	CT6	CT7	CT8	CT9	PD1	PD102	PD107	PD108	PD112	PD113	PD118	PD127	PD128	PD134	PD137	PD157	PD158	PD16	PD160	PD161	PD169	PD172	PD174	PD177	PD184	PD190	PD196	PD198	PD204	PD205	PD207	PD212	PD213	PD215	PD217	PD221	PD222	PD224	PD232	PD234	PD24	PD240	PD246	PD256	PD33	PD39	PD40	PD45	PD49	PD56	PD57	PD6	PD61	PD62	PD63	PD64	PD71	PD72	PD73	PD76	PD78	PD79	PD80	PD86	PD87	PD89	PD99	PV117	PV118	PV122	PV124	PV133	PV134	PV136	PV138	PV142	PV144	PV146	PV148	PV150	PV166	PV2	PV21	PV22	PV23	PV28	PV31	PV36	PV37	PV39	PV46	PV51	PV53	PV54	PV57	PV58	PV61	PV7	PV74	PV8	PV86	PV87
g__Anaerobutyricum	428	442	1591	1594	1574	2645	809	528	708	1852	723	1065	1360	632	833	1228	925	521	402	2192	783	318	236	1123	1462	3453	772	0	847	366	1327	3470	1324	1184	3	377	190	1454	0	1568	679	537	378	0	1692	1008	578	249	189	652	930	498	182	464	388	0	195	805	984	157	436	204	0	0	0	208	613	239	2531	945	455	581	3	0	25	0	0	514	650	805	1438	1622	0	0	3942	760	2373	3517	523	1284	121	9	830	406	410	594	1204	563	979	893	1840	1479	3275	2019	827	1157	1933	523	1923	735	230	551	538	1092	2058	2257	2044	1085	410	234	504	441	738	1641	276
g__Anaerofustis	0	0	0	0	0	5	0	3	0	0	0	0	27	2	0	0	0	7	0	0	0	0	0	0	0	14	0	0	0	0	23	76	0	6	0	0	0	6	0	0	0	0	0	2	0	19	0	0	0	0	0	0	0	7	0	0	0	0	0	21	0	0	0	0	0	0	0	0	6	0	2	3	14	0	0	0	0	0	0	0	0	0	7	0	0	2	0	0	0	0	0	6	3	5	0	0	0	0	0	0	0	0	0	5	0	0	0	0	21	10	0	0	0	4	0	0	0	10	5	0	0	0	3	0	0
g__Anaeromassilibacillus	0	0	20	18	5	54	8	15	0	47	0	16	10	0	5	6	0	0	10	5	0	0	57	0	0	8	0	16	8	0	0	0	0	4	4	203	0	0	0	4	0	0	13	23	186	0	0	0	0	17	19	0	0	6	0	0	0	0	44	25	19	0	0	0	0	0	4	0	17	0	142	0	0	0	8	0	0	0	0	0	10	0	0	0	0	16	0	0	0	35	0	6	11	6	0	6	7	5	6	0	0	0	0	13	0	16	25	0	245	6	0	0	0	19	0	11	24	19	6	0	0	0	0	0	32
g__Anaerostipes	294	403	710	1410	2118	349	537	0	592	998	541	1819	1462	963	2648	430	840	397	302	912	450	0	1526	337	1894	1502	1228	2723	563	443	4825	0	523	713	8140	834	1022	2869	209	1193	1046	4735	964	840	175	952	3048	492	253	2830	1128	1146	306	1223	731	6661	1253	867	49	2638	509	1699	551	1849	66	838	673	1261	981	2653	24	2114	98	72	60	8212	137	2381	571	2422	2175	1037	3521	850	17	6215	2510	968	44	1356	109	6	428	398	1383	1071	2130	2710	659	451	1321	2325	2325	251	1643	1166	1769	415	240	1382	344	1040	465	1168	2111	1879	866	978	660	218	693	400	564	837	139
g__Anaerotignum	0	19	94	0	95	11	160	60	0	142	0	35	83	0	26	0	60	19	19	207	41	0	239	9	0	7	17	49	0	0	27	0	232	107	0	24	9	42	0	136	0	6	0	151	256	347	0	36	10	0	21	10	0	13	0	0	0	0	331	16	213	0	51	0	0	165	64	4	19	16	179	17	0	0	0	0	0	0	16	29	0	0	313	213	218	30	4	107	0	0	11	0	95	16	0	23	40	0	54	54	28	128	0	0	0	112	178	102	419	0	56	0	9	11	33	29	255	25	70	0	274	82	0	29	152
g__Anaerotruncus	0	0	0	0	0	64	9	5	0	106	0	10	0	9	0	0	5	0	0	3	4	0	21	0	0	0	0	0	7	0	0	0	6	0	43	0	0	0	0	3	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	24	0	0	0	4	0	0	0	0	0	0	6	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	3	47	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	5	12	20	0	0	0	0	15	0	8	0	3	5	11	3	0	0	0	14	7	9
g__Anthropogastromicrobium	71	174	96	191	118	0	32	114	0	32	32	233	395	251	310	11	369	74	116	0	111	63	0	3	32	165	398	641	0	0	0	127	533	336	0	64	202	0	0	79	102	30	149	185	1110	31	134	31	79	40	0	73	42	222	215	237	65	0	0	33	51	0	0	0	475	22	0	250	98	379	12	147	0	0	16	0	0	255	0	321	0	0	745	46	276	399	600	49	0	536	31	0	104	0	70	79	125	593	174	327	344	710	81	7	200	153	136	0	25	401	204	107	56	83	0	20	227	390	85	72	276	147	157	0	98
g__Aristaeella	0	0	0	0	0	0	0	0	0	264	0	35	0	164	0	0	0	0	58	0	111	0	0	0	15	0	1570	0	0	0	0	0	224	147	0	0	188	0	0	0	0	0	0	0	0	0	0	37	22	14	301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	48	0	0	0	0	295	0	0	0	0	0	0	0	0	14	0	0	0	15	0	24	1032	0	0	0	282	229	0	0	0	0	0	0	0	0	124	110	0	0	0	0	0	0	120	0
g__Bacteroides	263	306	3156	2124	1180	2272	507	952	813	2888	260	846	1175	1341	800	104	29	212	1412	1393	539	0	4501	0	65	2593	804	27	1932	563	4521	2104	645	7608	730	65	1598	1919	11822	4975	8	291	2852	8034	2098	4313	710	660	706	493	412	73	24	2682	897	0	2827	106	0	90	784	543	1884	292	1695	432	300	0	2055	697	751	1582	72	548	11156	5806	0	1052	951	1566	568	1052	15011	293	1153	2361	463	4238	6242	645	38	3039	827	125	9	480	2137	779	2171	254	398	981	219	215	1421	2582	1682	4100	1375	3452	817	1134	111	2537	71	600	340	2977	844	155	2029	2510	2788	1000	2008
g__Bariatricus	0	120	415	267	236	170	491	479	126	144	726	461	519	49	0	103	109	149	91	665	0	1431	0	40	113	0	168	825	299	177	0	0	410	0	0	237	186	342	0	0	0	0	89	0	0	0	658	82	41	74	198	4	57	0	27	0	216	0	0	687	135	0	408	0	0	1227	0	0	203	440	480	0	0	0	0	0	0	0	0	296	0	0	0	0	0	241	1817	1279	881	0	201	0	0	272	0	175	0	0	0	349	1239	344	571	0	370	203	238	0	0	0	345	253	390	0	0	0	0	49	0	133	1850	311	0	38	17
